,year,course_name,section,id,enrollments
168,2005-2006,Computer-aided engineering,ME,417,25
169,2005-2006,Computer-supported cooperative work,CS,485,15
170,2005-2006,Conception pour X,ME,312,31
171,2005-2006,Corporate governance,MGT,552,22
172,2005-2006,Cryptography and security,COM,401,98
173,2005-2006,Design technologies for integrated systems,CS,472,13
174,2005-2006,Dielectric and optical properties of materials,MSE,480,3
175,2005-2006,Diffraction methods in structural biology,PHYS,437,27
176,2005-2006,Distributed algorithms,CS,451,60
177,2005-2006,Distributed information systems,CS,423,97
178,2005-2006,Droit : contrats et responsabilité professionnelle,ENV,466,61
179,2005-2006,Dynamical system theory for engineers,COM,502,8
180,2005-2006,Dynamique des structures,CIVIL,420,36
181,2005-2006,Dynamique moléculaire et simulation Monte-Carlo,CH,351,26
182,2005-2006,Economie des transports,CIVIL,456,7
183,2005-2006,Economie hydraulique,CIVIL,441,8
184,2005-2006,Embedded systems,CS,473,18
185,2005-2006,Energétique du bâtiment,ENG,445,22
186,2005-2006,Enquêtes et méthodes quantitatives,ENG,485,7
187,2005-2006,Esthétique des ouvrages de génie civil,CIVIL,476,22
188,2005-2006,Etudes d'impact,ENG,474,70
189,2005-2006,Experimental data analysis and modelization,MSE,400,8
190,2005-2006,Fabrication assistée par ordinateur,ME,416,23
191,2005-2006,Fracture mechanics,ME,432,7
192,2005-2006,Fundamentals of biomedical imaging,PHYS,438,21
193,2005-2006,Gestion de la maintenance des infrastructures,CIVIL,455,14
194,2005-2006,Gestion foncière et droit foncier,ENV,460,32
195,2005-2006,Géomécanique,CIVIL,402,6
196,2005-2006,HF and VHF circuits and techniques I,EE,425,67
197,2005-2006,Habitat et développement urbain,AR,465,28
198,2005-2006,Hardware systems modeling I,EE,432,57
199,2005-2006,Hardware systems modeling II,EE,433,13
200,2005-2006,Histoire de l'architecture VII,AR,423,67
201,2005-2006,Histoire de l'architecture VIII,AR,424,54
202,2005-2006,Human computer interaction,CS,486,61
203,2005-2006,Hydraulic turbomachines,ME,453,17
204,2005-2006,Hydraulique fluviale et aménagement de cours d'eau,CIVIL,410,17
205,2005-2006,Image analysis and pattern recognition,EE,451,15
206,2005-2006,Image and video processing,EE,550,18
207,2005-2006,Image communication,EE,551,3
208,2005-2006,Industrial automation,CS,487,52
209,2005-2006,Industrialisation,MICRO,343,103
210,2005-2006,Information theory and coding,COM,404,36
211,2005-2006,Integrated circuits technology,EE,532,29
212,2005-2006,Intelligent agents,CS,430,51
213,2005-2006,Introduction au génie chimique II,ChE,202,58
214,2005-2006,Introduction au génie chimique TP,ChE,203,45
215,2005-2006,Introduction to cellular and molecular biotechnology,BIOENG,430,57
216,2005-2006,Introduction to particle accelerators,PHYS,448,8
217,2005-2006,Introduction à l'architecture,AR,429,10
218,2005-2006,Introduction à la physique des astroparticules,PHYS,439,17
219,2005-2006,Lasers and applications in chemistry,CH,446,11
220,2005-2006,Mass spectrometry,CH,403,7
221,2005-2006,Materials science,MSE,403,23
222,2005-2006,Materials selection,MSE,474,22
223,2005-2006,Matériaux et structures,CIVIL,532,31
224,2005-2006,Media security,EE,552,31
225,2005-2006,Microwaves,EE,445,34
226,2005-2006,Mobile networks,COM,405,98
227,2005-2006,Mobile robots,MICRO,454,31
228,2005-2006,Modèles stochastiques pour les communications,COM,300,80
229,2005-2006,Modélisation et représentation informatique I,AR,411,42
230,2005-2006,Modélisation et représentation informatique II,AR,412,33
231,2005-2006,Mécanique vibratoire,ME,332,56
232,2005-2006,Méthodes de détection optique,MICRO,523,8
233,2005-2006,Méthodes de production,MICRO,340,94
234,2005-2006,Nanobiotechnology and biophysics,CH,413,76
235,2005-2006,Nanoelectronics,EE,535,6
236,2005-2006,Nanomaterials,MSE,477,9
237,2005-2006,Optics III,PHYS,449,7
238,2005-2006,Optique I,PHYS,317,28
239,2005-2006,Optique II,PHYS,318,15
240,2005-2006,Optique TP,MICRO,423,6
241,2005-2006,"Organisation, économie et droit de la construction I",ENG,470,30
242,2005-2006,"Organisation, économie et droit de la construction II",ENG,471,23
243,2005-2006,Particle detection,PHYS,440,11
244,2005-2006,Particules élémentaires I,PHYS,415,22
245,2005-2006,Particules élémentaires II,PHYS,416,18
246,2005-2006,Pattern classification and machine learning,CS,433,44
247,2005-2006,Performance evaluation,COM,503,37
248,2005-2006,Photochemistry I,CH,442,13
249,2005-2006,Photochemistry II,CH,443,6
250,2005-2006,Physique du solide III,PHYS,419,38
251,2005-2006,Planification intégrée des infrastructures d'énergie,CIVIL,442,5
252,2005-2006,Polyelectrolytes and biopolymers,ChE,412,7
253,2005-2006,Polymer chemistry and macromolecular engineering,MSE,437,31
254,2005-2006,Polymer morphological characterization techniques,MSE,451,10
255,2005-2006,Ponts en béton,CIVIL,430,22
256,2005-2006,Ponts en métal,CIVIL,431,16
257,2005-2006,Process development I,ChE,451,15
258,2005-2006,Process development II,ChE,452,15
259,2005-2006,Process development project,ChE,459,15
260,2005-2006,Quantum physics III,PHYS,425,35
261,2005-2006,Quantum physics IV,PHYS,426,31
262,2005-2006,Real-time embedded systems,CS,476,44
263,2005-2006,Reliability of MEMS,MICRO,533,10
264,2005-2006,Risques hydrologiques et aménagements,ENV,524,30
265,2005-2006,Réseaux hydrauliques et énergétiques,CIVIL,445,13
266,2005-2006,Sciences de la ville I,AR,459,44
267,2005-2006,Sciences de la ville II,AR,460,38
268,2005-2006,Selected topics in nuclear and particle physics,PHYS,400,17
269,2005-2006,Signal processing for communications,COM,303,86
270,2005-2006,Simulation multi-corps assistée par ordinateur,ME,475,24
271,2005-2006,Sociologie urbaine,AR,489,16
272,2005-2006,Software engineering,CS,305,92
273,2005-2006,Software-defined radio: a hands-on course,COM,511,12
274,2005-2006,Speech processing,EE,553,12
275,2005-2006,Statistical theories and electronic of solids,CH,441,13
276,2005-2006,Structure and reactivity,CH,432,13
277,2005-2006,Structures complexes,AR,535,25
278,2005-2006,"Structures en béton, chapitres choisis",CIVIL,525,38
279,2005-2006,"Structures en métal, chapitres choisis",CIVIL,526,26
280,2005-2006,Student seminar: security protocols and applications,COM,506,13
281,2005-2006,Supramolecular chemistry,CH,424,11
282,2005-2006,Systèmes de management environnementaux,ENV,469,48
283,2005-2006,TCP/IP networking,COM,407,34
284,2005-2006,Techniques d'assemblage,MICRO,440,9
285,2005-2006,Techniques d'assemblage I,MICRO,440,21
286,2005-2006,Techniques d'assemblage II,MICRO,441,20
287,2005-2006,Technologie des microstructures I,MICRO,331,94
288,2005-2006,Technologie des microstructures II,MICRO,431,92
289,2005-2006,Thin film fabrication processes,MSE,465,13
290,2005-2006,Théorie de l'architecture VII,AR,421,60
291,2005-2006,Transducteurs et entraînements intégrés,EE,461,39
292,2005-2006,Transport et télématique,CIVIL,454,28
293,2005-2006,Turbomachines thermiques,ME,455,25
294,2005-2006,Two-phase flows and heat transfer,ME,446,21
295,2005-2006,UE : Environnement et GC,CIVIL,472,33
296,2005-2006,UE D : Territoire et société,AR,466,15
297,2005-2006,UE E : Architecture et structures,AR,438,16
298,2005-2006,UE F : Architecture et réhabilitation,AR,439,13
299,2005-2006,UE J : Territoire et paysage,AR,471,11
300,2005-2006,VLSI design I,EE,430,55
301,2005-2006,VLSI design II,EE,431,15
302,2005-2006,Ville et mobilité,AR,458,53
303,2005-2006,Virtual reality,CS,444,50
304,2005-2006,Wave propagation along transmission lines,EE,575,17
305,2006-2007,Advanced NMR and imaging,CH,401,4
306,2006-2007,Advanced analog and RF integrated circuits design I,EE,520,9
307,2006-2007,Advanced analog and RF integrated circuits design II,EE,521,4
308,2006-2007,Advanced analysis I,MATH,400,12
309,2006-2007,Advanced analysis II,MATH,401,9
310,2006-2007,Advanced compiler construction,CS,420,15
311,2006-2007,Advanced composites in engineering structures,CIVIL,443,19
312,2006-2007,Advanced computer architecture,CS,470,15
313,2006-2007,Advanced computer graphics,CS,440,34
314,2006-2007,Advanced cryptography,COM,501,10
315,2006-2007,Advanced diffusional separation processes,ChE,402,4
316,2006-2007,Advanced digital communications,COM,510,11
317,2006-2007,Advanced signal processing,EE,450,12
318,2006-2007,Advanced solid waste treatment,ENV,500,24
319,2006-2007,Algorithms,CS,250,17
320,2006-2007,Aménagements hydrauliques II,CIVIL,412,29
321,2006-2007,Analog circuits design I,EE,420,61
322,2006-2007,Analog circuits design II,EE,421,12
323,2006-2007,Analyse de produits et systèmes,MICRO,443,18
324,2006-2007,"Analyse du cycle de vie, écobilan",ENV,370,53
325,2006-2007,Applied machine learning,MICRO,455,16
326,2006-2007,Applied molecular quantum chemistry,CH,451,1
327,2006-2007,Architecture et construction de la ville I,AR,451,54
328,2006-2007,Architecture et construction de la ville II,AR,452,45
329,2006-2007,Assemblage et robotique TP,MICRO,442,21
330,2006-2007,Atoms and radiation,CH,360,22
331,2006-2007,Aérodynamique,ME,445,12
332,2006-2007,Barrages et ouvrages hydrauliques annexes,CIVIL,411,26
333,2006-2007,Bio-ingénierie des cours d'eau et milieux naturels,ENV,420,30
334,2006-2007,BioMEMS,MICRO,560,37
335,2006-2007,Bioanalytics and analytical sensors,CH,402,22
336,2006-2007,Biomaterials,BIOENG,442,10
337,2006-2007,Biometrics,EE,513,19
339,2006-2007,Biomicroscopy I,MICRO,561,14
340,2006-2007,Biomicroscopy II,MICRO,562,11
341,2006-2007,Biophysique I,PHYS,301,52
342,2006-2007,Cancer biology I,BIO,471,2
343,2006-2007,Cancer biology II,BIO,472,2
344,2006-2007,Capteurs,MICRO,330,66
345,2006-2007,Cavitation et phénomènes d'interface,ME,462,10
346,2006-2007,Cellular signalling,CH,411,3
347,2006-2007,Cementitious materials (advanced),MSE,420,10
348,2006-2007,Chemical engineering of heterogenous reaction,ChE,403,6
349,2006-2007,Chemical processes of sustainable and renewable energy,ChE,406,4
350,2006-2007,Chimie des denrées alimentaires,ENG,433,2
351,2006-2007,Color reproduction,CS,441,24
352,2006-2007,Commande d'actionneurs à l'aide d'un microprocesseur + TP,MICRO,510,43
353,2006-2007,Computational molecular biology,CS,551,18
354,2006-2007,Computer vision,CS,442,27
355,2006-2007,Computer-aided engineering,ME,417,35
356,2006-2007,Computer-supported cooperative work,CS,485,19
357,2006-2007,Conception pour X,ME,312,43
358,2006-2007,Contrôle stochastique,MATH,433,11
359,2006-2007,Corporate governance,MGT,552,16
360,2006-2007,Cryptography and security,COM,401,73
361,2006-2007,Design technologies for integrated systems,CS,472,18
362,2006-2007,Dielectric and optical properties of materials,MSE,480,9
363,2006-2007,Diffraction methods in structural biology,PHYS,437,9
364,2006-2007,Distributed algorithms,CS,451,76
365,2006-2007,Distributed information systems,CS,423,78
366,2006-2007,Droit : contrats et responsabilité professionnelle,ENV,466,44
367,2006-2007,Dynamical system theory for engineers,COM,502,28
368,2006-2007,Dynamique des structures,CIVIL,420,58
369,2006-2007,Dynamique moléculaire et simulation Monte-Carlo,CH,351,16
370,2006-2007,Eco-morphologie fluviale,ENV,418,27
371,2006-2007,Economie des transports,CIVIL,456,12
372,2006-2007,Economie hydraulique,CIVIL,441,20
373,2006-2007,Embedded systems,CS,473,35
374,2006-2007,Energétique du bâtiment,ENG,445,27
375,2006-2007,Enquêtes et méthodes quantitatives,ENG,485,13
376,2006-2007,Enterprise and service-oriented architecture,CS,491,33
377,2006-2007,Esthétique des ouvrages de génie civil,CIVIL,476,48
378,2006-2007,Etudes d'impact,ENG,474,72
379,2006-2007,Experimental data analysis and modelization,MSE,400,12
380,2006-2007,Fabrication assistée par ordinateur,ME,416,40
381,2006-2007,Fracture mechanics,ME,432,5
382,2006-2007,Fundamentals of biomedical imaging,PHYS,438,16
383,2006-2007,Gestion de la maintenance des infrastructures,CIVIL,455,17
384,2006-2007,Gestion foncière et droit foncier,ENV,460,26
385,2006-2007,Géomécanique,CIVIL,402,11
386,2006-2007,HF and VHF circuits and techniques I,EE,425,59
387,2006-2007,Habitat et développement urbain,AR,465,45
388,2006-2007,Hardware systems modeling I,EE,432,55
389,2006-2007,Hardware systems modeling II,EE,433,6
390,2006-2007,Histoire de l'architecture VII,AR,423,92
391,2006-2007,Histoire de l'architecture VIII,AR,424,20
392,2006-2007,Human computer interaction,CS,486,43
393,2006-2007,Hydraulic turbomachines,ME,453,13
394,2006-2007,Hydraulique fluviale et aménagement de cours d'eau,CIVIL,410,14
395,2006-2007,Hydrogeophysics,ENV,523,16
396,2006-2007,Hydrologie urbaine,ENV,417,27
397,2006-2007,Image analysis and pattern recognition,EE,451,11
398,2006-2007,Image and video processing,EE,550,9
399,2006-2007,Image communication,EE,551,5
400,2006-2007,Image processing I,MICRO,511,88
401,2006-2007,Image processing II,MICRO,512,58
402,2006-2007,Industrial automation,CS,487,17
403,2006-2007,Industrialisation,MICRO,343,52
404,2006-2007,Information technology and e-business strategy,MGT,439,14
405,2006-2007,Information theory and coding,COM,404,22
406,2006-2007,Integrated circuits technology,EE,532,5
407,2006-2007,Intelligent agents,CS,430,29
408,2006-2007,Introduction au génie chimique II,ChE,202,67
409,2006-2007,Introduction au génie chimique TP,ChE,203,54
410,2006-2007,Introduction to cellular and molecular biotechnology,BIOENG,430,102
411,2006-2007,Introduction to particle accelerators,PHYS,448,7
412,2006-2007,Introduction à la physique des astroparticules,PHYS,439,7
413,2006-2007,Laboratory information management systems (LIMS),CH,404,1
414,2006-2007,Lasers and applications in chemistry,CH,446,2
415,2006-2007,Mass spectrometry,CH,403,4
416,2006-2007,Materials science,MSE,403,27
417,2006-2007,Materials selection,MSE,474,31
418,2006-2007,Matériaux et structures,CIVIL,532,33
419,2006-2007,Media security,EE,552,17
420,2006-2007,Microwaves,EE,445,21
421,2006-2007,Mobile networks,COM,405,57
422,2006-2007,Mobile robots,MICRO,454,39
423,2006-2007,Modèles stochastiques pour les communications,COM,300,54
424,2006-2007,Modélisation et représentation informatique I,AR,411,105
425,2006-2007,Modélisation et représentation informatique II,AR,412,28
426,2006-2007,Molecular endocrinology,BIO,450,44
427,2006-2007,Mécanique vibratoire,ME,332,62
428,2006-2007,Méthodes de détection optique,MICRO,523,8
429,2006-2007,Méthodes de production,MICRO,340,56
430,2006-2007,Nanobiotechnology and biophysics,CH,413,90
431,2006-2007,Nanoelectronics,EE,535,42
432,2006-2007,Nanomaterials,MSE,477,21
433,2006-2007,Optique I,PHYS,317,33
434,2006-2007,Optique II,PHYS,318,25
435,2006-2007,Optique III,PHYS,449,10
436,2006-2007,Optique TP,MICRO,423,5
437,2006-2007,"Organisation, économie et droit de la construction I",ENG,470,53
438,2006-2007,"Organisation, économie et droit de la construction II",ENG,471,27
439,2006-2007,Particle detection,PHYS,440,7
440,2006-2007,Particules élémentaires I,PHYS,415,14
441,2006-2007,Particules élémentaires II,PHYS,416,7
442,2006-2007,Pattern classification and machine learning,CS,433,56
443,2006-2007,Performance evaluation,COM,503,16
444,2006-2007,Photochemistry I,CH,442,2
445,2006-2007,Photochemistry II,CH,443,1
446,2006-2007,Physical models for micro and nanosystems,EE,536,42
447,2006-2007,Physique du solide III,PHYS,419,28
448,2006-2007,Physique moléculaire,CH,462,12
449,2006-2007,Planification intégrée des infrastructures d'énergie,CIVIL,442,14
450,2006-2007,Polyelectrolytes and biopolymers,ChE,412,4
451,2006-2007,Polymer chemistry and macromolecular engineering,MSE,437,9
452,2006-2007,Polymer morphological characterization techniques,MSE,451,7
453,2006-2007,Ponts en béton,CIVIL,430,37
454,2006-2007,Ponts en métal,CIVIL,431,20
455,2006-2007,Process development I,ChE,451,4
456,2006-2007,Process development II,ChE,452,3
457,2006-2007,Process development project,ChE,459,2
458,2006-2007,Quantum physics III,PHYS,425,16
459,2006-2007,Quantum physics IV,PHYS,426,22
460,2006-2007,Real-time embedded systems,CS,476,10
461,2006-2007,Real-time networks,COM,413,16
462,2006-2007,Reliability of MEMS,MICRO,533,23
463,2006-2007,Risques hydrologiques et aménagements,ENV,524,42
464,2006-2007,Réseaux hydrauliques et énergétiques,CIVIL,445,19
465,2006-2007,Sciences de la ville I,AR,459,18
466,2006-2007,Sciences de la ville II,AR,460,14
467,2006-2007,Selected topics in nuclear and particle physics,PHYS,400,8
468,2006-2007,Signal processing for communications,COM,303,57
469,2006-2007,Simulation multi-corps assistée par ordinateur,ME,475,13
470,2006-2007,Sociologie urbaine,AR,489,13
471,2006-2007,Software engineering,CS,305,57
472,2006-2007,Software-defined radio: a hands-on course,COM,511,7
473,2006-2007,Spacecraft design and system engineering,EE,584,3
474,2006-2007,Speech processing,EE,553,12
475,2006-2007,Statistical theories and electronic of solids,CH,441,2
476,2006-2007,Statistical theory,MATH,442,3
477,2006-2007,Statistics for genomic data analysis,MATH,474,31
478,2006-2007,Stem cell biology and technology,BIO,447,4
479,2006-2007,Structure and reactivity,CH,432,6
480,2006-2007,Structure et architecture,CIVIL,434,51
481,2006-2007,Structures complexes,AR,535,16
482,2006-2007,"Structures en métal, chapitres choisis",CIVIL,526,15
483,2006-2007,Structures existantes I : Sécurité et durabilité,CIVIL,436,50
484,2006-2007,Structures existantes II : Interventions,CIVIL,437,39
485,2006-2007,Student seminar: security protocols and applications,COM,506,7
486,2006-2007,Supply chain management,MGT,526,9
487,2006-2007,Supramolecular chemistry,CH,424,4
488,2006-2007,Systèmes de management environnementaux,ENV,469,53
489,2006-2007,TCP/IP networking,COM,407,78
490,2006-2007,Techniques d'assemblage,MICRO,440,9
491,2006-2007,Techniques d'assemblage I,MICRO,440,21
492,2006-2007,Techniques d'assemblage II,MICRO,441,21
493,2006-2007,Technologie des microstructures I,MICRO,331,54
494,2006-2007,Test of VLSI systems,EE,530,45
495,2006-2007,Thin film fabrication processes,MSE,465,6
496,2006-2007,Théorie de l'architecture VII,AR,421,96
497,2006-2007,Transducteurs et entraînements intégrés,EE,461,56
498,2006-2007,Transport et télématique,CIVIL,454,10
499,2006-2007,Turbomachines thermiques,ME,455,16
500,2006-2007,Two-phase flows and heat transfer,ME,446,15
501,2006-2007,UE : Environnement et GC,CIVIL,472,61
502,2006-2007,UE D : Territoire et société,AR,466,9
503,2006-2007,UE E : Architecture et structures,AR,438,15
504,2006-2007,UE F : Architecture et réhabilitation,AR,439,13
505,2006-2007,UE J : Territoire et paysage,AR,471,12
506,2006-2007,VLSI design I,EE,430,53
507,2006-2007,VLSI design II,EE,431,7
508,2006-2007,Ville et mobilité,AR,458,18
509,2006-2007,Virtual reality,CS,444,48
510,2006-2007,Water quality modeling,ENG,400,18
511,2006-2007,Wave propagation along transmission lines,EE,575,14
512,2007-2008,Advanced NMR and imaging,CH,401,4
513,2007-2008,Advanced analog and RF integrated circuits design I,EE,520,12
514,2007-2008,Advanced analog and RF integrated circuits design II,EE,521,11
515,2007-2008,Advanced analysis I,MATH,400,3
516,2007-2008,Advanced analysis II,MATH,401,2
517,2007-2008,Advanced compiler construction,CS,420,20
518,2007-2008,Advanced composites in engineering structures,CIVIL,443,22
519,2007-2008,Advanced computer architecture,CS,470,37
520,2007-2008,Advanced computer graphics,CS,440,18
