,year,course_name,section,id,enrollments
0,2004-2005,Advanced NMR and imaging,CH,401,4
1,2004-2005,Advanced analysis I,MATH,400,5
2,2004-2005,Advanced analysis II,MATH,401,6
3,2004-2005,Advanced compiler construction,CS,420,32
4,2004-2005,Advanced computer architecture,CS,470,31
5,2004-2005,Advanced computer graphics,CS,440,27
6,2004-2005,Advanced digital communications,COM,510,31
7,2004-2005,Algorithms,CS,250,4
8,2004-2005,Aménagement du territoire,AR,454,46
9,2004-2005,Aménagements hydrauliques II,CIVIL,412,8
10,2004-2005,Analyse de produits et systèmes,MICRO,443,23
11,2004-2005,Applied molecular quantum chemistry,CH,451,6
12,2004-2005,Architecture et construction de la ville I,AR,451,35
13,2004-2005,Architecture et construction de la ville II,AR,452,33
14,2004-2005,Assemblage et robotique TP,MICRO,442,37
15,2004-2005,Atoms and radiation,CH,360,13
16,2004-2005,Aérodynamique,ME,445,15
17,2004-2005,Barrages et ouvrages hydrauliques annexes,CIVIL,411,19
18,2004-2005,Bioanalytics and analytical sensors,CH,402,1
19,2004-2005,Biomaterials,BIOENG,442,13
20,2004-2005,Biometrics,EE,513,61
22,2004-2005,Biophysique I,PHYS,301,32
23,2004-2005,Cavitation et phénomènes d'interface,ME,462,6
24,2004-2005,Cementitious materials (advanced),MSE,420,6
25,2004-2005,Chimie des denrées alimentaires,ENG,433,9
26,2004-2005,Color reproduction,CS,441,27
27,2004-2005,Commande d'actionneurs à l'aide d'un microprocesseur + TP,MICRO,510,18
28,2004-2005,Computer-aided engineering,ME,417,38
29,2004-2005,Computer-supported cooperative work,CS,485,22
30,2004-2005,Conception pour X,ME,312,18
31,2004-2005,Contrôle stochastique,MATH,433,17
32,2004-2005,Corporate governance,MGT,552,13
33,2004-2005,Cryptography and security,COM,401,101
34,2004-2005,Dielectric and optical properties of materials,MSE,480,4
35,2004-2005,Diffraction methods in structural biology,PHYS,437,25
36,2004-2005,Distributed algorithms,CS,451,55
37,2004-2005,Distributed information systems,CS,423,150
38,2004-2005,Droit : contrats et responsabilité professionnelle,ENV,466,45
39,2004-2005,Dynamical system theory for engineers,COM,502,7
40,2004-2005,Dynamique des structures,CIVIL,420,24
41,2004-2005,Dynamique moléculaire et simulation Monte-Carlo,CH,351,8
42,2004-2005,Economie des transports,CIVIL,456,3
43,2004-2005,Embedded systems,CS,473,29
44,2004-2005,Energétique du bâtiment,ENG,445,6
45,2004-2005,Esthétique des ouvrages de génie civil,CIVIL,476,7
46,2004-2005,Etudes d'impact,ENG,474,27
47,2004-2005,Experimental data analysis and modelization,MSE,400,10
48,2004-2005,Fabrication assistée par ordinateur,ME,416,41
49,2004-2005,Fracture mechanics,ME,432,11
50,2004-2005,Gestion de la maintenance des infrastructures,CIVIL,455,12
51,2004-2005,Human computer interaction,CS,486,55
52,2004-2005,Hydraulic turbomachines,ME,453,16
53,2004-2005,Hydraulique fluviale et aménagement de cours d'eau,CIVIL,410,11
54,2004-2005,Industrial automation,CS,487,24
55,2004-2005,Industrialisation,MICRO,343,62
56,2004-2005,Information theory and coding,COM,404,34
57,2004-2005,Integrated circuits technology,EE,532,3
58,2004-2005,Intelligent agents,CS,430,21
59,2004-2005,Introduction au génie chimique II,ChE,202,58
60,2004-2005,Introduction au génie chimique TP,ChE,203,47
61,2004-2005,Introduction à l'architecture,AR,429,14
62,2004-2005,Introduction à la physique des astroparticules,PHYS,439,21
63,2004-2005,Mass spectrometry,CH,403,12
64,2004-2005,Materials selection,MSE,474,22
65,2004-2005,Matériaux et structures,CIVIL,532,6
66,2004-2005,Media security,EE,552,16
67,2004-2005,Microwaves,EE,445,20
68,2004-2005,Mobile networks,COM,405,128
69,2004-2005,Mobile robots,MICRO,454,43
70,2004-2005,Modèles stochastiques pour les communications,COM,300,39
71,2004-2005,Modélisation et représentation informatique I,AR,411,40
72,2004-2005,Modélisation et représentation informatique II,AR,412,35
73,2004-2005,Mécanique vibratoire,ME,332,40
74,2004-2005,Méthodes de détection optique,MICRO,523,7
75,2004-2005,Méthodes de production,MICRO,340,60
76,2004-2005,Nanobiotechnology and biophysics,CH,413,6
77,2004-2005,Nanoelectronics,EE,535,14
78,2004-2005,Nanomaterials,MSE,477,20
79,2004-2005,Optique I,PHYS,317,16
80,2004-2005,Optique II,PHYS,318,25
81,2004-2005,Optique III,PHYS,449,10
82,2004-2005,Optique TP,MICRO,423,11
83,2004-2005,"Organisation, économie et droit de la construction I",ENG,470,30
84,2004-2005,"Organisation, économie et droit de la construction II",ENG,471,16
85,2004-2005,Particle detection,PHYS,440,7
86,2004-2005,Particules élémentaires I,PHYS,415,24
87,2004-2005,Particules élémentaires II,PHYS,416,19
88,2004-2005,Pattern classification and machine learning,CS,433,53
89,2004-2005,Performance evaluation,COM,503,28
90,2004-2005,Photochemistry I,CH,442,14
91,2004-2005,Photochemistry II,CH,443,3
92,2004-2005,Physique du solide III,PHYS,419,23
93,2004-2005,Polyelectrolytes and biopolymers,ChE,412,21
94,2004-2005,Polymer chemistry and macromolecular engineering,MSE,437,24
95,2004-2005,Ponts en béton,CIVIL,430,15
96,2004-2005,Ponts en métal,CIVIL,431,12
97,2004-2005,Process development I,ChE,451,30
98,2004-2005,Process development II,ChE,452,24
99,2004-2005,Process development project,ChE,459,25
100,2004-2005,Quantum physics III,PHYS,425,18
101,2004-2005,Quantum physics IV,PHYS,426,10
102,2004-2005,Real-time embedded systems,CS,476,19
103,2004-2005,Réseaux hydrauliques et énergétiques,CIVIL,445,8
104,2004-2005,Selected topics in nuclear and particle physics,PHYS,400,10
105,2004-2005,Simulation multi-corps assistée par ordinateur,ME,475,8
106,2004-2005,Sociologie urbaine,AR,489,7
107,2004-2005,Software-defined radio: a hands-on course,COM,511,8
108,2004-2005,Speech processing,EE,553,16
109,2004-2005,Statistical theories and electronic of solids,CH,441,13
110,2004-2005,Statistics for genomic data analysis,MATH,474,19
111,2004-2005,Structure and reactivity,CH,432,14
112,2004-2005,"Structures en métal, chapitres choisis",CIVIL,526,16
113,2004-2005,Supramolecular chemistry,CH,424,12
114,2004-2005,TCP/IP networking,COM,407,195
115,2004-2005,Techniques d'assemblage I,MICRO,440,40
116,2004-2005,Techniques d'assemblage II,MICRO,441,36
117,2004-2005,Technologie des microstructures I,MICRO,331,71
118,2004-2005,Technologie des microstructures II,MICRO,431,69
119,2004-2005,Thin film fabrication processes,MSE,465,7
120,2004-2005,Transducteurs et entraînements intégrés,EE,461,17
121,2004-2005,Transport et télématique,CIVIL,454,11
122,2004-2005,Turbomachines thermiques,ME,455,11
123,2004-2005,Two-phase flows and heat transfer,ME,446,17
124,2004-2005,UE : Environnement et GC,CIVIL,472,33
125,2004-2005,UE D : Territoire et société,AR,466,15
126,2004-2005,VLSI design I,EE,430,19
127,2004-2005,VLSI design II,EE,431,9
128,2004-2005,Ville et mobilité,AR,458,19
129,2004-2005,Virtual reality,CS,444,27
130,2005-2006,Advanced NMR and imaging,CH,401,13
131,2005-2006,Advanced analog and RF integrated circuits design I,EE,520,25
132,2005-2006,Advanced analog and RF integrated circuits design II,EE,521,12
133,2005-2006,Advanced analysis I,MATH,400,9
134,2005-2006,Advanced analysis II,MATH,401,11
135,2005-2006,Advanced compiler construction,CS,420,10
136,2005-2006,Advanced computer architecture,CS,470,22
137,2005-2006,Advanced computer graphics,CS,440,42
138,2005-2006,Advanced cryptography,COM,501,1
139,2005-2006,Advanced diffusional separation processes,ChE,402,15
140,2005-2006,Advanced digital communications,COM,510,20
141,2005-2006,Advanced signal processing,EE,450,19
142,2005-2006,Air pollution and climate change,ENV,400,5
143,2005-2006,Aménagements hydrauliques II,CIVIL,412,14
144,2005-2006,Analog circuits design I,EE,420,57
145,2005-2006,Analog circuits design II,EE,421,14
146,2005-2006,Analyse de produits et systèmes,MICRO,443,9
147,2005-2006,"Analyse du cycle de vie, écobilan",ENV,370,41
148,2005-2006,Applied molecular quantum chemistry,CH,451,4
149,2005-2006,Architecture et construction de la ville I,AR,451,37
150,2005-2006,Architecture et construction de la ville II,AR,452,35
151,2005-2006,Assemblage et robotique TP,MICRO,442,19
152,2005-2006,Atoms and radiation,CH,360,11
153,2005-2006,Aérodynamique,ME,445,21
154,2005-2006,Barrages et ouvrages hydrauliques annexes,CIVIL,411,23
155,2005-2006,BioMEMS,MICRO,560,19
156,2005-2006,Bioanalytics and analytical sensors,CH,402,13
157,2005-2006,Biomaterials,BIOENG,442,5
158,2005-2006,Biometrics,EE,513,25
160,2005-2006,Biophysique I,PHYS,301,25
161,2005-2006,Cavitation et phénomènes d'interface,ME,462,20
162,2005-2006,Cellular signalling,CH,411,11
163,2005-2006,Cementitious materials (advanced),MSE,420,4
164,2005-2006,Chimie des denrées alimentaires,ENG,433,11
165,2005-2006,Color reproduction,CS,441,44
166,2005-2006,Commande d'actionneurs à l'aide d'un microprocesseur + TP,MICRO,510,33
167,2005-2006,Computer vision,CS,442,55
