,course_id,course_name,year,section,id
0,7,Adaptation and learning,2018-2019,EE,566
1,8,Adaptation and learning,2019-2020,EE,566
2,9,Adaptation and learning,2017-2018,EE,566
3,10,Spectroscopie analytique,2011-2012,CH,460
4,11,Spectroscopie analytique,2008-2009,CH,460
5,12,Spectroscopie analytique,2013-2014,CH,460
6,13,Spectroscopie analytique,2009-2010,CH,460
7,14,Spectroscopie analytique,2010-2011,CH,460
8,15,Spectroscopie analytique,2012-2013,CH,460
9,16,Spectroscopie analytique,2007-2008,CH,460
10,17,Spectroscopie analytique,2014-2015,CH,460
11,29,Heterogenous reaction engineering,2019-2020,ChE,403
12,46,"Organisation, économie et droit de la construction II",2017-2018,ENG,471
13,47,"Organisation, économie et droit de la construction II",2016-2017,ENG,471
14,48,"Organisation, économie et droit de la construction II",2007-2008,ENG,471
15,49,"Organisation, économie et droit de la construction II",2015-2016,ENG,471
16,50,"Organisation, économie et droit de la construction II",2010-2011,ENG,471
17,51,"Organisation, économie et droit de la construction II",2006-2007,ENG,471
18,52,"Organisation, économie et droit de la construction II",2005-2006,ENG,471
19,53,"Organisation, économie et droit de la construction II",2009-2010,ENG,471
20,54,"Organisation, économie et droit de la construction II",2012-2013,ENG,471
21,55,"Organisation, économie et droit de la construction II",2008-2009,ENG,471
22,56,"Organisation, économie et droit de la construction II",2004-2005,ENG,471
23,57,"Organisation, économie et droit de la construction II",2014-2015,ENG,471
24,58,"Organisation, économie et droit de la construction II",2011-2012,ENG,471
25,59,"Organisation, économie et droit de la construction II",2013-2014,ENG,471
26,62,Ouvrages hydrauliques et aménagements hydroélectriques,2019-2020,CIVIL,412
27,63,Ouvrages hydrauliques et aménagements hydroélectriques,2018-2019,CIVIL,412
28,64,Ouvrages hydrauliques et aménagements hydroélectriques,2015-2016,CIVIL,412
29,65,Ouvrages hydrauliques et aménagements hydroélectriques,2017-2018,CIVIL,412
30,66,Ouvrages hydrauliques et aménagements hydroélectriques,2016-2017,CIVIL,412
31,72,Basics of mobile robotics,2018-2019,MICRO,452
32,73,Basics of mobile robotics,2019-2020,MICRO,452
33,74,Fundamentals of biosensors and electronic biochips,2018-2019,EE,515
34,75,Fundamentals of biosensors and electronic biochips,2016-2017,EE,515
35,76,Fundamentals of biosensors and electronic biochips,2014-2015,EE,515
36,77,Fundamentals of biosensors and electronic biochips,2019-2020,EE,515
37,78,Fundamentals of biosensors and electronic biochips,2015-2016,EE,515
38,79,Fundamentals of biosensors and electronic biochips,2017-2018,EE,515
39,82,Scientific literature analysis in neuroscience,2018-2019,BIOENG,451
40,83,Scientific literature analysis in neuroscience,2019-2020,BIOENG,451
41,84,Scientific literature analysis in neuroscience,2015-2016,BIOENG,451
42,85,Scientific literature analysis in neuroscience,2014-2015,BIOENG,451
43,99,La recherche dans tous ses états II,2018-2019,HUM,455
44,99,La recherche dans tous ses états II,2018-2019,HUM,437
45,100,La recherche dans tous ses états II,2016-2017,HUM,455
46,100,La recherche dans tous ses états II,2016-2017,HUM,437
47,101,La recherche dans tous ses états II,2017-2018,HUM,455
48,101,La recherche dans tous ses états II,2017-2018,HUM,437
49,102,La recherche dans tous ses états II,2015-2016,HUM,455
50,102,La recherche dans tous ses états II,2015-2016,HUM,437
51,103,La recherche dans tous ses états II,2019-2020,HUM,455
52,103,La recherche dans tous ses états II,2019-2020,HUM,437
53,104,La recherche dans tous ses états II,2014-2015,HUM,455
54,104,La recherche dans tous ses états II,2014-2015,HUM,437
55,105,Bioelectronics and biomedical microelectronics,2017-2018,EE,519
