,course_name,set
0, Numerical approximation of PDE's II,"{33792, 18439, 36362, 15374, 17428, 31252, 18979, 26675, 44086, 37943, 25659, 7232, 28226, 29769, 14416, 8785, 17492, 43605, 33879, 11353, 2653, 2141, 11361, 34917, 40044, 23155, 25716, 11892, 6790, 20618, 35983, 42654, 19127, 26313, 8415, 33002, 18669, 34545, 12537, 34555, 19729, 4883, 1812, 23829, 8467, 41759, 10035, 31035, 33083, 13644, 31056, 23378, 11108, 15206, 36209, 33146, 15233, 17290, 37773, 20879, 24990, 39329, 18867, 13752, 17338, 6077, 43970, 974, 14798, 29648, 38353, 29650, 40409, 34778, 20957, 2529, 28643, 31210, 38891, 11758, 19449, 32764, 1023}"
1,A Political History of Urban Form,"{26634, 44558, 2579, 9748, 39447, 43544, 38941, 12320, 23076, 13354, 1067, 43051, 24622, 17457, 7218, 13369, 32827, 17473, 18497, 37442, 13901, 4686, 23631, 2139, 41565, 608, 36961, 41058, 22628, 36453, 10857, 26730, 12910, 12916, 33403, 8319, 17538, 25220, 7825, 35479, 5282, 11435, 5292, 1709, 9396, 40120, 15550, 34496, 7874, 20167, 20681, 35026, 41173, 1758, 9441, 18666, 16631, 12535, 19708, 9471, 20224, 13571, 12548, 19719, 29959, 37133, 11027, 25364, 35605, 3865, 25369, 7461, 4903, 9515, 15664, 38704, 35638, 34107, 31548, 15186, 1875, 7512, 26975, 10092, 27500, 4464, 21371, 19837, 42880, 15238, 7050, 20369, 14743, 8601, 28569, 10139, 19356, 34201, 27057, 37812, 28598, 28089, 11195, 21948, 43454, 38336, 39873, 22983, 24521, 8661, 36828, 10717, 18912, 33249, 38372, 26085, 32238, 38383, 32240, 14836, 5109, 29684}"
2,A guided tour for engineers in applied stochastic modelling,"{17159, 15496, 23559, 14602, 32908, 28431, 37777, 44050, 39702, 10775, 30487, 34330, 8485, 44583, 1065, 15404, 33197, 34478, 24367, 34862, 37041, 6572, 34225, 44596, 42304, 38850, 26699, 36173, 8654, 22738, 30674, 21720, 37852, 21469, 17379, 25701, 17255, 13290, 23020, 26997, 33401, 3451, 35070, 3455}"
3,A history of abstraction in architecture,"{5634, 33287, 30730, 40458, 13324, 43024, 4115, 4124, 37410, 4643, 10275, 15403, 11310, 24622, 50, 5170, 27192, 42042, 13883, 5181, 18497, 42565, 11847, 32330, 19025, 35923, 20564, 5719, 14937, 2139, 19041, 41058, 6245, 19561, 2669, 16494, 40564, 12405, 10382, 18577, 16023, 28321, 10920, 26280, 31402, 5292, 1709, 16044, 40120, 7874, 42692, 20681, 1738, 34511, 2768, 41173, 26332, 32989, 1758, 19679, 15584, 2275, 4326, 231, 1769, 39145, 1262, 2287, 41710, 19708, 9471, 19719, 44304, 37141, 15126, 34582, 26403, 12581, 11558, 35622, 20267, 33581, 12590, 6447, 36655, 33591, 16699, 42310, 29512, 11598, 1875, 1877, 22873, 13155, 33640, 9577, 10092, 34669, 31602, 18293, 29065, 7050, 19342, 4496, 6033, 20369, 32147, 8597, 40341, 1431, 32154, 19868, 35230, 42910, 14755, 12708, 33187, 39334, 38317, 35248, 9137, 1461, 28598, 10169, 33210, 41402, 38336, 22983, 19923, 24532, 10710, 36828, 19933, 990, 18912, 29684, 26617, 14332, 17406}"
4,A network tour of data science,"{20482, 20485, 16390, 2055, 34825, 2057, 26635, 38923, 24591, 32784, 16399, 6162, 20, 12313, 16413, 14367, 6179, 24612, 10277, 36, 20522, 12339, 16440, 28731, 43080, 12395, 24685, 18542, 4212, 34934, 127, 4228, 26759, 24712, 14474, 22667, 14476, 37013, 14486, 6295, 32920, 39067, 12445, 43172, 28840, 12458, 171, 26795, 28844, 30900, 43197, 43198, 12479, 22720, 22719, 30920, 8397, 16590, 10448, 28895, 35047, 232, 20714, 26858, 4332, 39150, 16627, 39161, 22799, 4368, 24847, 18706, 30995, 30996, 24856, 26906, 39203, 31012, 2342, 41260, 20791, 6458, 4414, 16709, 28999, 26953, 35148, 29005, 16716, 41297, 2394, 12635, 24925, 33118, 8542, 12643, 26980, 24935, 2411, 370, 16754, 20852, 41335, 39288, 24965, 2447, 33186, 8624, 25009, 4528, 435, 27067, 10684, 33212, 2492, 31167, 8637, 31190, 473, 12779, 8686, 25070, 8689, 14851, 23049, 23052, 10764, 12818, 23059, 43539, 8733, 18980, 12836, 43557, 12844, 27182, 21045, 23097, 10810, 10813, 16964, 21064, 14922, 14923, 14924, 6735, 610, 35437, 624, 25203, 2676, 21109, 33409, 4740, 35462, 12939, 10891, 39571, 31382, 21152, 23205, 39589, 21165, 23215, 8879, 15032, 43704, 17092, 33478, 33482, 13003, 4813, 10964, 43746, 33506, 35554, 4836, 25319, 19176, 19179, 8940, 10994, 35571, 17138, 15096, 763, 19202, 4876, 43795, 789, 37655, 37658, 13084, 27429, 15141, 13097, 35645, 6982, 15175, 29510, 4939, 29521, 15187, 21332, 25430, 39772, 21341, 7007, 869, 37734, 29548, 41844, 33652, 19327, 23423, 9089, 43908, 2954, 13204, 25495, 7065, 15258, 7069, 23454, 7083, 23471, 25525, 27574, 23478, 21432, 43958, 37835, 27596, 41938, 7126, 37848, 27614, 33765, 23527, 35817, 5103, 39922, 5107, 13300, 44033, 42002, 27667, 37906, 25621, 29719, 29720, 33823, 29728, 15394, 23587, 37929, 5163, 9262, 35888, 5171, 37945, 37949, 9277, 33857, 37958, 27719, 40009, 9290, 33876, 29787, 35938, 3172, 25700, 17510, 29800, 25709, 21622, 19577, 40058, 35964, 27777, 38017, 23685, 9352, 11402, 13455, 25744, 15519, 42148, 25765, 29864, 42165, 17592, 21689, 21701, 5320, 13516, 33998, 42193, 17619, 5332, 36059, 9436, 3297, 23778, 44273, 15603, 5366, 27899, 17663, 23810, 3331, 3333, 21769, 11531, 23834, 21789, 21791, 42280, 5422, 42287, 1328, 15671, 40249, 3396, 9551, 44374, 44376, 19800, 1373, 36195, 1384, 17774, 38254, 19829, 23926, 17783, 9593, 15738, 44413, 13701, 7558, 17802, 17804, 15757, 13710, 11682, 23973, 30123, 21932, 28077, 36271, 15801, 28101, 40391, 11724, 30157, 40408, 38360, 13788, 24030, 17888, 13797, 38377, 42476, 44537, 44538, 44539, 30209, 11779, 24077, 38414, 30229, 30230, 24094, 42536, 3627, 20024, 24121, 30278, 22092, 30288, 1618, 18012, 44644, 38502, 28272, 24182, 26232, 15997, 40582, 3724, 7832, 13985, 16041, 18094, 22195, 42675, 11957, 38582, 42693, 40647, 26315, 20173, 28365, 44754, 42710, 22230, 14042, 22236, 28387, 40677, 26346, 14063, 18159, 40689, 28403, 38645, 42745, 24316, 32516, 42759, 44811, 42769, 26399, 28451, 30503, 40751, 5937, 12081, 36657, 18229, 20281, 38719, 5953, 1857, 8005, 42829, 20305, 18265, 32604, 42847, 18272, 24417, 42849, 36711, 28528, 38768, 8059, 42876, 42878, 40831, 8072, 28567, 38816, 24484, 1961, 36778, 32683, 14251, 20396, 40879, 22453, 32695, 4032, 38856, 8137, 1996, 34774, 24543, 8164, 28645, 18409, 30699, 10225, 2037}"
5,Accounting for finance,"{4097, 23554, 3073, 19974, 20489, 4618, 29706, 42510, 9234, 27155, 20500, 11806, 13855, 10273, 26150, 40486, 25129, 43, 29233, 31283, 33844, 19510, 21047, 35382, 29753, 6206, 14401, 67, 40003, 9287, 40009, 17997, 20046, 11858, 6230, 10327, 13401, 31321, 21084, 16988, 31329, 609, 19555, 37991, 37992, 22638, 13423, 19569, 41644, 6262, 20603, 7804, 16508, 3196, 21119, 25771, 1153, 31362, 33405, 40068, 5254, 40072, 9358, 11407, 22673, 23187, 7827, 15511, 5787, 27291, 6813, 21150, 25251, 40611, 44203, 9900, 685, 44206, 1711, 1712, 28849, 9906, 37553, 22525, 27317, 15030, 37040, 12467, 28340, 40634, 44219, 21179, 12477, 1726, 42681, 44224, 42180, 43717, 43206, 44233, 34509, 37072, 41169, 17106, 19666, 17618, 21714, 24793, 38108, 31455, 28896, 39138, 13538, 31973, 42726, 3815, 41703, 44779, 13548, 2286, 15088, 42224, 22263, 22776, 8953, 22266, 32508, 30462, 6911, 35586, 19717, 9990, 44296, 8459, 37132, 1293, 269, 43791, 40208, 37654, 2327, 39191, 43800, 5911, 6940, 31005, 44832, 13601, 36130, 31012, 10534, 19752, 32046, 13104, 16689, 44343, 39736, 44345, 36154, 15675, 22332, 23869, 44349, 22847, 5440, 35141, 25415, 18253, 34638, 44369, 15535, 15700, 16213, 41302, 35671, 9562, 10075, 17243, 24413, 12122, 18785, 12642, 43363, 24418, 21862, 8043, 19821, 15217, 34673, 8563, 25459, 41340, 13694, 1196, 34184, 41355, 27023, 19859, 18324, 5525, 14230, 2969, 14237, 22945, 12710, 27559, 8107, 940, 38320, 17840, 15282, 25523, 7096, 441, 37306, 3512, 37308, 43969, 1474, 43971, 14791, 12744, 4041, 16332, 21965, 2515, 32212, 25045, 12755, 2012, 43998, 18400, 13793, 38371, 13795, 17400, 491, 34284, 4587, 42478, 35832, 22009, 22522, 41981, 44543}"
6,Adaptation and learning,"{30336, 16641, 35462, 42759, 10891, 24077, 3345, 21398, 20505, 25508, 29864, 16041, 28842, 40879, 2492, 15175, 13516, 29521, 19153, 42193, 19927, 18409, 18159, 34425, 20987, 25087}"
7,Advanced Fossil and Renewable Energy Systems,"{22528, 0, 36871, 36874, 30736, 40985, 22561, 14371, 6180, 36902, 6186, 22579, 2101, 4153, 30778, 43068, 43069, 12350, 36926, 2112, 38974, 32834, 18498, 22599, 30797, 8272, 30801, 36948, 28759, 14431, 22624, 22626, 39013, 36966, 12393, 8305, 20595, 8316, 30848, 36992, 10379, 30866, 24729, 8345, 26778, 28839, 14518, 6327, 30905, 20669, 24767, 35012, 8391, 32967, 14538, 37067, 28879, 30931, 30938, 14568, 12527, 4338, 12532, 35060, 24824, 20729, 252, 12541, 254, 18686, 258, 41226, 33036, 33037, 30990, 18708, 33045, 35095, 24868, 35123, 20788, 37177, 12606, 26952, 24913, 24918, 35159, 2403, 43366, 16744, 2409, 33133, 41326, 20846, 31092, 27005, 6530, 20872, 402, 404, 37275, 31144, 27050, 22957, 440, 37320, 22986, 6609, 37335, 20975, 33265, 4593, 8692, 18935, 41477, 41478, 6662, 4618, 6666, 2576, 6674, 8729, 25124, 31275, 25135, 23093, 39485, 25184, 35431, 16999, 21100, 8813, 14964, 4727, 6779, 21116, 43646, 29312, 27266, 29318, 37512, 35465, 29326, 23183, 21144, 27292, 35495, 43688, 37551, 33457, 43698, 21174, 43702, 43703, 29369, 4798, 10945, 2755, 712, 19145, 33485, 33488, 31441, 33490, 15059, 17116, 13021, 15074, 19181, 29431, 2817, 23328, 35616, 33577, 33579, 37681, 27446, 15165, 832, 31552, 835, 6981, 31558, 9034, 25431, 37735, 7018, 2927, 37746, 4983, 11128, 7032, 2938, 17280, 4998, 11156, 21405, 927, 21410, 15269, 17326, 21422, 7093, 31673, 31680, 27610, 3045, 5094, 33773, 13294, 7156, 33780, 27636, 39924, 29688, 39930, 41979, 11259, 37884, 15355, 35850, 17433, 3098, 19481, 11293, 3108, 23591, 15402, 25643, 35893, 33848, 9278, 35929, 42084, 19556, 17511, 25703, 31850, 42094, 38014, 7317, 40087, 27799, 29849, 40096, 42153, 42158, 3246, 31921, 5300, 25780, 17590, 21690, 3265, 40129, 1224, 7370, 3283, 27865, 11490, 11502, 21747, 21751, 13561, 23803, 7424, 25871, 29967, 21780, 5397, 25880, 1312, 27939, 13605, 11575, 23864, 30015, 30018, 19785, 1354, 38223, 30041, 3419, 42338, 21867, 30068, 32126, 32132, 7585, 42403, 15785, 30121, 28087, 1465, 13758, 40384, 1475, 36292, 32205, 19919, 38361, 24028, 15839, 36334, 36335, 9712, 22005, 42489, 22015, 3584, 26116, 19991, 3609, 32281, 7715, 36393, 26156, 20021, 44599, 38457, 26171, 26173, 3655, 32332, 5711, 22100, 44633, 9818, 11871, 18020, 11882, 36461, 1646, 3693, 42617, 42620, 5762, 24201, 34460, 18080, 24226, 5800, 3753, 38589, 14022, 42706, 18143, 12019, 12022, 18170, 26365, 7933, 40701, 16132, 5892, 22286, 5907, 24348, 38685, 42783, 20259, 22316, 10038, 3901, 26431, 20292, 30533, 14152, 14153, 38730, 20304, 24412, 12136, 36713, 22376, 22379, 14185, 1906, 1908, 36727, 12159, 36744, 24463, 24468, 8086, 36760, 16288, 24482, 36770, 38823, 38826, 30639, 30649, 26559, 34766, 34772, 12254, 10229, 30712, 32763, 14333}"
8,Advanced MEMS,"{24229, 8262, 15015, 2024, 1961, 5449, 20491, 42215, 6520, 33913, 4634, 12158, 31295}"
9,Advanced MEMS & microsystems,"{19968, 31745, 13314, 25095, 27658, 20491, 41997, 17934, 27150, 19472, 19981, 44050, 10259, 12819, 13331, 27152, 37399, 9244, 8733, 8734, 12831, 26652, 20002, 30245, 44583, 6696, 12339, 39989, 41023, 38467, 24650, 14923, 14930, 3670, 5211, 29787, 33884, 44640, 26722, 22116, 4197, 33901, 23665, 20597, 9334, 10361, 41093, 43142, 12432, 32401, 4245, 14998, 10903, 35481, 2716, 28830, 39585, 22690, 34465, 44195, 43176, 30379, 28844, 39595, 44203, 37552, 23733, 38585, 29371, 20670, 7361, 28354, 17605, 13000, 25806, 29393, 35539, 19157, 23256, 3291, 44251, 21724, 6875, 27363, 31459, 28909, 18164, 20725, 23800, 20223, 8970, 11531, 5388, 9996, 19216, 36626, 2835, 3860, 24855, 4890, 14110, 1831, 2343, 6441, 7979, 9521, 23858, 14643, 42802, 19251, 39730, 25399, 30514, 28479, 5953, 34114, 11078, 330, 8011, 4945, 3924, 22870, 1373, 18272, 34145, 35174, 23402, 40300, 38768, 38268, 3964, 5005, 9102, 3984, 43412, 19349, 8600, 24496, 6577, 18355, 6579, 8627, 33207, 40379, 26044, 38850, 35267, 31684, 19910, 29639, 31692, 14306, 21479, 18921, 12782, 7150, 8688, 2542, 19956, 3063, 40952, 24057, 509}"
10,Advanced NMR and imaging,"{10753, 38403, 12293, 15366, 39946, 34827, 5131, 1038, 2577, 35348, 36893, 35871, 8223, 3105, 21030, 18986, 42541, 35374, 6191, 27695, 13361, 14386, 15407, 37940, 27701, 31279, 10807, 8247, 13368, 32307, 28220, 17472, 43584, 31298, 41026, 35908, 34372, 32838, 6215, 14408, 40515, 35402, 1611, 38987, 36941, 37966, 16975, 11856, 41041, 22610, 43597, 15436, 32851, 41047, 10839, 16987, 42075, 5734, 10343, 40040, 7785, 25707, 1643, 1133, 27760, 9844, 31861, 23670, 16509, 639, 15492, 42117, 7814, 17029, 12427, 35468, 9872, 29328, 22162, 36497, 7319, 32921, 4250, 30362, 23197, 24733, 34985, 27306, 33961, 7857, 39094, 28343, 43191, 38588, 11452, 4286, 39104, 1217, 21699, 12995, 21703, 3271, 9417, 3787, 36557, 25807, 9424, 4303, 10962, 33491, 20183, 34520, 15065, 3288, 5336, 38620, 42713, 18654, 43739, 12000, 44250, 1762, 27362, 29924, 29413, 6370, 12001, 31978, 6380, 1261, 39669, 31994, 42235, 44284, 38141, 4865, 12034, 32009, 34570, 19724, 10510, 9487, 39696, 6931, 44307, 41752, 9498, 28955, 12061, 36638, 44833, 2341, 6442, 9004, 20783, 7896, 35125, 24892, 6465, 6472, 20811, 36171, 18764, 43342, 26447, 31568, 14162, 32596, 29013, 2902, 4948, 43866, 31067, 37211, 11102, 42336, 14689, 9570, 22371, 38759, 23912, 41321, 20329, 12140, 2414, 42862, 9584, 38257, 24947, 34164, 20341, 28022, 26485, 14714, 25985, 42881, 33158, 35207, 26505, 23945, 34190, 27538, 42386, 29588, 3477, 35739, 30204, 42909, 7584, 37282, 28068, 7079, 13226, 16810, 17325, 34734, 4533, 29115, 5565, 1472, 9667, 13766, 5575, 23495, 2506, 18382, 33234, 11731, 28118, 27610, 13274, 28639, 25569, 43493, 40423, 487, 6121, 26602, 43495, 21480, 22503, 19946, 5104, 35314, 19955, 30708, 20476, 32253}"
11,Advanced VLSI design,"{8199, 15880, 43539, 3605, 3620, 31794, 563, 34868, 38459, 41028, 26202, 44640, 22627, 20582, 43112, 29800, 31340, 39534, 8307, 10368, 25736, 26251, 39589, 2219, 4793, 10431, 12999, 13003, 16077, 22230, 42710, 25319, 22251, 38124, 4332, 42748, 22783, 25350, 41228, 44812, 30995, 31007, 20772, 4910, 6963, 11059, 1335, 39740, 16702, 38719, 27457, 10565, 329, 40780, 9551, 39764, 25430, 37719, 3420, 43874, 44386, 3952, 20852, 22906, 3962, 12681, 19339, 31118, 37780, 35221, 27543, 40864, 14758, 7081, 8106, 4528, 43958, 15801, 39364, 30150, 38857, 9684, 24543, 40424, 37874, 29690}"
12,Advanced additive manufacturing technologies,"{8956, 39816, 19472, 14098, 24083, 3860, 4245, 43416, 11161, 17178, 40602, 21155, 1577, 42540, 39214, 11572, 29753, 23866, 9788, 3007, 40135, 13000, 28361, 5961, 9932, 10958, 23376, 35537, 16338, 23507, 36562, 23382, 23896, 41561, 1373, 24800, 21601, 38369, 15458, 22116, 40680, 11625, 12782, 36206, 22900, 25717, 9596}"
