,section,course_name,id
226,EE,Fundamentals of biosensors and electronic biochips,515
227,EE,Bio-nano-chip design,517
228,EE,Analog circuits for biochip,518
229,EE,Bioelectronics and biomedical microelectronics,519
230,EE,HF and VHF circuits and techniques II,525
231,EE,Test of VLSI systems,530
232,EE,Integrated circuits technology,532
233,EE,Nanoelectronics,535
234,EE,Physical models for micro and nanosystems,536
235,EE,Electrical filters,539
236,EE,Optical communications,540
237,EE,Audio,548
238,EE,Image and video processing,550
239,EE,Media security,552
240,EE,Automatic speech processing,554
241,EE,Systems and architectures for signal processing,555
242,EE,Mathematics of data: from theory to computation,556
243,EE,Semiconductor devices I,557
244,EE,A network tour of data science,558
245,EE,Deep learning,559
246,EE,Industrial electronics II,565
247,EE,Adaptation and learning,566
248,EE,Semiconductor devices II,567
249,EE,Power system restructuring and deregulation,570
250,EE,Wave propagation along transmission lines,575
251,EE,Electromagnetic compatibility,576
252,EE,Conception de mécanismes spatiaux : introduction,580
253,EE,Spacecraft avionics architectures,583
254,EE,Spacecraft design and system engineering,584
255,EE,Space mission design and operations,585
256,EE,Introduction to planetary sciences,586
257,EE,Advanced lab in electrical energy systems,588
258,EE,Projet en technologies spatiales,589
259,EE,Social media,593
260,EE,Stage d'ingénieur (master en Génie électrique et électronique),596
261,EE,Stage d'ingénieur crédité avec le PDM (master en Génie électrique et électronique),597
262,EE,Advanced lab in electrical engineering,598
263,ENG,Distributed intelligent systems,466
264,MATH,Discrete optimization,261
265,MATH,Statistics for data science,413
266,ME,Energy conversion and renewable energy,409
269,MGT,Convex optimization,418
270,MGT,Optimal decision making,483
271,MICRO,Selected topics in advanced optics,420
272,MICRO,Imaging optics,421
273,MICRO,Lasers: theory and modern applications,422
274,MICRO,Optics laboratories I,423
275,MICRO,Applied machine learning,455
276,MICRO,Low-power radio design for IoT,461
277,MICRO,Scaling laws & simulations in micro & nanosystems,470
278,MICRO,Photonic micro- and nanosystems,504
279,MICRO,Signal processing for functional brain imaging,513
280,MICRO,Flexible bioelectronics,514
281,MICRO,Optical detectors,523
282,MICRO,BioMEMS,560
283,MICRO,Biomicroscopy I,561
284,MICRO,Biomicroscopy II,562
285,MICRO,Fundamentals & processes for photovoltaic devices,565
286,MICRO,Seminar in physiology and instrumentation,568
287,MICRO,Deep Learning for Optical Imaging,723
289,PHYS,Semiconductor physics and light-matter interaction,433
290,PHYS,Physics of photonic semiconductor devices,434
291,PHYS,Fundamentals of biomedical imaging,438
292,PHYS,Optique III,449
293,PHYS,Quantum electrodynamics and quantum optics,453
294,PHYS,Quantum optics and quantum information,454
302,COM,Information theory and signal processing,406
303,COM,Audio and acoustic signal processing,415
306,CS,Digital education & learning analytics,411
308,CS,Database systems,422
310,CS,Introduction to natural language processing,431
312,CS,Advanced computer graphics,440
313,CS,Computer vision,442
314,CS,Virtual reality,444
315,CS,Digital 3D geometry processing,446
316,CS,Human computer interaction,486
317,DH,Digital musicology,401
318,DH,Cultural data sculpting,404
319,DH,Foundation of digital humanities,405
320,DH,Machine learning for DH,406
321,DH,Design research for digital innovation,411
322,DH,History and the digital,412
323,DH,Stage d'ingénieur (master en Humanités digitales),490
327,EE,Computational Social Media,727
328,ENG,Spatial statistics and analysis,440
329,ENV,Exploratory data analysis and geovisualization,444
330,MATH,Linear models,341
331,MGT,Strategic marketing & technology commercialization,401
332,MGT,Technology & innovation strategy,414
333,MICRO,Image processing I,511
334,MICRO,Image processing II,512
335,BIO,Cellular biology and biochemistry for engineers,105
337,COM,Cryptography and security,401
338,COM,Information security and privacy,402
343,COM,Advanced probability and applications,417
344,COM,Modern digital communications: a hands-on approach,430
346,COM,Statistical signal and data processing through applications,500
347,COM,Dynamical system theory for engineers,502
348,COM,Performance evaluation,503
349,COM,Networks out of control,512
350,COM,Mathematical foundations of signal processing,514
351,COM,Markov chains and algorithmic applications,516
353,CS,Technology ventures in IC,410
355,CS,Software security,412
357,CS,Advanced compiler construction,420
360,CS,Intelligent agents,430
363,CS,Decentralized systems engineering,438
364,CS,Optimization for machine learning,439
369,CS,Sublinear algorithms for big data analysis,448
370,CS,Advanced algorithms,450
371,CS,Distributed algorithms,451
372,CS,Foundations of software,452
373,CS,Concurrent algorithms,453
374,CS,Topics in theoretical computer science,455
375,CS,Artificial neural networks,456
383,CS,Experience design,489
384,CS,Business design for IT services,490
385,CS,Enterprise and service-oriented architecture,491
386,CS,Projet en informatique II,498
387,CS,Principles of computer systems,522
388,CS,Advanced topics on privacy enhancing technologies,523
389,CS,Computational complexity,524
390,CS,Foundations and tools for processing tree structured data,525
391,CS,Learning theory,526
392,CS,Formal verification,550
393,CS,Stage d'ingénieur crédité avec le PDM (master en Informatique),595
394,CS,Optional project in computer science,596
403,MATH,Set theory,318
404,MATH,Algebraic curves and cryptography,409
405,MATH,Probabilistic methods,467
406,MATH,Gödel and recursivity,483
407,MATH,Number theory in cryptography,489
408,MATH,Applied biostatistics,493
411,BIO,Biomolecular structure and mechanics,315
412,BIO,Scientific project design in synthetic biology (iGEM),318
413,BIO,Bioimage informatics,410
414,BIO,Nutrition: from molecules to health,441
415,BIO,Fundamentals of biophotonics,443
416,BIO,Stem cell biology and technology,447
417,BIO,Understanding statistics and experimental design,449
418,BIO,Molecular endocrinology,450
419,BIO,Introduction au droit et à l'éthique,455
420,BIO,Genomics and bioinformatics,463
421,BIO,Scientific project design in cell and developmental biology,464
423,BIO,Scientific literature analysis in bioengineering,467
424,BIO,Scientific literature analysis in computational molecular biology,468
425,BIO,Cancer biology I,471
426,BIO,Cancer biology II,472
427,BIO,Infection biology,477
428,BIO,Pharmacology and pharmacokinetics,478
429,BIO,Immunology,479
430,BIO,Neuroscience: from molecular mechanisms to disease,480
431,BIO,Neuroscience: cellular and circuit mechanisms,482
432,BIO,Neuroscience: behavior and cognition,483
433,BIO,Scientific project design in translational neurosciences,487
434,BIO,Scientific project design in translational oncology,488
435,BIO,New tools & research strategies in personalized health,491
436,BIO,Scientific project design in integrative neurosciences,493
437,BIO,Scientific project design in drug discovery,494
438,BIO,Lab immersion I,501
439,BIO,Lab immersion II,502
440,BIO,Lab immersion III,503
441,BIO,Lab immersion academic (outside EPFL),504
442,BIO,Lab immersion in industry,506
443,BIOENG,Immunoengineering,399
444,BIOENG,Analysis and modelling of locomotion,404
445,BIOENG,Single cell biology,420
446,BIOENG,Biomaterials,442
447,BIOENG,Advanced bioengineering methods laboratory,444
448,BIOENG,Biomedical optics,445
450,BIOENG,Tissue engineering,449
451,BIOENG,In silico neuroscience,450
452,BIOENG,Scientific literature analysis in neuroscience,451
453,BIOENG,Computational cell biology,455
454,BIOENG,Controlling behavior in animals and robots,456
455,BIOENG,Neuroengineering of vision,457
456,BIOENG,Sensorimotor neuroprosthetics,486
457,BIOENG,Lab methods : animal experimentation,511
458,BIOENG,Lab methods : bioactive compounds screening,512
459,BIOENG,Lab methods : biosafety,513
460,BIOENG,Lab methods : flow cytometry,514
461,BIOENG,Lab methods : histology,516
462,BIOENG,Lab methods : proteomics,517
463,BIOENG,Industry internship,596
464,CH,Frontiers in chemical biology,412
465,CH,Nanobiotechnology and biophysics,413
466,COM,Modèles stochastiques pour les communications,300
468,CS,Introduction à l'informatique visuelle,211
470,CS,Computational motor control,432
472,CS,Unsupervised & reinforcement learning in neural networks,434
473,ChE,Principles and applications of systems biology,411
477,EE,Brain computer interaction,514
479,EE,Data analysis and model classification,516
482,MATH,Mathematical physiology,475
484,ME,Structural mechanics (for SV),231
490,MGT,Applied probability & stochastic processes,484
491,MICRO,Fundamentals of microfabrication,331
501,MSE,Nanomaterials,477
502,PHYS,Biophysics : physics of biological systems,302
504,PHYS,Statistical physics of biomacromolecules,441
510,EE,Apprentissage et intelligence artificielle,311
511,FIN,Introduction to finance,401
512,FIN,Econometrics,403
513,FIN,Derivatives,404
514,FIN,Investments,405
515,FIN,Macrofinance,406
516,FIN,Financial econometrics,407
517,FIN,Real options and financial structuring,410
518,FIN,Accounting for finance,411
519,FIN,Financial applications of blockchains and distributed ledgers,413
520,FIN,Optimization methods,414
521,FIN,Stochastic calculus,415
522,FIN,Interest rate and credit risk models,416
523,FIN,Quantitative risk management,417
524,FIN,Machine learning for finance,418
525,FIN,Computational finance,472
526,FIN,Advanced derivatives,503
527,FIN,Venture capital,522
528,FIN,Global business environment,523
529,FIN,Financial big data,525
530,FIN,Engineering internship credited with master project (master in Financial Engineering),598
531,MATH,Time series,342
532,MATH,Advanced numerical analysis,351
533,MATH,Modern regression methods,408
534,MATH,Statistical machine learning,412
535,MATH,"Risk, rare events and extremes",447
536,MATH,Numerical integration of stochastic differential equations,450
537,MATH,Numerical approximation of PDEs,451
538,MATH,Numerical analysis and computational mathematics,456
539,MATH,Mathematical modelling of behavior,463
540,MGT,Data science in practice,415
541,MGT,Network analytics,416
542,MGT,Data science for business,432
543,MGT,Principles of microeconomics,454
544,MICRO,Machine learning programming,401
546,MICRO,Advanced machine learning,570
557,MGT,Corporate strategy,400
559,MGT,Economics of innovation and IP,404
560,MGT,Economics of innovation & management in energy,407
561,MGT,Technology policy and the energy transition,408
562,MGT,"D. Thinking: real problems, human-focused solutions",409
563,MGT,Applied corporate & industry analysis,410
564,MGT,Innovation management,411
565,MGT,Organizational behavior,412
566,MGT,Entrepreneurship & new venture strategy,413
570,MGT,Value chain management in practice,417
572,MGT,Systemic & strategic problem solving,419
573,MGT,Logistique et analyse de la demande,426
575,MGT,Quantitative systems modeling techniques,430
577,MGT,Information technology & digital strategy,439
578,MGT,"Industry dynamics, models & trends",453
580,MGT,Practical business law,455
581,MGT,Negotiation techniques,466
582,MGT,Leading and managing in a global context,468
583,MGT,Intercultural presentation skills,469
584,MGT,Financial & managerial accounting,481
585,MGT,Principles of finance,482
588,MGT,Supply chain management,526
589,MGT,Operations: economics & strategy,528
590,MGT,Innovation & entrepreneurship in engineering,555
591,MGT,Introduction to econometrics,581
592,MGT,Engineering internship credited with master project (master in Management of Technology and Entrepreneurship),597
599,EE,Circuits intégrés I,320
601,EE,Transducteurs et entraînements intégrés,461
609,ENV,Advanced satellite positioning,542
619,MICRO,Products design & systems engineering,406
625,MICRO,Optics laboratories II,424
626,MICRO,Laser fundamentals and applications for engineers,426
627,MICRO,Materials and technology of microfabrication,431
628,MICRO,Techniques d'assemblage,440
629,MICRO,Analyse de produits et systèmes,443
630,MICRO,Manufacturing systems and supply chain dynamics,448
632,MICRO,Basics of mobile robotics,452
636,MICRO,Projet microtechnique I,498
637,MICRO,Projet microtechnique II,499
638,MICRO,MEMS practicals I,501
639,MICRO,Aerial robotics,502
640,MICRO,MEMS practicals II,503
642,MICRO,Organic and printed electronics,505
643,MICRO,Legged robots,507
644,MICRO,Commande embarquée de moteurs,510
649,MICRO,Evolutionary robotics,515
650,MICRO,Laser microprocessing,520
652,MICRO,Nanotechnology,530
653,MICRO,Advanced MEMS & microsystems,534
654,MICRO,Haptic human robot interfaces,553
659,MICRO,Large-area electronics: devices and materials,566
661,MICRO,Stage d'ingénieur crédité avec le PDM (master en Microtechnique),597
663,PHYS,Nonlinear optics,501
664,CH,Atoms and radiation,360
667,PHYS,Physics of materials,307
668,PHYS,Physics of novel electronic materials,328
669,PHYS,Selected topics in nuclear and particle physics,400
670,PHYS,Astrophysics III : stellar and galactic dynamics,401
671,PHYS,Astrophysics IV : observational cosmology,402
672,PHYS,Computer simulation of physical systems I,403
673,PHYS,Experimental methods in physics,405
674,PHYS,Frontiers in nanosciences,407
675,PHYS,"Physics of atoms, nuclei and elementary particles",411
676,PHYS,Particle physics I,415
677,PHYS,Particle physics II,416
678,PHYS,Solid state physics III,419
679,PHYS,Solid state physics IV,420
680,PHYS,Laboratoire de physique IVa,421
681,PHYS,Laboratoire de physique IVb,422
682,PHYS,Plasma physics II,423
683,PHYS,Plasma physics III,424
684,PHYS,Quantum physics III,425
685,PHYS,Quantum physics IV,426
686,PHYS,Relativity and cosmology I,427
687,PHYS,Relativity and cosmology II,428
688,PHYS,Quantum field theory I,431
689,PHYS,Quantum field theory II,432
692,PHYS,Statistical physics III,435
693,PHYS,Statistical physics IV,436
695,PHYS,Introduction à la physique des astroparticules,439
696,PHYS,Particle detection,440
698,PHYS,Méthodologie des plans d'expériences,442
699,PHYS,Physics of nuclear reactors,443
700,PHYS,Nuclear fusion and plasma physics,445
701,PHYS,Reactor technology,447
702,PHYS,Introduction to particle accelerators,448
704,PHYS,"Radiation biology, protection and applications",450
705,PHYS,Radiation detection,452
708,PHYS,"Nonlinear dynamics, chaos and complex systems",460
709,PHYS,Travail de spécialisation pour master en physique,597
710,MSE,Surface analysis,351
711,MSE,Cementitious materials (advanced),420
712,MSE,Statistical mechanics,421
713,MSE,Advanced metallurgy,422
714,MSE,Fundamentals of solid-state materials,423
715,MSE,Fracture of materials,424
716,MSE,Soft matter,425
717,MSE,Life cycle engineering of polymers,430
718,MSE,Physical chemistry of polymeric materials,431
719,MSE,Introduction to magnetic materials in modern technologies,432
720,MSE,Polymer chemistry and macromolecular engineering,437
721,MSE,Composites technology,440
722,MSE,Electrochemistry for materials technology,441
723,MSE,Introduction to crystal growth by epitaxy,442
724,MSE,"Modelling problem solving, computing and visualisation I",443
725,MSE,"Modelling problem solving, computing and visualisation II",443
726,MSE,Polymer morphological characterization techniques,451
727,MSE,Powder technology,462
728,MSE,Recycling of materials,463
729,MSE,Assembly techniques,464
730,MSE,Atomistic and quantum simulations of materials,468
731,MSE,Seminar series on advances in materials (autumn),470
732,MSE,Seminar series on advances in materials (spring),470
733,MSE,Biomaterials (pour MX),471
734,MSE,Materials selection,474
736,MSE,Organic semiconductors,478
737,MSE,Dielectric properties of materials,480
738,MSE,Properties of semiconductors and related nanostructures,484
739,MSE,Tribology,485
740,MSE,"Organic electronic materials - synthesis, applications, properties",486
741,MSE,Research project in materials I,490
742,MSE,Research project in materials II,491
743,MSE,Research project in materials III,492
744,MSE,Stage d'ingénieur crédité avec le PDM (master en Science et génie des matériaux),597
747,CS,Introduction to database systems,322
749,ENG,Water quality modeling,400
750,ENG,Environmental transport phenomena,420
753,ENG,Experimental design and data analysis with R,467
755,ENV,Air pollution and climate change,400
756,ENV,Sanitary engineering in developing countries,402
757,ENV,Water and wastewater treatment,405
758,ENV,Biomineralization: from nature to application,406
759,ENV,Hydrologie urbaine,417
761,ENV,Bio-ingénierie des cours d'eau et milieux naturels,420
762,ENV,Water resources engineering,424
763,ENV,Limnology,425
764,ENV,Fluvial biogeosciences,426
765,ENV,Spatial decision support systems,443
767,ENV,Geomonitoring,445
768,ENV,Gestion foncière et droit foncier,460
769,ENV,Sustainability assessment of urban systems,461
770,ENV,Droit : contrats et responsabilité professionnelle,466
771,ENV,"Environnements de travail, risques professionnels",468
772,ENV,Systèmes de management environnementaux,469
773,ENV,Development engineering,470
774,ENV,Solid waste engineering,500
775,ENV,Material and energy flow analysis,501
776,ENV,Groundwater and soil remediation,504
777,ENV,TP de bioprocédés environnementaux,506
778,ENV,Fate and behaviour of environmental contaminants,507
780,ENV,Applied wastewater engineering,509
781,ENV,Statistiques multivariables avec R,521
782,ENV,Hydrogeophysics,523
783,ENV,Risques hydrologiques et aménagements,524
784,ENV,Physics and hydrology of snow,525
785,ENV,Image processing for Earth observation,540
787,ENV,Design de SIG et Web-SIG,547
788,ENV,Sensor orientation,548
789,ENV,Design project,596
790,ENV,Projet SIE,597
791,ENV,Stage d'ingénieur crédité avec le PDM (master en Sciences et ingénierie de l'environnement),598
802,COM,Projet de semestre en data science,412
806,COM,Advanced cryptography,501
808,COM,Student seminar: security protocols and applications,506
809,COM,Optional project in data science,508
813,COM,Stage d'ingénieur crédité avec le PDM (master en Data sciences),596
826,CS,Systems for data science,449
845,MATH,Graph theory,360
847,MATH,Robust and nonparametric statistics,441
848,MATH,Statistical theory,442
850,MATH,Computational linear algebra,453
851,MATH,Combinatorial optimization,460
861,COM,Projet en systèmes de communication II,416
870,COM,Optional project in communication systems,507
874,COM,Stage d'ingénieur crédité avec le PDM (master en Systèmes de communication),597
931,CH,Analysis of ancient materials and their degradation,406
932,CH,Cellular signalling,411
935,CH,Chemistry of small biological molecules,415
936,CH,Chemical biology of cell imaging,416
937,CH,Protein mass spectrometry and proteomics,419
938,CH,Catalysis for energy storage,421
939,CH,Supramolecular chemistry,424
940,CH,Artificial photosynthesis,426
941,CH,Chemistry of f elements,427
942,CH,Physical and computational organic chemistry,431
943,CH,Structure and reactivity,432
944,CH,Catalytic asymmetric reactions in organic chemistry,435
945,CH,Total synthesis of natural products,438
946,CH,Photochemistry II,443
947,CH,Electronic spectroscopy,444
948,CH,Advanced materials for photovoltaics and lighting,447
949,CH,Photomedicine,448
950,CH,Computational methods in molecular quantum mechanics,452
951,CH,Molecular quantum dynamics,453
952,CH,Project in molecular sciences Ib,491
953,CH,Project in molecular sciences Ia,492
954,CH,Project in molecular sciences II,590
956,ENG,Risk management,430
957,ENG,Chimie des denrées alimentaires,433
958,ENG,Chemistry of food processes,435
963,BIOENG,Selected topics in life sciences,430
968,ChE,Advanced diffusional processes,402
969,ChE,Heterogenous reaction engineering,403
970,ChE,Electrochemical engineering,407
971,ChE,Process intensification and green chemistry,408
972,ChE,Chemical engineering lab & project,409
973,ChE,Catalysis for emission control and energy processes,410
975,ChE,Chemical engineering product design,413
976,ChE,Thermodynamics of energy conversion and storage,414
977,ChE,Nanomaterials for chemical engineering application,430
978,ChE,Pharmaceutical biotechnology,436
979,ChE,Bioprocesses and downstream processing,437
980,ChE,Process development I,451
981,ChE,Process development II,452
982,ChE,Stage d'ingénieur (master en Génie chimique et Biotechnologie),596
984,ENG,Safety of chemical processes,431
987,ENG,Food biotechnology,436
992,AR,Studio MA1 (Gugger),401
993,AR,Théorie et critique du projet MA1 (Dietz),401
995,AR,Théorie et critique du projet MA1 (Lamunière),401
996,AR,Studio MA1 (Bosshard Vaquer),401
997,AR,Studio MA1 (Giuliani et Hönger),401
998,AR,Studio MA1 (Streich),401
999,AR,Théorie et critique du projet MA1 (Vigano),401
1000,AR,Théorie et critique du projet MA1 (Cache),401
1001,AR,Studio MA2 (Gugger),402
1002,AR,Théorie et critique du projet MA2 (Dietz),402
1004,AR,Théorie et critique du projet MA2 (Lamunière),402
1005,AR,Studio MA2 (Bosshard Vaquer),402
1006,AR,Studio MA2 (Streich),402
1007,AR,Théorie et critique du projet MA2 (Vigano),402
1008,AR,Théorie et critique du projet MA2 (Cutellic),402
1009,AR,La perruque d'Andy Warhol,403
1010,AR,In Silico Design Research I,405
1011,AR,In Silico Design Research II,406
1013,AR,Représentation de l'espace,408
1014,AR,UE R : Lecture paramétrique de l'Underweysung der Messung de Dürer,409
1015,AR,Arts visuels et architecture II,410
1016,AR,Modélisation et représentation informatique I,411
1017,AR,Modélisation et représentation informatique II,412
