,section,course_name,id
0,AR,Théorie et critique du projet MA1 (Vigano),401
1,AR,Théorie et critique du projet MA1 (Gugger),401
2,AR,Théorie et critique du projet MA1 (Geers),401
3,AR,Théorie et critique du projet MA1 (Weinand),401
4,AR,Théorie et critique du projet MA1 (FAR),401
5,AR,Théorie et critique du projet MA1 (Floris),401
6,AR,Théorie et critique du projet MA1 (Capaul et Blumenthal),401
7,AR,Théorie et critique du projet MA1 (Födinger),401
8,AR,Théorie et critique du projet MA1 (Conen et Sigl),401
9,AR,Théorie et critique du projet MA1 (Huang),401
10,AR,Théorie et critique du projet MA2 (Vigano),402
11,AR,Théorie et critique du projet MA2 (Gugger),402
12,AR,Théorie et critique du projet MA2 (Weinand),402
13,AR,Théorie et critique du projet MA2 (FAR),402
14,AR,Théorie et critique du projet MA2 (Floris),402
15,AR,Théorie et critique du projet MA2 (Capaul et Blumenthal),402
16,AR,Théorie et critique du projet MA2 (Conen et Sigl),402
17,AR,Théorie et critique du projet MA2 (Huang),402
18,AR,UE A : Art and architecture,404
19,AR,Visions et Utopies,407
20,AR,UE L : Art and architecture: constructing the view I,415
21,AR,UE N : Art et architecture: constructing the view II,416
22,AR,Ecrire / Construire. Allers retours,417
23,AR,Théorie de l'architecture VII,421
24,AR,Histoire du béton,425
25,AR,Histoire de l'habitation,427
26,AR,UE B : Critique architecturale,432
27,AR,UE H : Graphie,433
28,AR,Théories et techniques du projet de sauvegarde,434
29,AR,UE R : Introduction au BIM (Building Information Modeling),435
30,AR,A history of abstraction in architecture,437
31,AR,UE F : Architecture et réhabilitation,439
32,AR,UE K : Architecture et durabilité : études de performances,440
33,AR,Comfort and architecture: sustainable strategies,442
34,AR,UE P : Béton. Construction et préfabrication,448
35,AR,Architecture et énergie solaire,449
36,AR,Architecture et construction de la ville I,451
37,AR,Architecture et construction de la ville II,452
38,AR,Aménagement du territoire,454
39,AR,Urbanisme et territoires,455
40,AR,Urbanisme en Asie,456
41,AR,Caractères architecturaux et urbanismes de l'Islam,457
42,AR,Ville et mobilité,458
43,AR,Ville africaine: introduction à la planification,462
44,AR,UE D : Territoire et société,466
45,AR,UE J : Territoire et paysage,471
46,AR,UE U : Cartography,476
47,AR,Michelangelo and the experience of space,477
48,AR,UE X : Experience design,480
49,AR,Introduction au BIM (Building Information Modeling),484
50,AR,Political Economy of Design,485
51,AR,Technological Innovation,487
52,AR,Sociologie urbaine,489
53,AR,Economie spatiale et régionale,492
54,AR,Critique du projet urbain contemporain,493
55,AR,Apparent realities - Constructing the view,495
56,AR,Building design in the circular economy,497
57,AR,La nouvelle architecture internationale en Suisse,498
58,AR,De la structure à l'ornement,521
59,AR,Structures complexes,535
60,AR,Superstudio,597
61,AR,Enoncé théorique de master,598
62,CIVIL,Structure et architecture,434
63,PENS,Projet ENAC,490
64,PENS,Summer workshop,491
66,CIVIL,Structural stability,369
67,CIVIL,Geomechanics,402
68,CIVIL,Géologie de la construction et de l'environnement,403
69,CIVIL,Travaux souterrains,404
70,CIVIL,Hydraulique fluviale et aménagement de cours d'eau,410
71,CIVIL,Barrages et ouvrages hydrauliques annexes,411
72,CIVIL,Ouvrages hydrauliques et aménagements hydroélectriques,412
73,CIVIL,Urban hydraulic systems,413
74,CIVIL,Advanced design of concrete structures,414
75,CIVIL,Dynamique des structures,420
76,CIVIL,Advanced continuum mechanics,422
77,CIVIL,Computational geomechanics,423
78,CIVIL,Innovation for construction and the environment,424
79,CIVIL,Engineering geology for geo-energy,428
80,CIVIL,Ponts en béton,430
81,CIVIL,Conception des constructions en bois,433
83,CIVIL,Advanced steel design,435
84,CIVIL,"Structures existantes, bases",436
85,CIVIL,"Structures existantes, chapitres choisis",437
86,CIVIL,Analyse et gestion de risques,438
87,CIVIL,Economie hydraulique,441
88,CIVIL,Planification intégrée des infrastructures d'énergie,442
89,CIVIL,Advanced composites in engineering structures,443
90,CIVIL,Energy geostructures,444
91,CIVIL,Modélisation des systèmes énergétiques,447
92,CIVIL,Geophysics for engineers,448
93,CIVIL,Nonlinear analysis of structures,449
94,CIVIL,Thermodynamics of comfort in buildings,450
95,CIVIL,Villes et transports,451
96,CIVIL,Infrastructures de transport II,454
97,CIVIL,Transportation economics,455
98,CIVIL,Fundamentals of traffic operations and control,457
99,CIVIL,Deep Learning for autonomous vehicles,459
100,CIVIL,Indoor air quality and ventilation,460
101,CIVIL,Public transportation systems,461
102,CIVIL,Sustainable logistics systems,462
103,CIVIL,Infrastructures de transport I,463
104,CIVIL,UE génie civil: construction durable,474
105,CIVIL,Esthétique des ouvrages de génie civil,476
106,CIVIL,Projet de construction,490
107,CIVIL,Projet de systèmes civils,491
108,CIVIL,Laboratoire GC,492
109,CIVIL,Projet interdisciplinaire à option,493
110,CIVIL,Ondes de crue et de rupture de barrage,515
111,CIVIL,Seismic engineering,522
112,CIVIL,"Structures en béton, chapitres choisis",525
113,CIVIL,"Structures en métal, chapitres choisis",526
114,CIVIL,Selected topics in mechanics of solids and structures,527
115,CIVIL,Slope stability,530
116,CIVIL,Matériaux et structures,532
117,CIVIL,Decision-aid methodologies in transportation,557
118,CIVIL,Stage d'ingénieur crédité avec le PDM (master en Génie civil),597
119,CIVIL,Pré-étude projet de master,598
120,ENG,Building energetics,445
121,ENG,Droit de la construction pour ingénieurs I,470
122,ENG,Droit de la construction pour ingénieurs II,471
123,ENG,Etudes d'impact,474
124,ENV,Eco-morphologie fluviale,418
125,ENV,Analyse et management des risques industriels,508
126,MATH,Programming concepts in scientific computing,458
127,MGT,Management de projet et analyse du risque,427
130,ME,Projet Génie mécanique I,401
131,ME,Projet Génie mécanique II,402
132,ME,Applied mechanical design,403
133,ME,Mechanical product design and development,410
134,ME,Mechanics of slender structures,411
135,ME,Experimental methods in engineering mechanics,412
136,ME,Introduction to additive manufacturing,413
137,ME,Computational multi-scale modeling of solids,414
138,ME,Fundamentals of computer aided manufacturing,416
139,ME,Conception mécanique intégrée,418
140,ME,Production management,419
141,ME,System identification,421
142,ME,Multivariable control,422
143,ME,Systèmes mécatroniques,424
144,ME,Model predictive control,425
145,ME,Micro/Nanomechanical devices,426
146,ME,Networked control systems,427
147,ME,Fracture mechanics,432
148,ME,Aéroélasticité et interaction fluide-structure,435
149,ME,Micro/Nano robotics,436
150,ME,Advanced solid mechanics,437
151,ME,Hydrodynamique acoustique,443
152,ME,Hydrodynamics,444
153,ME,Aerodynamics,445
154,ME,Two-phase flows and heat transfer,446
155,ME,Advanced energetics,451
156,ME,Hydraulic turbomachines,453
157,ME,Modelling and optimization of energy systems,454
158,ME,Turbomachines thermiques,455
159,ME,Thermal power cycles and heat pump systems,459
160,ME,Renewable energy (for ME),460
161,ME,Cavitation et phénomènes d'interface,462
162,ME,Introduction to nuclear engineering,464
163,ME,Advanced heat transfer,465
164,ME,Instability,466
165,ME,Turbulence,467
166,ME,Dynamique numérique des solides et des structures,473
167,ME,Numerical flow simulation,474
168,ME,Multi-body simulation,475
169,ME,Particle-based methods,476
170,ME,Biomechanics of the cardiovascular system,481
171,ME,Biomechanics of the musculoskeletal system,482
172,ME,Numerical methods in biomechanics,484
173,ME,Continuous improvement of manufacturing systems,498
174,ME,Lifecycle performance of product systems,516
175,ME,Commande non linéaire,523
176,ME,Advanced control systems,524
177,ME,Engines and fuel cells,551
178,ME,Stage d'ingénieur crédité avec le PDM (master en Génie mécanique),597
179,MICRO,Advanced additive manufacturing technologies,413
180,MICRO,Bases de la robotique,450
181,MICRO,Robotique industrielle et appliquée,451
182,MSE,Composites polymères + TP,340
183,BIO,Cellular and molecular biology I,205
184,BIO,Physiologie par systèmes I,376
185,BIO,Biological modeling of neural networks,465
186,BIOENG,Fundamentals of neuroengineering,448
187,COM,Information theory and coding,404
188,COM,Mobile networks,405
189,COM,TCP/IP networking,407
190,COM,Data visualization,480
191,CS,Computer architecture,208
192,CS,Architecture des systems-on-chip,209
193,CS,Introduction to computer graphics,341
194,CS,Applied data analysis,401
195,CS,Computational photography,413
196,CS,Distributed information systems,423
197,CS,Machine learning,433
198,CS,Advanced computer architecture,470
199,CS,Advanced multiprocessor architecture,471
200,CS,Design technologies for integrated systems,472
201,CS,Embedded systems,473
202,CS,Real-time embedded systems,476
203,CS,Industrial automation,487
204,EE,Low power electronics: analog mixed signal design,423
205,EE,HF and VHF circuits and techniques I,425
206,EE,Hardware systems modeling I,432
207,EE,Hardware systems modeling II,433
208,EE,Photonic systems and technology,440
209,EE,Microwaves,445
210,EE,Image analysis and pattern recognition,451
211,EE,Hydropower plants: generating and pumping units,456
212,EE,Industrial electronics I,465
213,EE,Energy storage systems,466
214,EE,Power systems dynamics,470
215,EE,Smart grids technologies,472
216,EE,Multivariable control and coordination systems,477
217,EE,Lab in acoustics,490
218,EE,Lab in EDA based design,490
219,EE,Lab in electrical energy systems,490
220,EE,Lab in microwaves,490
221,EE,Lab in signal and image processing,490
222,EE,Lab on app development for tablets and smartphones,490
223,EE,Lab in data science,490
224,EE,Sensors in medical instrumentation,511
225,EE,Biomedical signal processing,512
