,course_name,year,section,nr_students
127,Advanced algorithms,2008-2009,Systèmes de communication - master,3
128,Advanced algorithms,2009-2010,Informatique,47
129,Advanced algorithms,2010-2011,Informatique,46
130,Advanced algorithms,2010-2011,Informatique et communications,12
131,Advanced algorithms,2010-2011,Systèmes de communication - master,2
132,Advanced algorithms,2011-2012,Informatique,56
133,Advanced algorithms,2011-2012,Informatique et communications,9
134,Advanced algorithms,2011-2012,Systèmes de communication - master,4
135,Advanced algorithms,2012-2013,Cyber security minor,1
136,Advanced algorithms,2012-2013,Informatique,51
137,Advanced algorithms,2012-2013,Informatique et communications,7
138,Advanced algorithms,2012-2013,Systèmes de communication - master,5
139,Advanced algorithms,2013-2014,Informatique,55
140,Advanced algorithms,2013-2014,Science et ingénierie computationnelles,1
141,Advanced algorithms,2013-2014,Systèmes de communication - master,9
142,Advanced algorithms,2014-2015,Informatique,40
143,Advanced algorithms,2014-2015,Science et ingénierie computationnelles,2
144,Advanced algorithms,2014-2015,Systèmes de communication - master,5
145,Advanced algorithms,2015-2016,Informatique,31
146,Advanced algorithms,2015-2016,Informatique et communications,3
147,Advanced algorithms,2015-2016,Science et ingénierie computationnelles,2
148,Advanced algorithms,2015-2016,Systèmes de communication - master,3
149,Advanced algorithms,2016-2017,Informatique,57
150,Advanced algorithms,2016-2017,Informatique et communications,2
151,Advanced algorithms,2016-2017,Science et ingénierie computationnelles,7
152,Advanced algorithms,2016-2017,Systèmes de communication - master,3
153,Advanced algorithms,2017-2018,Data Science,4
154,Advanced algorithms,2017-2018,Informatique,41
155,Advanced algorithms,2017-2018,Informatique et communications,6
156,Advanced algorithms,2017-2018,Science et ingénierie computationnelles,1
157,Advanced algorithms,2017-2018,Systèmes de communication - master,4
158,Advanced algorithms,2018-2019,Data Science,13
159,Advanced algorithms,2018-2019,Informatique,67
160,Advanced algorithms,2018-2019,Informatique et communications,3
161,Advanced algorithms,2018-2019,Mineur en Informatique,1
162,Advanced algorithms,2018-2019,Science et ingénierie computationnelles,3
163,Advanced algorithms,2018-2019,Systèmes de communication - master,2
164,Advanced algorithms,2019-2020,Data Science,17
165,Advanced algorithms,2019-2020,Informatique,64
166,Advanced algorithms,2019-2020,Informatique - Cybersecurity,3
167,Advanced algorithms,2019-2020,Informatique et communications,6
168,Advanced algorithms,2019-2020,Mineur en Data science,1
169,Advanced algorithms,2019-2020,Science et ingénierie computationnelles,2
170,Advanced algorithms,2019-2020,Systèmes de communication - master,1
171,Advanced analog and RF IC-design I,2017-2018,Génie électrique et électronique,9
172,Advanced analog and RF IC-design I,2018-2019,Génie électrique et électronique,3
173,Advanced analog and RF IC-design II,2017-2018,Génie électrique et électronique,4
174,Advanced analog and RF integrated circuits design I,2005-2006,Génie électrique et électronique,25
175,Advanced analog and RF integrated circuits design I,2006-2007,Génie électrique et électronique,9
176,Advanced analog and RF integrated circuits design I,2007-2008,Génie électrique et électronique,12
177,Advanced analog and RF integrated circuits design I,2008-2009,Génie électrique et électronique,26
178,Advanced analog and RF integrated circuits design I,2009-2010,Génie électrique et électronique,17
179,Advanced analog and RF integrated circuits design I,2010-2011,Génie électrique et électronique,8
180,Advanced analog and RF integrated circuits design I,2011-2012,Génie électrique et électronique,12
181,Advanced analog and RF integrated circuits design I,2012-2013,Génie électrique et électronique,15
182,Advanced analog and RF integrated circuits design I,2013-2014,Génie électrique et électronique,12
183,Advanced analog and RF integrated circuits design I,2014-2015,Génie électrique et électronique,18
184,Advanced analog and RF integrated circuits design I,2015-2016,Génie électrique et électronique,10
185,Advanced analog and RF integrated circuits design I,2016-2017,Génie électrique et électronique,12
186,Advanced analog and RF integrated circuits design II,2005-2006,Génie électrique et électronique,12
187,Advanced analog and RF integrated circuits design II,2006-2007,Génie électrique et électronique,4
188,Advanced analog and RF integrated circuits design II,2007-2008,Génie électrique et électronique,11
189,Advanced analog and RF integrated circuits design II,2008-2009,Génie électrique et électronique,14
190,Advanced analog and RF integrated circuits design II,2009-2010,Génie électrique et électronique,15
191,Advanced analog and RF integrated circuits design II,2010-2011,Génie électrique et électronique,8
192,Advanced analog and RF integrated circuits design II,2011-2012,Génie électrique et électronique,12
193,Advanced analog and RF integrated circuits design II,2012-2013,Génie électrique et électronique,10
194,Advanced analog and RF integrated circuits design II,2014-2015,Génie électrique et électronique,10
195,Advanced analog and RF integrated circuits design II,2015-2016,Génie électrique et électronique,7
196,Advanced analog and RF integrated circuits design II,2016-2017,Génie électrique et électronique,4
197,Advanced analysis I,2004-2005,Systèmes de communication,5
198,Advanced analysis I,2005-2006,Systèmes de communication,9
199,Advanced analysis I,2006-2007,Systèmes de communication,12
200,Advanced analysis I,2007-2008,Systèmes de communication - master Eurecom,3
201,Advanced analysis I,2008-2009,Systèmes de communication - master,3
202,Advanced analysis I,2009-2010,Systèmes de communication - master,4
203,Advanced analysis I,2010-2011,Bioingénierie,2
204,Advanced analysis I,2010-2011,Systèmes de communication - master,2
205,Advanced analysis I,2011-2012,Bioingénierie,1
206,Advanced analysis I,2011-2012,Sciences et technologies du vivant - master,1
207,Advanced analysis I,2011-2012,Systèmes de communication - master,3
208,Advanced analysis I,2012-2013,Bioingénierie,6
209,Advanced analysis I,2012-2013,Sciences et technologies du vivant - master,2
210,Advanced analysis I,2012-2013,Systèmes de communication - master,6
211,Advanced analysis I,2013-2014,Bioingénierie,1
212,Advanced analysis I,2013-2014,Sciences et technologies du vivant - master,3
213,Advanced analysis I,2013-2014,Systèmes de communication - master,5
214,Advanced analysis I,2014-2015,Bioingénierie,2
215,Advanced analysis I,2014-2015,Sciences et technologies du vivant - master,6
216,Advanced analysis I,2014-2015,Systèmes de communication - master,5
217,Advanced analysis I,2015-2016,Bioingénierie,8
218,Advanced analysis I,2015-2016,Sciences et technologies du vivant - master,8
219,Advanced analysis I,2015-2016,Systèmes de communication - master,3
220,Advanced analysis I,2016-2017,Bioingénierie,3
221,Advanced analysis I,2016-2017,Systèmes de communication - master,1
222,Advanced analysis II,2004-2005,Systèmes de communication,6
223,Advanced analysis II,2005-2006,Systèmes de communication,11
224,Advanced analysis II,2006-2007,Systèmes de communication,9
225,Advanced analysis II,2007-2008,Systèmes de communication - master Eurecom,2
226,Advanced analysis II,2008-2009,Systèmes de communication - master,2
227,Advanced analysis II,2009-2010,Systèmes de communication - master,4
228,Advanced analysis II,2010-2011,Bioingénierie,1
229,Advanced analysis II,2010-2011,Systèmes de communication - master,4
230,Advanced analysis II,2011-2012,Sciences et technologies du vivant - master,1
231,Advanced analysis II,2011-2012,Systèmes de communication - master,2
232,Advanced analysis II,2012-2013,Bioingénierie,2
233,Advanced analysis II,2012-2013,Sciences et technologies du vivant - master,2
234,Advanced analysis II,2012-2013,Systèmes de communication - master,4
235,Advanced analysis II,2013-2014,Sciences et technologies du vivant - master,2
236,Advanced analysis II,2013-2014,Systèmes de communication - master,3
237,Advanced analysis II,2014-2015,Bioingénierie,1
238,Advanced analysis II,2014-2015,Sciences et technologies du vivant - master,7
239,Advanced analysis II,2014-2015,Systèmes de communication - master,5
240,Advanced analysis II,2015-2016,Bioingénierie,6
241,Advanced analysis II,2015-2016,Sciences et technologies du vivant - master,8
242,Advanced analysis II,2015-2016,Systèmes de communication - master,3
243,Advanced analysis II,2016-2017,Bioingénierie,2
244,Advanced analysis of algorithms,2006-2007,Informatique et communications,5
245,Advanced bioengineering methods laboratory,2010-2011,Bioingénierie,13
246,Advanced bioengineering methods laboratory,2011-2012,Bioingénierie,5
247,Advanced bioengineering methods laboratory,2012-2013,Bioingénierie,6
248,Advanced bioengineering methods laboratory,2013-2014,Bioingénierie,3
249,Advanced bioengineering methods laboratory,2014-2015,Bioingénierie,5
250,Advanced bioengineering methods laboratory,2015-2016,Bioingénierie,4
251,Advanced bioengineering methods laboratory,2016-2017,Bioingénierie,2
252,Advanced bioengineering methods laboratory,2017-2018,Bioingénierie,4
253,Advanced bioengineering methods laboratory,2018-2019,Ingénierie des sciences du vivant,7
254,Advanced bioengineering methods laboratory,2019-2020,Ingénierie des sciences du vivant,13
255,Advanced biomedical imaging methods and instrumentation,2007-2008,Physique,3
256,Advanced biomedical imaging methods and instrumentation,2008-2009,Physique,1
257,Advanced biomedical imaging methods and instrumentation,2009-2010,Physique,4
258,Advanced biomedical imaging methods and instrumentation,2010-2011,Physique,3
259,Advanced biomedical imaging methods and instrumentation,2011-2012,Neurosciences,1
260,Advanced biomedical imaging methods and instrumentation,2011-2012,Physique,1
261,Advanced biomedical imaging methods and instrumentation,2012-2013,Neurosciences,2
262,Advanced biomedical imaging methods and instrumentation,2012-2013,Physique,3
263,Advanced biomedical imaging methods and instrumentation,2013-2014,Neurosciences,3
264,Advanced biomedical imaging methods and instrumentation,2013-2014,Physique,3
265,Advanced biomedical imaging methods and instrumentation,2014-2015,Neurosciences,2
266,Advanced biomedical imaging methods and instrumentation,2014-2015,Physique,4
267,Advanced biomedical imaging methods and instrumentation,2015-2016,Neurosciences,1
268,Advanced biomedical imaging methods and instrumentation,2015-2016,Photonique,1
269,Advanced biomedical imaging methods and instrumentation,2015-2016,Physique,2
270,Advanced biomedical imaging methods and instrumentation,2016-2017,Génie électrique,2
271,Advanced biomedical imaging methods and instrumentation,2016-2017,Neurosciences,1
272,Advanced biomedical imaging methods and instrumentation,2016-2017,Physique,3
273,Advanced biomedical imaging methods and instrumentation,2017-2018,Génie électrique,2
274,Advanced biomedical imaging methods and instrumentation,2017-2018,Physique,3
275,Advanced biomedical imaging methods and instrumentation,2018-2019,Génie électrique,2
276,Advanced biomedical imaging methods and instrumentation,2018-2019,Neurosciences,2
277,Advanced biomedical imaging methods and instrumentation,2018-2019,Physique,3
278,Advanced biomedical imaging methods and instrumentation,2019-2020,Neurosciences,1
279,Advanced biomedical imaging methods and instrumentation,2019-2020,Physique,5
280,Advanced biotechnology,2006-2007,Bioingénierie,5
281,Advanced biotechnology I,2007-2008,Bioingénierie,2
282,Advanced biotechnology I,2008-2009,Bioingénierie,3
283,Advanced biotechnology I,2008-2009,Génie chimique et biotechnologie,5
284,Advanced biotechnology I,2009-2010,Bioingénierie,2
285,Advanced biotechnology I,2009-2010,Génie chimique et biotechnologie,8
286,Advanced biotechnology II,2007-2008,Bioingénierie,2
287,Advanced biotechnology II,2008-2009,Bioingénierie,3
288,Advanced chemical reaction engineering,2004-2005,Génie chimique et biotechnologie,27
289,Advanced chemical reaction engineering,2005-2006,Génie chimique et biotechnologie,17
290,Advanced compiler construction,2004-2005,Informatique,32
291,Advanced compiler construction,2005-2006,Informatique,10
292,Advanced compiler construction,2006-2007,Informatique,15
293,Advanced compiler construction,2007-2008,Informatique,20
294,Advanced compiler construction,2008-2009,Informatique,6
295,Advanced compiler construction,2009-2010,Informatique,9
296,Advanced compiler construction,2010-2011,Informatique,21
297,Advanced compiler construction,2012-2013,Informatique,27
298,Advanced compiler construction,2013-2014,Informatique,25
299,Advanced compiler construction,2014-2015,Informatique,19
300,Advanced compiler construction,2015-2016,Informatique,17
301,Advanced compiler construction,2016-2017,Informatique,31
302,Advanced compiler construction,2017-2018,Informatique,34
303,Advanced compiler construction,2018-2019,Informatique,27
304,Advanced compiler construction,2019-2020,Informatique,35
305,Advanced compiler construction,2019-2020,Informatique - Cybersecurity,1
306,Advanced composites in engineering structures,2006-2007,Génie civil,19
307,Advanced composites in engineering structures,2007-2008,Génie civil,22
308,Advanced composites in engineering structures,2008-2009,Génie civil,7
309,Advanced composites in engineering structures,2009-2010,Génie civil,16
310,Advanced composites in engineering structures,2010-2011,Génie civil,8
311,Advanced composites in engineering structures,2011-2012,Génie civil,14
312,Advanced composites in engineering structures,2012-2013,Génie civil,36
313,Advanced composites in engineering structures,2013-2014,Génie civil,36
314,Advanced composites in engineering structures,2014-2015,Génie civil,20
315,Advanced composites in engineering structures,2015-2016,Génie civil,18
316,Advanced composites in engineering structures,2016-2017,Génie civil,34
317,Advanced composites in engineering structures,2017-2018,Génie civil,14
318,Advanced composites in engineering structures,2018-2019,Génie civil,31
319,Advanced composites in engineering structures,2019-2020,Génie civil,19
320,Advanced computer architecture,2004-2005,Informatique,28
321,Advanced computer architecture,2004-2005,Systèmes de communication - master,3
322,Advanced computer architecture,2005-2006,Génie électrique et électronique,3
323,Advanced computer architecture,2005-2006,Informatique,17
324,Advanced computer architecture,2005-2006,Systèmes de communication - master Eurecom,2
325,Advanced computer architecture,2006-2007,Informatique,14
326,Advanced computer architecture,2006-2007,Systèmes de communication - master,1
327,Advanced computer architecture,2007-2008,Génie électrique et électronique,3
328,Advanced computer architecture,2007-2008,Informatique,34
329,Advanced computer architecture,2008-2009,Génie électrique et électronique,5
330,Advanced computer architecture,2008-2009,Informatique,13
331,Advanced computer architecture,2008-2009,Systèmes de communication - master,1
332,Advanced computer architecture,2010-2011,Génie électrique et électronique,3
333,Advanced computer architecture,2010-2011,Informatique,18
334,Advanced computer architecture,2011-2012,Cyber security minor,1
335,Advanced computer architecture,2011-2012,Génie électrique et électronique,9
336,Advanced computer architecture,2011-2012,Informatique,26
337,Advanced computer architecture,2011-2012,Systèmes de communication - master,3
338,Advanced computer architecture,2012-2013,Génie électrique et électronique,7
339,Advanced computer architecture,2012-2013,Informatique,18
340,Advanced computer architecture,2013-2014,Génie électrique et électronique,3
341,Advanced computer architecture,2013-2014,Informatique,18
342,Advanced computer architecture,2014-2015,Cyber security minor,1
343,Advanced computer architecture,2014-2015,Génie électrique et électronique,7
344,Advanced computer architecture,2014-2015,Informatique,22
345,Advanced computer architecture,2015-2016,Génie électrique et électronique,3
346,Advanced computer architecture,2015-2016,Informatique,26
347,Advanced computer architecture,2015-2016,Systèmes de communication - master,1
348,Advanced computer architecture,2016-2017,Génie électrique et électronique,13
349,Advanced computer architecture,2016-2017,Informatique,33
350,Advanced computer architecture,2016-2017,Mineur en Informatique,1
351,Advanced computer architecture,2017-2018,Génie électrique et électronique,7
352,Advanced computer architecture,2017-2018,Informatique,27
353,Advanced computer architecture,2018-2019,Génie électrique et électronique,5
354,Advanced computer architecture,2018-2019,Informatique,28
355,Advanced computer architecture,2018-2019,Systèmes de communication - master,2
356,Advanced computer architecture,2019-2020,Génie électrique et électronique,5
357,Advanced computer architecture,2019-2020,Informatique,42
358,Advanced computer architecture,2019-2020,Informatique - Cybersecurity,3
359,Advanced computer graphics,2004-2005,Informatique,25
360,Advanced computer graphics,2004-2005,Systèmes de communication - master,2
361,Advanced computer graphics,2005-2006,Informatique,38
362,Advanced computer graphics,2005-2006,Systèmes de communication - master Eurecom,4
363,Advanced computer graphics,2006-2007,Informatique,33
364,Advanced computer graphics,2006-2007,Systèmes de communication - master,1
365,Advanced computer graphics,2007-2008,Informatique,18
366,Advanced computer graphics,2008-2009,Informatique,10
367,Advanced computer graphics,2008-2009,Systèmes de communication - master,1
368,Advanced computer graphics,2009-2010,Informatique,14
369,Advanced computer graphics,2009-2010,Systèmes de communication - master,1
370,Advanced computer graphics,2010-2011,Informatique,25
371,Advanced computer graphics,2010-2011,Systèmes de communication - master,2
372,Advanced computer graphics,2011-2012,Informatique,21
373,Advanced computer graphics,2011-2012,Systèmes de communication - master,4
374,Advanced computer graphics,2013-2014,Informatique,39
375,Advanced computer graphics,2013-2014,Systèmes de communication - master,3
376,Advanced computer graphics,2014-2015,Informatique,36
377,Advanced computer graphics,2014-2015,Systèmes de communication - master,2
378,Advanced computer graphics,2015-2016,Informatique,55
379,Advanced computer graphics,2015-2016,Systèmes de communication - master,6
380,Advanced computer graphics,2016-2017,Informatique,29
381,Advanced computer graphics,2017-2018,Informatique,37
382,Advanced computer graphics,2017-2018,Mineur en Informatique,1
383,Advanced computer graphics,2017-2018,Systèmes de communication - master,4
384,Advanced computer graphics,2018-2019,Humanités digitales,3
385,Advanced computer graphics,2018-2019,Informatique,27
386,Advanced computer graphics,2018-2019,Systèmes de communication - master,2
387,Advanced computer graphics,2019-2020,Informatique,33
388,Advanced computer graphics,2019-2020,Systèmes de communication - master,1
389,Advanced computer networks and distributed systems,2006-2007,Informatique,20
390,Advanced computer networks and distributed systems,2006-2007,Systèmes de communication - master,6
391,Advanced computer networks and distributed systems,2007-2008,Informatique,22
392,Advanced computer networks and distributed systems,2007-2008,Systèmes de communication - master Eurecom,1
393,Advanced computer networks and distributed systems,2008-2009,Informatique,10
394,Advanced computer networks and distributed systems,2008-2009,Systèmes de communication - master,1
395,Advanced computer networks and distributed systems,2011-2012,Informatique,33
396,Advanced computer networks and distributed systems,2011-2012,Systèmes de communication - master,3
397,Advanced computer networks and distributed systems,2012-2013,Informatique,40
398,Advanced computer networks and distributed systems,2012-2013,Systèmes de communication - master,5
399,Advanced control systems,2012-2013,Génie mécanique,19
400,Advanced control systems,2012-2013,Génie électrique et électronique,10
401,Advanced control systems,2012-2013,Microtechnique,23
402,Advanced control systems,2013-2014,Génie mécanique,19
403,Advanced control systems,2013-2014,Microtechnique,13
404,Advanced control systems,2014-2015,Gestion de l'énergie et durabilité,2
405,Advanced control systems,2014-2015,Génie mécanique,28
406,Advanced control systems,2014-2015,Microtechnique,16
407,Advanced control systems,2015-2016,Gestion de l'énergie et durabilité,3
408,Advanced control systems,2015-2016,Génie mécanique,34
409,Advanced control systems,2015-2016,Microtechnique,5
410,Advanced control systems,2016-2017,Gestion de l'énergie et durabilité,1
411,Advanced control systems,2016-2017,Génie mécanique,34
412,Advanced control systems,2016-2017,Microtechnique,22
413,Advanced control systems,2017-2018,Génie mécanique,29
414,Advanced control systems,2017-2018,Microtechnique,18
415,Advanced control systems,2018-2019,Génie mécanique,32
416,Advanced control systems,2018-2019,Microtechnique,5
417,Advanced control systems,2018-2019,Robotique,4
418,Advanced control systems,2019-2020,Génie mécanique,33
419,Advanced control systems,2019-2020,Microtechnique,2
420,Advanced control systems,2019-2020,Robotique,3
421,Advanced courses in immunology and microbiology,2006-2007,Sciences et technologies du vivant - master,2
422,Advanced courses in immunology and microbiology,2007-2008,Sciences et technologies du vivant - master,2
423,Advanced courses in immunology and microbiology,2008-2009,Sciences et technologies du vivant - master,1
424,Advanced courses in immunology and microbiology,2009-2010,Sciences et technologies du vivant - master,4
425,Advanced cryptography,2005-2006,Informatique et communications,1
426,Advanced cryptography,2006-2007,Systèmes de communication - master,10
427,Advanced cryptography,2008-2009,Systèmes de communication - master,3
428,Advanced cryptography,2009-2010,Systèmes de communication - master,6
429,Advanced cryptography,2010-2011,Systèmes de communication - master,9
430,Advanced cryptography,2011-2012,Systèmes de communication - master,3
431,Advanced cryptography,2012-2013,Systèmes de communication - master,4
432,Advanced cryptography,2013-2014,Systèmes de communication - master,2
433,Advanced cryptography,2014-2015,Systèmes de communication - master,6
434,Advanced cryptography,2015-2016,Systèmes de communication - master,4
435,Advanced cryptography,2016-2017,Systèmes de communication - master,1
436,Advanced cryptography,2017-2018,Systèmes de communication - master,2
437,Advanced cryptography,2019-2020,Informatique - Cybersecurity,4
438,Advanced cryptography,2019-2020,Systèmes de communication - master,1
439,Advanced databases,2004-2005,Informatique,22
440,Advanced databases,2004-2005,Systèmes de communication - master Eurecom,12
