,course_name,year,section,nr_students
0, Numerical approximation of PDE's II,2012-2013,Ingénierie mathématique,4
1, Numerical approximation of PDE's II,2012-2013,Mathématiques - master,1
2, Numerical approximation of PDE's II,2012-2013,Science et ingénierie computationnelles,2
3, Numerical approximation of PDE's II,2013-2014,Ingénierie mathématique,1
4, Numerical approximation of PDE's II,2013-2014,Mathématiques - master,2
5, Numerical approximation of PDE's II,2013-2014,Science et ingénierie computationnelles,2
6, Numerical approximation of PDE's II,2014-2015,Ingénierie mathématique,3
7, Numerical approximation of PDE's II,2014-2015,Science et ingénierie computationnelles,1
8, Numerical approximation of PDE's II,2015-2016,Ingénierie mathématique,4
9, Numerical approximation of PDE's II,2015-2016,Science et ingénierie computationnelles,7
10, Numerical approximation of PDE's II,2016-2017,Ingénierie mathématique,4
11, Numerical approximation of PDE's II,2016-2017,Mathématiques - master,1
12, Numerical approximation of PDE's II,2016-2017,Science et ingénierie computationnelles,8
13, Numerical approximation of PDE's II,2017-2018,Mathématiques - master,1
14, Numerical approximation of PDE's II,2017-2018,Science et ingénierie computationnelles,1
15, Numerical approximation of PDE's II,2018-2019,Science et ingénierie computationnelles,1
16,3D Electron Microscopy and FIB-Nanotomography,2008-2009,Science et génie des matériaux,24
17,3D Electron Microscopy and FIB-Nanotomography,2009-2010,Science et génie des matériaux,7
18,3D Electron Microscopy and FIB-Nanotomography,2010-2011,Science et génie des matériaux,19
19,3D Electron Microscopy and FIB-Nanotomography,2011-2012,Science et génie des matériaux,15
20,3D Electron Microscopy and FIB-Nanotomography,2012-2013,Science et génie des matériaux,4
21,3D Electron Microscopy and FIB-Nanotomography,2013-2014,Science et génie des matériaux,6
22,3D Electron Microscopy and FIB-Nanotomography,2014-2015,Science et génie des matériaux,11
23,3D Electron Microscopy and FIB-Nanotomography,2015-2016,Science et génie des matériaux,7
24,3D Electron Microscopy and FIB-Nanotomography,2018-2019,Science et génie des matériaux,9
25,3D Electron Microscopy and FIB-Nanotomography,2019-2020,Science et génie des matériaux,1
26,A History of Evolutionary Theory,2013-2014,Biotechnologie et génie biologique,6
27,A Political History of Urban Form,2018-2019,Architecture,119
28,A guided tour for engineers in applied stochastic modelling,2012-2013,Microtechnique,12
29,A guided tour for engineers in applied stochastic modelling,2013-2014,Microtechnique,18
30,A guided tour for engineers in applied stochastic modelling,2014-2015,Microtechnique,8
31,A history of abstraction in architecture,2019-2020,Architecture,136
32,A network tour of data science,2015-2016,Génie électrique,5
33,A network tour of data science,2016-2017,Génie électrique et électronique,35
34,A network tour of data science,2017-2018,Data Science,12
35,A network tour of data science,2017-2018,Génie électrique et électronique,32
36,A network tour of data science,2017-2018,"Management, technologie et entrepreneuriat",2
37,A network tour of data science,2018-2019,Data Science,19
38,A network tour of data science,2018-2019,Génie électrique et électronique,37
39,A network tour of data science,2018-2019,"Management, technologie et entrepreneuriat",9
40,A network tour of data science,2018-2019,Microtechnique,31
41,A network tour of data science,2019-2020,Data Science,13
42,A network tour of data science,2019-2020,Génie électrique,1
43,A network tour of data science,2019-2020,Génie électrique et électronique,24
44,A network tour of data science,2019-2020,"Management, technologie et entrepreneuriat",4
45,A network tour of data science,2019-2020,Microtechnique,6
46,A network tour of data science,2019-2020,Mineur en Data science,1
47,Accounting for finance,2014-2015,Ingénierie financière,29
48,Accounting for finance,2015-2016,Ingénierie financière,27
49,Accounting for finance,2016-2017,Ingénierie financière,25
50,Accounting for finance,2017-2018,Ingénierie financière,25
51,Accounting for finance,2018-2019,Ingénierie financière,38
52,Accounting for finance,2019-2020,Ingénierie financière,20
53,Accounting for finance,2019-2020,Mineur en Ingénierie financière,1
54,Adaptation and learning,2017-2018,Génie électrique,7
55,Adaptation and learning,2018-2019,Génie électrique,1
56,Adaptation and learning,2018-2019,Génie électrique et électronique,7
57,Adaptation and learning,2019-2020,Génie électrique et électronique,10
58,Additive Combinatorics,2016-2017,Mathématiques,1
59,Advanced Course in Combinatorial Geometry & Optimization I (2013),2009-2010,Mathématiques,2
60,Advanced Course in Combinatorial Geometry & Optimization I (2013),2010-2011,Mathématiques,1
61,Advanced Course in Combinatorial Geometry & Optimization I (2013),2011-2012,Mathématiques,1
62,Advanced Fossil and Renewable Energy Systems,2008-2009,Génie nucléaire,10
63,Advanced Fossil and Renewable Energy Systems,2008-2009,Physique,33
64,Advanced Fossil and Renewable Energy Systems,2009-2010,Génie nucléaire,11
65,Advanced Fossil and Renewable Energy Systems,2009-2010,Ingénierie physique,2
66,Advanced Fossil and Renewable Energy Systems,2010-2011,Génie nucléaire,18
67,Advanced Fossil and Renewable Energy Systems,2010-2011,Physique - master,10
68,Advanced Fossil and Renewable Energy Systems,2011-2012,Génie nucléaire,17
69,Advanced Fossil and Renewable Energy Systems,2011-2012,Ingénierie physique,3
70,Advanced Fossil and Renewable Energy Systems,2011-2012,Physique - master,4
71,Advanced Fossil and Renewable Energy Systems,2012-2013,Gestion de l'énergie et durabilité,7
72,Advanced Fossil and Renewable Energy Systems,2012-2013,Génie nucléaire,13
73,Advanced Fossil and Renewable Energy Systems,2012-2013,Physique - master,3
74,Advanced Fossil and Renewable Energy Systems,2013-2014,Gestion de l'énergie et durabilité,8
75,Advanced Fossil and Renewable Energy Systems,2013-2014,Génie nucléaire,9
76,Advanced Fossil and Renewable Energy Systems,2013-2014,Ingénierie physique,5
77,Advanced Fossil and Renewable Energy Systems,2013-2014,Physique - master,2
78,Advanced Fossil and Renewable Energy Systems,2014-2015,Gestion de l'énergie et durabilité,2
79,Advanced Fossil and Renewable Energy Systems,2014-2015,Génie nucléaire,13
80,Advanced Fossil and Renewable Energy Systems,2014-2015,Ingénierie physique,4
81,Advanced Fossil and Renewable Energy Systems,2014-2015,Physique - master,1
82,Advanced Fossil and Renewable Energy Systems,2015-2016,Gestion de l'énergie et durabilité,17
83,Advanced Fossil and Renewable Energy Systems,2015-2016,Génie nucléaire,10
84,Advanced MEMS,2016-2017,Microtechnique,12
85,Advanced MEMS & microsystems,2011-2012,Microtechnique,18
86,Advanced MEMS & microsystems,2012-2013,Microtechnique,23
87,Advanced MEMS & microsystems,2013-2014,Microtechnique,26
88,Advanced MEMS & microsystems,2014-2015,Microtechnique,13
89,Advanced MEMS & microsystems,2015-2016,Microtechnique,9
90,Advanced MEMS & microsystems,2017-2018,Microtechnique,19
91,Advanced MEMS & microsystems,2018-2019,Microtechnique,15
92,Advanced MEMS & microsystems,2019-2020,Microtechnique,24
93,Advanced MEMS & microsystems,2019-2020,Robotique,2
94,Advanced NMR and imaging,2004-2005,Chimie moléculaire et biologique,4
95,Advanced NMR and imaging,2005-2006,Chimie moléculaire et biologique,13
96,Advanced NMR and imaging,2006-2007,Chimie moléculaire et biologique,4
97,Advanced NMR and imaging,2007-2008,Chimie moléculaire et biologique,4
98,Advanced NMR and imaging,2008-2009,Chimie moléculaire et biologique,2
99,Advanced NMR and imaging,2009-2010,Chimie moléculaire et biologique,9
100,Advanced NMR and imaging,2010-2011,Chimie moléculaire et biologique,4
101,Advanced NMR and imaging,2011-2012,Chimie moléculaire et biologique,1
102,Advanced NMR and imaging,2012-2013,Chimie moléculaire et biologique,3
103,Advanced NMR and imaging,2013-2014,Chimie moléculaire et biologique,2
104,Advanced NMR and imaging,2014-2015,Chimie moléculaire et biologique,3
105,Advanced NMR and imaging,2015-2016,Chimie moléculaire et biologique,4
106,Advanced NMR and imaging,2016-2017,Chimie moléculaire et biologique,7
107,Advanced NMR and imaging,2017-2018,Chimie moléculaire et biologique,6
108,Advanced NMR and imaging,2018-2019,Chimie moléculaire et biologique,8
109,Advanced Topics in Data Sciences,2015-2016,Génie électrique,3
110,Advanced Topics in Human Computer Interaction: the Case of Recommender Systems,2010-2011,Informatique et communications,4
111,Advanced Topics in Numerical Modelling for PDEs (2012),2009-2010,Mathématiques,14
112,Advanced Topics in Numerical Modelling for PDEs (2012),2011-2012,Mathématiques,9
113,Advanced Topics in Quantum Sciences and Technologies,2018-2019,Physique,4
114,Advanced Topics on Privacy Protection,2014-2015,Informatique et communications,1
115,Advanced Topics on Privacy Protection,2015-2016,Informatique et communications,1
116,Advanced VLSI design,2014-2015,Génie électrique et électronique,21
117,Advanced VLSI design,2015-2016,Génie électrique et électronique,16
118,Advanced VLSI design,2016-2017,Génie électrique et électronique,16
119,Advanced VLSI design,2017-2018,Génie électrique et électronique,16
120,Advanced VLSI design,2018-2019,Génie électrique et électronique,8
121,Advanced VLSI design,2019-2020,Génie électrique et électronique,10
122,Advanced additive manufacturing technologies,2018-2019,Génie mécanique,12
123,Advanced additive manufacturing technologies,2018-2019,Microtechnique,7
124,Advanced additive manufacturing technologies,2019-2020,Génie mécanique,11
125,Advanced additive manufacturing technologies,2019-2020,Microtechnique,16
126,Advanced algorithms,2008-2009,Informatique,54
