,course_name_x,course_name_y,jaccard
1768, Numerical approximation of PDE's II,Numerical approximation of PDE's I,0.24210526315789474
1773, Numerical approximation of PDE's II,Numerical integration of dynamical systems,0.21951219512195122
532, Numerical approximation of PDE's II,Computational linear algebra,0.17647058823529413
1774, Numerical approximation of PDE's II,Numerical methods for conservation laws,0.12
4644,3D Electron Microscopy and FIB-Nanotomography,Non-destructive evaluation methods,0.15384615384615385
3562,3D Electron Microscopy and FIB-Nanotomography,Céramiques,0.08588957055214724
5447,3D Electron Microscopy and FIB-Nanotomography,Thermodynamique,0.07555555555555556
3303,3D Electron Microscopy and FIB-Nanotomography,"Ceramics, properties",0.07425742574257425
3659,3D Electron Microscopy and FIB-Nanotomography,Déformation et rupture à basse température,0.06818181818181818
3554,3D Electron Microscopy and FIB-Nanotomography,Cristallographie,0.06563706563706563
4416,3D Electron Microscopy and FIB-Nanotomography,Matériaux divisés,0.06550218340611354
5870,A History of Evolutionary Theory,Advanced stem cell biology (2013),0.047619047619047616
6994,A History of Evolutionary Theory,Immunology and bioengineering applications (2014),0.047619047619047616
9389,A Political History of Urban Form,Difficult Double: Trouble with Classicists,0.2788844621513944
9343,A Political History of Urban Form,Critique du projet urbain contemporain,0.19665271966527198
11559,A Political History of Urban Form,Why care? Une introduction à l'art contemporain,0.1895424836601307
11551,A Political History of Urban Form,"Visionnaires éclectiques. Architectures, 2000-2018",0.18652849740932642
8866,A Political History of Urban Form,Apparent realities - Constructing the view,0.16030534351145037
12949,A guided tour for engineers in applied stochastic modelling,L'ingénieur dans R&D industriels,0.0873015873015873
14073,A guided tour for engineers in applied stochastic modelling,Techniques d'assemblage I,0.08461538461538462
11807,A guided tour for engineers in applied stochastic modelling,Assemblage et robotique TP,0.08300395256916997
14074,A guided tour for engineers in applied stochastic modelling,Techniques d'assemblage II,0.08300395256916997
14652,A history of abstraction in architecture,Apparent realities - Constructing the view,0.33195020746887965
15129,A history of abstraction in architecture,Critique du projet urbain contemporain,0.32894736842105265
17337,A history of abstraction in architecture,"Visionnaires éclectiques. Architectures, 2000-2018",0.30851063829787234
16019,A history of abstraction in architecture,Michelangelo and the experience of space,0.2896551724137931
16538,A history of abstraction in architecture,Projets métaphoriques d'Archizoom à Koolhaas,0.18795180722891566
18872,A network tour of data science,Mathematics of data: from theory to computation,0.24585635359116023
20241,A network tour of data science,Wireless receivers: algorithms and architectures,0.24033149171270718
18744,A network tour of data science,Lab in data science,0.1976284584980237
18756,A network tour of data science,Lab on app development for tablets and smartphones,0.1836734693877551
19710,A network tour of data science,Statistics for data science,0.1836734693877551
17977,A network tour of data science,Convex optimization,0.1471698113207547
18550,A network tour of data science,Image analysis and pattern recognition,0.14338919925512103
18048,A network tour of data science,Deep learning,0.14081145584725538
18890,A network tour of data science,Measuring systems,0.13720316622691292
19159,A network tour of data science,Optimal decision making,0.1337579617834395
18748,A network tour of data science,Lab in signal and image processing,0.10486891385767791
20098,A network tour of data science,Traitement des signaux,0.09438775510204081
17832,A network tour of data science,Circuits intégrés I,0.09239130434782608
17973,A network tour of data science,Conversion d'énergie,0.09024390243902439
19387,A network tour of data science,Products design & systems engineering,0.08838383838383838
21715,Accounting for finance,Macrofinance,0.5030864197530864
21045,Accounting for finance,Econometrics,0.501577287066246
22063,Accounting for finance,Optimization methods,0.47619047619047616
23763,Adaptation and learning,Convex optimization,0.0898876404494382
25462,Adaptation and learning,Spacecraft avionics architectures,0.07407407407407407
24534,Adaptation and learning,Lab in signal and image processing,0.060240963855421686
24530,Adaptation and learning,Lab in data science,0.054945054945054944
26453,Additive Combinatorics,Chapitres choisis de géométrie: surfaces minimales,0.14285714285714285
28213,Additive Combinatorics,Rings and modules,0.009433962264150943
26165,Additive Combinatorics,Algèbres de Lie,0.007462686567164179
31053,Advanced Course in Combinatorial Geometry & Optimization I (2013),Randomized Algorithms (2011),0.5
29958,Advanced Course in Combinatorial Geometry & Optimization I (2013),Geometric graph theory,0.03225806451612903
33949,Advanced Fossil and Renewable Energy Systems,Reactor Experiments,0.416289592760181
33570,Advanced Fossil and Renewable Energy Systems,Neutronics,0.4069767441860465
33950,Advanced Fossil and Renewable Energy Systems,Reactor technology,0.3786764705882353
33585,Advanced Fossil and Renewable Energy Systems,Nuclear fusion and plasma physics,0.22408026755852842
33165,Advanced Fossil and Renewable Energy Systems,Introduction to particle accelerators,0.22018348623853212
33943,Advanced Fossil and Renewable Energy Systems,Radioisotope and radiation applications,0.21393034825870647
33582,Advanced Fossil and Renewable Energy Systems,Nuclear computations lab,0.1796116504854369
33584,Advanced Fossil and Renewable Energy Systems,Nuclear fuels and materials,0.17142857142857143
31915,Advanced Fossil and Renewable Energy Systems,Advanced topics in nuclear reactor materials,0.16990291262135923
33941,Advanced Fossil and Renewable Energy Systems,Radiation protection & radiation applications,0.107981220657277
35658,Advanced MEMS,Fab/sim practicals,0.3333333333333333
36718,Advanced MEMS,Printed systems and large area manufacturing,0.3076923076923077
36316,Advanced MEMS,Modeling and simulation of microsystems,0.1774193548387097
36214,Advanced MEMS,Materials and technology of microfabrication,0.14864864864864866
39819,Advanced MEMS & microsystems,Scaling laws in micro- and nanosystems,0.372972972972973
39326,Advanced MEMS & microsystems,Nanotechnology,0.308411214953271
39193,Advanced MEMS & microsystems,Microsystèmes et capteurs TP I,0.3
39194,Advanced MEMS & microsystems,Microsystèmes et capteurs TP II,0.3
39178,Advanced MEMS & microsystems,Microelectronics,0.25957446808510637
39107,Advanced MEMS & microsystems,Materials and technology of microfabrication,0.20765027322404372
39440,Advanced MEMS & microsystems,Organic and printed electronics,0.1901840490797546
39638,Advanced MEMS & microsystems,Products design & systems engineering,0.18771331058020477
39063,Advanced MEMS & microsystems,MEMS practicals I,0.1588235294117647
42378,Advanced NMR and imaging,Photochemistry II,0.3047619047619048
42393,Advanced NMR and imaging,Physical organic chemistry,0.3
40907,Advanced NMR and imaging,Cellular signalling,0.256198347107438
48329,Advanced Topics in Human Computer Interaction: the Case of Recommender Systems,Programming Massively Parallel Graphics Processors,0.15384615384615385
48522,Advanced Topics in Human Computer Interaction: the Case of Recommender Systems,Security and Cooperation in Wireless Networks,0.05263157894736842
46384,Advanced Topics in Human Computer Interaction: the Case of Recommender Systems,Advanced virtual reality systems and telepresence,0.034482758620689655
49715,Advanced Topics in Numerical Modelling for PDEs (2012),Computational mechanics by reduced basis methods (2013),0.6470588235294118
49701,Advanced Topics in Numerical Modelling for PDEs (2012),Computational Mechanics by Isogeometric Analysis (2016),0.10344827586206896
49385,Advanced Topics in Numerical Modelling for PDEs (2012),Approximation numérique des équations aux dérivées partielles,0.08163265306122448
54797,Advanced Topics in Quantum Sciences and Technologies,Topological matter and its exploration with quantum gases,0.16666666666666666
54488,Advanced Topics in Quantum Sciences and Technologies,Summer School on Quantum Magnetism,0.03125
54209,Advanced Topics in Quantum Sciences and Technologies,Recent trends in Light-Matter Intercation (Summer School),0.02857142857142857
56830,Advanced Topics on Privacy Protection,Pattern classification and machine learning,0.0011904761904761906
58859,Advanced VLSI design,Fundamentals of VLSI design,0.3416666666666667
58979,Advanced VLSI design,Hardware systems modeling II,0.31932773109243695
58974,Advanced VLSI design,HF and VHF circuits and techniques II,0.2625
57997,Advanced VLSI design,Analog circuits design II,0.2570281124497992
58155,Advanced VLSI design,Bio-nano-chip design,0.23469387755102042
57998,Advanced VLSI design,Analog circuits for biochip,0.2014388489208633
62053,Advanced additive manufacturing technologies,Introduction to additive manufacturing,0.19727891156462585
62251,Advanced additive manufacturing technologies,Materials and technology of microfabrication,0.11320754716981132
62314,Advanced additive manufacturing technologies,Micro/Nanomechanical devices,0.11016949152542373
62236,Advanced additive manufacturing technologies,Manufacturing systems and supply chain dynamics,0.10606060606060606
62207,Advanced additive manufacturing technologies,MEMS practicals I,0.10588235294117647
62962,Advanced additive manufacturing technologies,Scaling laws & simulations in micro & nanosystems,0.10344827586206896
62208,Advanced additive manufacturing technologies,MEMS practicals II,0.10294117647058823
61362,Advanced additive manufacturing technologies,Continuous improvement of manufacturing systems,0.10227272727272728
64378,Advanced algorithms,Distributed algorithms,0.24388824214202562
64231,Advanced algorithms,Concurrent algorithms,0.21773399014778325
64631,Advanced algorithms,Foundations of software,0.21073170731707316
64380,Advanced algorithms,Distributed information systems,0.1648764769065521
64311,Advanced algorithms,Cryptography and security,0.14342895263509006
65103,Advanced algorithms,Machine learning,0.14220183486238533
64876,Advanced algorithms,Information security and privacy,0.1411530815109344
64913,Advanced algorithms,Intelligent agents,0.1393239901071723
64200,Advanced algorithms,Computer vision,0.13886671987230648
63682,Advanced algorithms,Advanced compiler construction,0.13253012048192772
64325,Advanced algorithms,Database systems,0.12774070543374644
66131,Advanced algorithms,TCP/IP networking,0.12281690140845071
64879,Advanced algorithms,Information theory and coding,0.1223021582733813
65509,Advanced algorithms,Pattern classification and machine learning,0.11790079079798706
64982,Advanced algorithms,Introduction to natural language processing,0.11725452812202097
65429,Advanced algorithms,Operating systems,0.11538461538461539
66563,Advanced analog and RF IC-design I,Advanced analog and RF IC-design II,0.23076923076923078
67927,Advanced analog and RF IC-design I,Lab in microelectronics,0.14285714285714285
66637,Advanced analog and RF IC-design I,Advanced wireless receivers,0.125
67988,Advanced analog and RF IC-design I,Low-power radio design for IoT,0.08695652173913043
69455,Advanced analog and RF IC-design II,Advanced analog and RF IC-design I,0.23076923076923078
69530,Advanced analog and RF IC-design II,Advanced wireless receivers,0.11764705882352941
69735,Advanced analog and RF IC-design II,Bioelectronics and biomedical microelectronics,0.058823529411764705
72351,Advanced analog and RF integrated circuits design I,Advanced analog and RF integrated circuits design II,0.4263959390862944
72462,Advanced analog and RF integrated circuits design I,Analog circuits design II,0.41901408450704225
73444,Advanced analog and RF integrated circuits design I,Hardware systems modeling II,0.4076655052264808
75182,Advanced analog and RF integrated circuits design I,VLSI design II,0.36909871244635195
73443,Advanced analog and RF integrated circuits design I,Hardware systems modeling I,0.21536144578313254
73027,Advanced analog and RF integrated circuits design I,Design technologies for integrated systems,0.2109181141439206
73439,Advanced analog and RF integrated circuits design I,HF and VHF circuits and techniques II,0.19672131147540983
72798,Advanced analog and RF integrated circuits design I,Circuits et techniques HF et VHF II,0.19658119658119658
73586,Advanced analog and RF integrated circuits design I,Integrated circuits technology,0.19217081850533807
73895,Advanced analog and RF integrated circuits design I,Microelectronics for systems on chips,0.18888888888888888
75243,Advanced analog and RF integrated circuits design II,Advanced analog and RF integrated circuits design I,0.4263959390862944
78075,Advanced analog and RF integrated circuits design II,VLSI design II,0.3888888888888889
75355,Advanced analog and RF integrated circuits design II,Analog circuits design II,0.36885245901639346
76337,Advanced analog and RF integrated circuits design II,Hardware systems modeling II,0.3453815261044177
75691,Advanced analog and RF integrated circuits design II,Circuits et techniques HF et VHF II,0.21965317919075145
76788,Advanced analog and RF integrated circuits design II,Microelectronics for systems on chips,0.18867924528301888
76332,Advanced analog and RF integrated circuits design II,HF and VHF circuits and techniques II,0.17989417989417988
75920,Advanced analog and RF integrated circuits design II,Design technologies for integrated systems,0.14794520547945206
78139,Advanced analysis I,Advanced analysis II,0.5964912280701754
79391,Advanced analysis I,Introduction au droit et à l'éthique en STV,0.10457516339869281
78614,Advanced analysis I,Communication professionnelle A II,0.0916030534351145
78784,Advanced analysis I,Data analysis and model classification,0.08873720136518772
79434,Advanced analysis I,Introduction to information systems,0.0859375
79854,Advanced analysis I,Neurosciences I : molecular neuroscience and neurodegeneration,0.08284023668639054
79504,Advanced analysis I,Lab methods : biosafety,0.08270676691729323
78161,Advanced analysis I,Advanced digital communications,0.07903780068728522
79857,Advanced analysis I,Neurosciences III : behavioral and cognitive neuroscience,0.07692307692307693
79915,Advanced analysis I,Optimisation II,0.07627118644067797
81031,Advanced analysis II,Advanced analysis I,0.5964912280701754
82327,Advanced analysis II,Introduction to information systems,0.09623430962343096
81507,Advanced analysis II,Communication professionnelle A II,0.09482758620689655
82397,Advanced analysis II,Lab methods : biosafety,0.09401709401709402
82808,Advanced analysis II,Optimisation II,0.09174311926605505
81506,Advanced analysis II,Communication professionnelle A I,0.08196721311475409
82321,Advanced analysis II,Introduction to distributed systems,0.08074534161490683
82284,Advanced analysis II,Introduction au droit et à l'éthique en STV,0.07746478873239436
82747,Advanced analysis II,Neurosciences I : molecular neuroscience and neurodegeneration,0.07741935483870968
82748,Advanced analysis II,Neurosciences II : cellular mechanisms of brain function,0.07407407407407407
83997,Advanced analysis of algorithms,Advances in data management systems,0.3333333333333333
86146,Advanced analysis of algorithms,Self-organized mobile networks,0.15384615384615385
85910,Advanced analysis of algorithms,Problem solving in computer science,0.1111111111111111
89495,Advanced bioengineering methods laboratory,Tissue engineering,0.17834394904458598
87792,Advanced bioengineering methods laboratory,Fundamentals of biophotonics,0.14634146341463414
87756,Advanced bioengineering methods laboratory,Flow cytometry,0.13846153846153847
87790,Advanced bioengineering methods laboratory,Fundamentals of biochemical sensing systems,0.125
88671,Advanced bioengineering methods laboratory,Photomedicine (SV),0.1125
87142,Advanced bioengineering methods laboratory,Biosafety,0.1111111111111111
88844,Advanced bioengineering methods laboratory,Project in translational biomedical research,0.1111111111111111
90370,Advanced biomedical imaging methods and instrumentation,Deep Learning For Natural Language Processing,0.03125
91632,Advanced biomedical imaging methods and instrumentation,Physique statistique des biomacromolécules,0.02857142857142857
89691,Advanced biomedical imaging methods and instrumentation,Adaptation and learning,0.025
90394,Advanced biomedical imaging methods and instrumentation,Diffraction methods in structural biology,0.025
94813,Advanced biotechnology,Selected Chapters in Biotechnology,0.16666666666666666
95288,Advanced biotechnology,Topics in bioinformatics I,0.1111111111111111
92887,Advanced biotechnology,Biological and physiological transport,0.09090909090909091
98004,Advanced biotechnology I,The chemistry and processing of hydrocarbons,0.19047619047619047
95894,Advanced biotechnology I,Chemical engineering & biotechnology lab & project,0.18181818181818182
95503,Advanced biotechnology I,Advanced biotechnology II,0.14285714285714285
98395,Advanced biotechnology II,Advanced biotechnology I,0.14285714285714285
99376,Advanced biotechnology II,GLP / GMP,0.14285714285714285
99687,Advanced biotechnology II,Introduction to lab methods,0.07142857142857142
101652,Advanced chemical reaction engineering,Catalytic reaction engineering,0.9302325581395349
101682,Advanced chemical reaction engineering,Chemical engineering lab and project,0.9090909090909091
103728,Advanced chemical reaction engineering,Sécurité des procédés chimiques,0.8571428571428571
105133,Advanced compiler construction,Foundations of software,0.32445141065830724
104733,Advanced compiler construction,Concurrent algorithms,0.19148936170212766
104186,Advanced compiler construction,Advanced computer architecture,0.16614906832298137
104880,Advanced compiler construction,Distributed algorithms,0.14014407334643092
104656,Advanced compiler construction,Compiler construction,0.13782051282051283
104170,Advanced compiler construction,Advanced algorithms,0.13253012048192772
104827,Advanced compiler construction,Database systems,0.1291248206599713
106581,Advanced compiler construction,"Synthesis, analysis and verification",0.12094395280235988
104696,Advanced compiler construction,Computer language processing,0.12017167381974249
104357,Advanced compiler construction,Architecture des ordinateurs II,0.11829652996845426
104187,Advanced compiler construction,Advanced computer graphics,0.11379800853485064
104832,Advanced compiler construction,Decentralized systems engineering,0.11212814645308924
106633,Advanced compiler construction,TCP/IP networking,0.10672210672210672
109015,Advanced composites in engineering structures,Ponts en béton,0.2844175491679274
108566,Advanced composites in engineering structures,Matériaux et structures,0.2796143250688705
109432,Advanced composites in engineering structures,"Structures en métal, chapitres choisis",0.25834542815674894
109428,Advanced composites in engineering structures,"Structures en béton, chapitres choisis",0.23123123123123124
107799,Advanced composites in engineering structures,Dynamique des structures,0.21052631578947367
107961,Advanced composites in engineering structures,Esthétique des ouvrages de génie civil,0.209165687426557
109016,Advanced composites in engineering structures,Ponts en métal,0.19838056680161945
108875,Advanced composites in engineering structures,"Organisation, économie et droit de la construction I",0.19545454545454546
109419,Advanced composites in engineering structures,Structure et architecture,0.19508867667121418
110793,Advanced computer architecture,Embedded systems,0.19498607242339833
112063,Advanced computer architecture,Real-time embedded systems,0.18652849740932642
109970,Advanced computer architecture,Advanced compiler construction,0.16614906832298137
110666,Advanced computer architecture,Distributed algorithms,0.12911084043848964
110636,Advanced computer architecture,Design technologies for integrated systems,0.12878787878787878
110919,Advanced computer architecture,Foundations of software,0.12177985948477751
110143,Advanced computer architecture,Architecture des ordinateurs II,0.11836734693877551
112419,Advanced computer architecture,TCP/IP networking,0.11764705882352941
110519,Advanced computer architecture,Concurrent algorithms,0.11592505854800937
110668,Advanced computer architecture,Distributed information systems,0.11006474396703944
110613,Advanced computer architecture,Database systems,0.1070110701107011
110599,Advanced computer architecture,Cryptography and security,0.10672853828306264
109973,Advanced computer architecture,Advanced computer graphics,0.10617283950617284
111528,Advanced computer architecture,Mobile networks,0.10285220397579949
109999,Advanced computer architecture,Advanced multiprocessor architecture,0.1022964509394572
111998,Advanced computer architecture,Projet de génie logiciel II,0.1
111997,Advanced computer architecture,Projet de génie logiciel I,0.09967320261437909
109978,Advanced computer architecture,Advanced databases,0.09795918367346938
112804,Advanced computer architecture,Virtual reality,0.09746835443037975
112233,Advanced computer architecture,Software engineering,0.09564596716630978
115697,Advanced computer graphics,Virtual reality,0.34379671150971597
113540,Advanced computer graphics,Digital 3D geometry processing,0.20170940170940171
113381,Advanced computer graphics,Computer vision,0.2
114610,Advanced computer graphics,Operating systems,0.15669856459330145
113559,Advanced computer graphics,Distributed algorithms,0.15351681957186544
115126,Advanced computer graphics,Software engineering,0.15220588235294116
114093,Advanced computer graphics,Intelligence artificielle,0.15215686274509804
114690,Advanced computer graphics,Pattern classification and machine learning,0.15092674315975288
113812,Advanced computer graphics,Foundations of software,0.14716106604866744
114137,Advanced computer graphics,Introduction to computer graphics,0.13796680497925312
113561,Advanced computer graphics,Distributed information systems,0.13558318531675548
114481,Advanced computer graphics,Multimedia documents,0.13126843657817108
113988,Advanced computer graphics,Human computer interaction,0.13070283600493218
113335,Advanced computer graphics,Compiler construction,0.12945838837516513
117311,Advanced computer networks and distributed systems,Middleware,0.14084507042253522
115764,Advanced computer networks and distributed systems,Advanced databases,0.13656387665198239
117963,Advanced computer networks and distributed systems,Selected topics in distributed computing,0.09865470852017937
117571,Advanced computer networks and distributed systems,Parallélisation de programmes sur grappes de PC,0.09727626459143969
116253,Advanced computer networks and distributed systems,Computational linguistics,0.0896551724137931
116908,Advanced computer networks and distributed systems,IT security engineering TP,0.0896551724137931
117750,Advanced computer networks and distributed systems,Program parallelization on PC clusters,0.08960573476702509
115929,Advanced computer networks and distributed systems,Architecture des ordinateurs II,0.08588957055214724
118186,Advanced computer networks and distributed systems,Systèmes répartis,0.08450704225352113
121048,Advanced control systems,System identification,0.3940594059405941
119111,Advanced control systems,Commande non linéaire,0.310580204778157
120211,Advanced control systems,Model predictive control,0.28942807625649913
121076,Advanced control systems,Systèmes mécatroniques,0.2288888888888889
120343,Advanced control systems,Networked control systems,0.18101545253863136
120796,Advanced control systems,Robotique industrielle et appliquée,0.18055555555555555
118893,Advanced control systems,Bases de la robotique,0.1773109243697479
120269,Advanced control systems,Multivariable control,0.14948453608247422
121072,Advanced control systems,Systèmes multivariables,0.13278495887191538
120794,Advanced control systems,Robotics practicals,0.12717770034843207
119373,Advanced control systems,Dynamique des systèmes mécaniques,0.12399193548387097
120919,Advanced control systems,Solid mechanics,0.11642411642411643
120180,Advanced control systems,Microcontrôleurs pour la commande de systèmes mécaniques,0.11559633027522936
119225,Advanced control systems,Control systems + TP,0.11210317460317461
118806,Advanced control systems,Applied machine learning,0.10426008968609865
