,year,course_name,section,enrollments
318,2006-2007,Advanced solid waste treatment,ENV,24
319,2006-2007,Algorithms,CS,17
320,2006-2007,Aménagements hydrauliques II,CIVIL,29
321,2006-2007,Analog circuits design I,EE,61
322,2006-2007,Analog circuits design II,EE,12
323,2006-2007,Analyse de produits et systèmes,MICRO,18
324,2006-2007,"Analyse du cycle de vie, écobilan",ENV,53
325,2006-2007,Applied machine learning,MICRO,16
326,2006-2007,Applied molecular quantum chemistry,CH,1
327,2006-2007,Architecture et construction de la ville I,AR,54
328,2006-2007,Architecture et construction de la ville II,AR,45
329,2006-2007,Assemblage et robotique TP,MICRO,21
330,2006-2007,Atoms and radiation,CH,22
331,2006-2007,Aérodynamique,ME,12
332,2006-2007,Barrages et ouvrages hydrauliques annexes,CIVIL,26
333,2006-2007,Bio-ingénierie des cours d'eau et milieux naturels,ENV,30
334,2006-2007,BioMEMS,MICRO,37
335,2006-2007,Bioanalytics and analytical sensors,CH,22
336,2006-2007,Biomaterials,BIOENG,10
337,2006-2007,Biometrics,EE,19
338,2006-2007,Biometrics,UNIL,19
339,2006-2007,Biomicroscopy I,MICRO,14
340,2006-2007,Biomicroscopy II,MICRO,11
341,2006-2007,Biophysique I,PHYS,52
342,2006-2007,Cancer biology I,BIO,2
343,2006-2007,Cancer biology II,BIO,2
344,2006-2007,Capteurs,MICRO,66
345,2006-2007,Cavitation et phénomènes d'interface,ME,10
346,2006-2007,Cellular signalling,CH,3
347,2006-2007,Cementitious materials (advanced),MSE,10
348,2006-2007,Chemical engineering of heterogenous reaction,ChE,6
349,2006-2007,Chemical processes of sustainable and renewable energy,ChE,4
350,2006-2007,Chimie des denrées alimentaires,ENG,2
351,2006-2007,Color reproduction,CS,24
352,2006-2007,Commande d'actionneurs à l'aide d'un microprocesseur + TP,MICRO,43
353,2006-2007,Computational molecular biology,CS,18
354,2006-2007,Computer vision,CS,27
355,2006-2007,Computer-aided engineering,ME,35
356,2006-2007,Computer-supported cooperative work,CS,19
357,2006-2007,Conception pour X,ME,43
358,2006-2007,Contrôle stochastique,MATH,11
359,2006-2007,Corporate governance,MGT,16
360,2006-2007,Cryptography and security,COM,73
361,2006-2007,Design technologies for integrated systems,CS,18
362,2006-2007,Dielectric and optical properties of materials,MSE,9
363,2006-2007,Diffraction methods in structural biology,PHYS,9
364,2006-2007,Distributed algorithms,CS,76
365,2006-2007,Distributed information systems,CS,78
366,2006-2007,Droit : contrats et responsabilité professionnelle,ENV,44
367,2006-2007,Dynamical system theory for engineers,COM,28
368,2006-2007,Dynamique des structures,CIVIL,58
369,2006-2007,Dynamique moléculaire et simulation Monte-Carlo,CH,16
370,2006-2007,Eco-morphologie fluviale,ENV,27
371,2006-2007,Economie des transports,CIVIL,12
372,2006-2007,Economie hydraulique,CIVIL,20
373,2006-2007,Embedded systems,CS,35
374,2006-2007,Energétique du bâtiment,ENG,27
375,2006-2007,Enquêtes et méthodes quantitatives,ENG,13
376,2006-2007,Enterprise and service-oriented architecture,CS,33
377,2006-2007,Esthétique des ouvrages de génie civil,CIVIL,48
378,2006-2007,Etudes d'impact,ENG,72
379,2006-2007,Experimental data analysis and modelization,MSE,12
380,2006-2007,Fabrication assistée par ordinateur,ME,40
381,2006-2007,Fracture mechanics,ME,5
382,2006-2007,Fundamentals of biomedical imaging,PHYS,16
383,2006-2007,Gestion de la maintenance des infrastructures,CIVIL,17
384,2006-2007,Gestion foncière et droit foncier,ENV,26
385,2006-2007,Géomécanique,CIVIL,11
386,2006-2007,HF and VHF circuits and techniques I,EE,59
387,2006-2007,Habitat et développement urbain,AR,45
388,2006-2007,Hardware systems modeling I,EE,55
389,2006-2007,Hardware systems modeling II,EE,6
390,2006-2007,Histoire de l'architecture VII,AR,92
391,2006-2007,Histoire de l'architecture VIII,AR,20
392,2006-2007,Human computer interaction,CS,43
393,2006-2007,Hydraulic turbomachines,ME,13
394,2006-2007,Hydraulique fluviale et aménagement de cours d'eau,CIVIL,14
395,2006-2007,Hydrogeophysics,ENV,16
396,2006-2007,Hydrologie urbaine,ENV,27
397,2006-2007,Image analysis and pattern recognition,EE,11
398,2006-2007,Image and video processing,EE,9
399,2006-2007,Image communication,EE,5
400,2006-2007,Image processing I,MICRO,88
401,2006-2007,Image processing II,MICRO,58
402,2006-2007,Industrial automation,CS,17
403,2006-2007,Industrialisation,MICRO,52
404,2006-2007,Information technology and e-business strategy,MGT,14
405,2006-2007,Information theory and coding,COM,22
406,2006-2007,Integrated circuits technology,EE,5
407,2006-2007,Intelligent agents,CS,29
408,2006-2007,Introduction au génie chimique II,ChE,67
409,2006-2007,Introduction au génie chimique TP,ChE,54
410,2006-2007,Introduction to cellular and molecular biotechnology,BIOENG,102
411,2006-2007,Introduction to particle accelerators,PHYS,7
412,2006-2007,Introduction à la physique des astroparticules,PHYS,7
413,2006-2007,Laboratory information management systems (LIMS),CH,1
414,2006-2007,Lasers and applications in chemistry,CH,2
415,2006-2007,Mass spectrometry,CH,4
416,2006-2007,Materials science,MSE,27
417,2006-2007,Materials selection,MSE,31
418,2006-2007,Matériaux et structures,CIVIL,33
419,2006-2007,Media security,EE,17
420,2006-2007,Microwaves,EE,21
421,2006-2007,Mobile networks,COM,57
422,2006-2007,Mobile robots,MICRO,39
423,2006-2007,Modèles stochastiques pour les communications,COM,54
424,2006-2007,Modélisation et représentation informatique I,AR,105
425,2006-2007,Modélisation et représentation informatique II,AR,28
426,2006-2007,Molecular endocrinology,BIO,44
427,2006-2007,Mécanique vibratoire,ME,62
428,2006-2007,Méthodes de détection optique,MICRO,8
429,2006-2007,Méthodes de production,MICRO,56
430,2006-2007,Nanobiotechnology and biophysics,CH,90
431,2006-2007,Nanoelectronics,EE,42
432,2006-2007,Nanomaterials,MSE,21
433,2006-2007,Optique I,PHYS,33
434,2006-2007,Optique II,PHYS,25
435,2006-2007,Optique III,PHYS,10
436,2006-2007,Optique TP,MICRO,5
437,2006-2007,"Organisation, économie et droit de la construction I",ENG,53
438,2006-2007,"Organisation, économie et droit de la construction II",ENG,27
439,2006-2007,Particle detection,PHYS,7
440,2006-2007,Particules élémentaires I,PHYS,14
441,2006-2007,Particules élémentaires II,PHYS,7
442,2006-2007,Pattern classification and machine learning,CS,56
443,2006-2007,Performance evaluation,COM,16
444,2006-2007,Photochemistry I,CH,2
445,2006-2007,Photochemistry II,CH,1
446,2006-2007,Physical models for micro and nanosystems,EE,42
447,2006-2007,Physique du solide III,PHYS,28
448,2006-2007,Physique moléculaire,CH,12
449,2006-2007,Planification intégrée des infrastructures d'énergie,CIVIL,14
450,2006-2007,Polyelectrolytes and biopolymers,ChE,4
451,2006-2007,Polymer chemistry and macromolecular engineering,MSE,9
452,2006-2007,Polymer morphological characterization techniques,MSE,7
453,2006-2007,Ponts en béton,CIVIL,37
454,2006-2007,Ponts en métal,CIVIL,20
455,2006-2007,Process development I,ChE,4
456,2006-2007,Process development II,ChE,3
457,2006-2007,Process development project,ChE,2
458,2006-2007,Quantum physics III,PHYS,16
459,2006-2007,Quantum physics IV,PHYS,22
460,2006-2007,Real-time embedded systems,CS,10
461,2006-2007,Real-time networks,COM,16
462,2006-2007,Reliability of MEMS,MICRO,23
463,2006-2007,Risques hydrologiques et aménagements,ENV,42
464,2006-2007,Réseaux hydrauliques et énergétiques,CIVIL,19
465,2006-2007,Sciences de la ville I,AR,18
466,2006-2007,Sciences de la ville II,AR,14
467,2006-2007,Selected topics in nuclear and particle physics,PHYS,8
468,2006-2007,Signal processing for communications,COM,57
469,2006-2007,Simulation multi-corps assistée par ordinateur,ME,13
470,2006-2007,Sociologie urbaine,AR,13
471,2006-2007,Software engineering,CS,57
472,2006-2007,Software-defined radio: a hands-on course,COM,7
473,2006-2007,Spacecraft design and system engineering,EE,3
474,2006-2007,Speech processing,EE,12
475,2006-2007,Statistical theories and electronic of solids,CH,2
476,2006-2007,Statistical theory,MATH,3
477,2006-2007,Statistics for genomic data analysis,MATH,31
478,2006-2007,Stem cell biology and technology,BIO,4
479,2006-2007,Structure and reactivity,CH,6
480,2006-2007,Structure et architecture,CIVIL,51
481,2006-2007,Structures complexes,AR,16
482,2006-2007,"Structures en métal, chapitres choisis",CIVIL,15
483,2006-2007,Structures existantes I : Sécurité et durabilité,CIVIL,50
484,2006-2007,Structures existantes II : Interventions,CIVIL,39
485,2006-2007,Student seminar: security protocols and applications,COM,7
486,2006-2007,Supply chain management,MGT,9
487,2006-2007,Supramolecular chemistry,CH,4
488,2006-2007,Systèmes de management environnementaux,ENV,53
489,2006-2007,TCP/IP networking,COM,78
490,2006-2007,Techniques d'assemblage,MICRO,9
491,2006-2007,Techniques d'assemblage I,MICRO,21
492,2006-2007,Techniques d'assemblage II,MICRO,21
493,2006-2007,Technologie des microstructures I,MICRO,54
494,2006-2007,Test of VLSI systems,EE,45
495,2006-2007,Thin film fabrication processes,MSE,6
496,2006-2007,Théorie de l'architecture VII,AR,96
497,2006-2007,Transducteurs et entraînements intégrés,EE,56
498,2006-2007,Transport et télématique,CIVIL,10
499,2006-2007,Turbomachines thermiques,ME,16
500,2006-2007,Two-phase flows and heat transfer,ME,15
501,2006-2007,UE : Environnement et GC,CIVIL,61
502,2006-2007,UE D : Territoire et société,AR,9
503,2006-2007,UE E : Architecture et structures,AR,15
504,2006-2007,UE F : Architecture et réhabilitation,AR,13
505,2006-2007,UE J : Territoire et paysage,AR,12
506,2006-2007,VLSI design I,EE,53
507,2006-2007,VLSI design II,EE,7
508,2006-2007,Ville et mobilité,AR,18
509,2006-2007,Virtual reality,CS,48
510,2006-2007,Water quality modeling,ENG,18
511,2006-2007,Wave propagation along transmission lines,EE,14
512,2007-2008,Advanced NMR and imaging,CH,4
513,2007-2008,Advanced analog and RF integrated circuits design I,EE,12
514,2007-2008,Advanced analog and RF integrated circuits design II,EE,11
515,2007-2008,Advanced analysis I,MATH,3
516,2007-2008,Advanced analysis II,MATH,2
517,2007-2008,Advanced compiler construction,CS,20
518,2007-2008,Advanced composites in engineering structures,CIVIL,22
519,2007-2008,Advanced computer architecture,CS,37
520,2007-2008,Advanced computer graphics,CS,18
521,2007-2008,Advanced diffusional separation processes,ChE,1
522,2007-2008,Advanced digital communications,COM,9
523,2007-2008,Advanced signal processing,EE,23
524,2007-2008,Advanced solid waste treatment,ENV,20
525,2007-2008,Algorithms,CS,57
526,2007-2008,Aménagements hydrauliques II,CIVIL,19
527,2007-2008,Analog circuits design I,EE,62
528,2007-2008,Analog circuits design II,EE,17
529,2007-2008,Analyse de produits et systèmes,MICRO,11
530,2007-2008,"Analyse du cycle de vie, écobilan",ENV,48
531,2007-2008,Applied machine learning,MICRO,20
532,2007-2008,Applied molecular quantum chemistry,CH,1
533,2007-2008,Architecture et construction de la ville I,AR,65
534,2007-2008,Architecture et construction de la ville II,AR,54
535,2007-2008,Art et histoire des jardins,AR,21
536,2007-2008,Assemblage et robotique TP,MICRO,16
537,2007-2008,Atoms and radiation,CH,13
538,2007-2008,Aérodynamique,ME,19
539,2007-2008,Barrages et ouvrages hydrauliques annexes,CIVIL,32
540,2007-2008,Bio-ingénierie des cours d'eau et milieux naturels,ENV,26
541,2007-2008,BioMEMS,MICRO,21
542,2007-2008,Bioanalytics and analytical sensors,CH,17
543,2007-2008,Biomaterials,BIOENG,14
544,2007-2008,Biometrics,EE,9
545,2007-2008,Biometrics,UNIL,9
546,2007-2008,Biomicroscopy I,MICRO,7
547,2007-2008,Biomicroscopy II,MICRO,4
548,2007-2008,Biophysique I,PHYS,32
549,2007-2008,Cancer biology I,BIO,2
550,2007-2008,Cancer biology II,BIO,1
551,2007-2008,Capteurs,MICRO,49
552,2007-2008,Cavitation et phénomènes d'interface,ME,16
553,2007-2008,Cellular biology and biochemistry for engineers,BIO,12
554,2007-2008,Cellular signalling,CH,5
555,2007-2008,Cementitious materials (advanced),MSE,10
556,2007-2008,Chemical engineering of heterogenous reaction,ChE,3
557,2007-2008,Chemical processes of sustainable and renewable energy,ChE,2
558,2007-2008,Chimie des denrées alimentaires,ENG,3
559,2007-2008,Color reproduction,CS,7
