,year,course_name,section,enrollments
0,2004-2005,Advanced NMR and imaging,CH,4
1,2004-2005,Advanced analysis I,MATH,5
2,2004-2005,Advanced analysis II,MATH,6
3,2004-2005,Advanced compiler construction,CS,32
4,2004-2005,Advanced computer architecture,CS,31
5,2004-2005,Advanced computer graphics,CS,27
6,2004-2005,Advanced digital communications,COM,31
7,2004-2005,Algorithms,CS,4
8,2004-2005,Aménagement du territoire,AR,46
9,2004-2005,Aménagements hydrauliques II,CIVIL,8
10,2004-2005,Analyse de produits et systèmes,MICRO,23
11,2004-2005,Applied molecular quantum chemistry,CH,6
12,2004-2005,Architecture et construction de la ville I,AR,35
13,2004-2005,Architecture et construction de la ville II,AR,33
14,2004-2005,Assemblage et robotique TP,MICRO,37
15,2004-2005,Atoms and radiation,CH,13
16,2004-2005,Aérodynamique,ME,15
17,2004-2005,Barrages et ouvrages hydrauliques annexes,CIVIL,19
18,2004-2005,Bioanalytics and analytical sensors,CH,1
19,2004-2005,Biomaterials,BIOENG,13
20,2004-2005,Biometrics,EE,61
21,2004-2005,Biometrics,UNIL,61
22,2004-2005,Biophysique I,PHYS,32
23,2004-2005,Cavitation et phénomènes d'interface,ME,6
24,2004-2005,Cementitious materials (advanced),MSE,6
25,2004-2005,Chimie des denrées alimentaires,ENG,9
26,2004-2005,Color reproduction,CS,27
27,2004-2005,Commande d'actionneurs à l'aide d'un microprocesseur + TP,MICRO,18
28,2004-2005,Computer-aided engineering,ME,38
29,2004-2005,Computer-supported cooperative work,CS,22
30,2004-2005,Conception pour X,ME,18
31,2004-2005,Contrôle stochastique,MATH,17
32,2004-2005,Corporate governance,MGT,13
33,2004-2005,Cryptography and security,COM,101
34,2004-2005,Dielectric and optical properties of materials,MSE,4
35,2004-2005,Diffraction methods in structural biology,PHYS,25
36,2004-2005,Distributed algorithms,CS,55
37,2004-2005,Distributed information systems,CS,150
38,2004-2005,Droit : contrats et responsabilité professionnelle,ENV,45
39,2004-2005,Dynamical system theory for engineers,COM,7
40,2004-2005,Dynamique des structures,CIVIL,24
41,2004-2005,Dynamique moléculaire et simulation Monte-Carlo,CH,8
42,2004-2005,Economie des transports,CIVIL,3
43,2004-2005,Embedded systems,CS,29
44,2004-2005,Energétique du bâtiment,ENG,6
45,2004-2005,Esthétique des ouvrages de génie civil,CIVIL,7
46,2004-2005,Etudes d'impact,ENG,27
47,2004-2005,Experimental data analysis and modelization,MSE,10
48,2004-2005,Fabrication assistée par ordinateur,ME,41
49,2004-2005,Fracture mechanics,ME,11
50,2004-2005,Gestion de la maintenance des infrastructures,CIVIL,12
51,2004-2005,Human computer interaction,CS,55
52,2004-2005,Hydraulic turbomachines,ME,16
53,2004-2005,Hydraulique fluviale et aménagement de cours d'eau,CIVIL,11
54,2004-2005,Industrial automation,CS,24
55,2004-2005,Industrialisation,MICRO,62
56,2004-2005,Information theory and coding,COM,34
57,2004-2005,Integrated circuits technology,EE,3
58,2004-2005,Intelligent agents,CS,21
59,2004-2005,Introduction au génie chimique II,ChE,58
60,2004-2005,Introduction au génie chimique TP,ChE,47
61,2004-2005,Introduction à l'architecture,AR,14
62,2004-2005,Introduction à la physique des astroparticules,PHYS,21
63,2004-2005,Mass spectrometry,CH,12
64,2004-2005,Materials selection,MSE,22
65,2004-2005,Matériaux et structures,CIVIL,6
66,2004-2005,Media security,EE,16
67,2004-2005,Microwaves,EE,20
68,2004-2005,Mobile networks,COM,128
69,2004-2005,Mobile robots,MICRO,43
70,2004-2005,Modèles stochastiques pour les communications,COM,39
71,2004-2005,Modélisation et représentation informatique I,AR,40
72,2004-2005,Modélisation et représentation informatique II,AR,35
73,2004-2005,Mécanique vibratoire,ME,40
74,2004-2005,Méthodes de détection optique,MICRO,7
75,2004-2005,Méthodes de production,MICRO,60
76,2004-2005,Nanobiotechnology and biophysics,CH,6
77,2004-2005,Nanoelectronics,EE,14
78,2004-2005,Nanomaterials,MSE,20
79,2004-2005,Optique I,PHYS,16
80,2004-2005,Optique II,PHYS,25
81,2004-2005,Optique III,PHYS,10
82,2004-2005,Optique TP,MICRO,11
83,2004-2005,"Organisation, économie et droit de la construction I",ENG,30
84,2004-2005,"Organisation, économie et droit de la construction II",ENG,16
85,2004-2005,Particle detection,PHYS,7
86,2004-2005,Particules élémentaires I,PHYS,24
87,2004-2005,Particules élémentaires II,PHYS,19
88,2004-2005,Pattern classification and machine learning,CS,53
89,2004-2005,Performance evaluation,COM,28
90,2004-2005,Photochemistry I,CH,14
91,2004-2005,Photochemistry II,CH,3
92,2004-2005,Physique du solide III,PHYS,23
93,2004-2005,Polyelectrolytes and biopolymers,ChE,21
94,2004-2005,Polymer chemistry and macromolecular engineering,MSE,24
95,2004-2005,Ponts en béton,CIVIL,15
96,2004-2005,Ponts en métal,CIVIL,12
97,2004-2005,Process development I,ChE,30
98,2004-2005,Process development II,ChE,24
99,2004-2005,Process development project,ChE,25
100,2004-2005,Quantum physics III,PHYS,18
101,2004-2005,Quantum physics IV,PHYS,10
102,2004-2005,Real-time embedded systems,CS,19
103,2004-2005,Réseaux hydrauliques et énergétiques,CIVIL,8
104,2004-2005,Selected topics in nuclear and particle physics,PHYS,10
105,2004-2005,Simulation multi-corps assistée par ordinateur,ME,8
106,2004-2005,Sociologie urbaine,AR,7
107,2004-2005,Software-defined radio: a hands-on course,COM,8
108,2004-2005,Speech processing,EE,16
109,2004-2005,Statistical theories and electronic of solids,CH,13
110,2004-2005,Statistics for genomic data analysis,MATH,19
111,2004-2005,Structure and reactivity,CH,14
112,2004-2005,"Structures en métal, chapitres choisis",CIVIL,16
113,2004-2005,Supramolecular chemistry,CH,12
114,2004-2005,TCP/IP networking,COM,195
115,2004-2005,Techniques d'assemblage I,MICRO,40
116,2004-2005,Techniques d'assemblage II,MICRO,36
117,2004-2005,Technologie des microstructures I,MICRO,71
118,2004-2005,Technologie des microstructures II,MICRO,69
119,2004-2005,Thin film fabrication processes,MSE,7
120,2004-2005,Transducteurs et entraînements intégrés,EE,17
121,2004-2005,Transport et télématique,CIVIL,11
122,2004-2005,Turbomachines thermiques,ME,11
123,2004-2005,Two-phase flows and heat transfer,ME,17
124,2004-2005,UE : Environnement et GC,CIVIL,33
125,2004-2005,UE D : Territoire et société,AR,15
126,2004-2005,VLSI design I,EE,19
127,2004-2005,VLSI design II,EE,9
128,2004-2005,Ville et mobilité,AR,19
129,2004-2005,Virtual reality,CS,27
130,2005-2006,Advanced NMR and imaging,CH,13
131,2005-2006,Advanced analog and RF integrated circuits design I,EE,25
132,2005-2006,Advanced analog and RF integrated circuits design II,EE,12
133,2005-2006,Advanced analysis I,MATH,9
134,2005-2006,Advanced analysis II,MATH,11
135,2005-2006,Advanced compiler construction,CS,10
136,2005-2006,Advanced computer architecture,CS,22
137,2005-2006,Advanced computer graphics,CS,42
138,2005-2006,Advanced cryptography,COM,1
139,2005-2006,Advanced diffusional separation processes,ChE,15
140,2005-2006,Advanced digital communications,COM,20
141,2005-2006,Advanced signal processing,EE,19
142,2005-2006,Air pollution and climate change,ENV,5
143,2005-2006,Aménagements hydrauliques II,CIVIL,14
144,2005-2006,Analog circuits design I,EE,57
145,2005-2006,Analog circuits design II,EE,14
146,2005-2006,Analyse de produits et systèmes,MICRO,9
147,2005-2006,"Analyse du cycle de vie, écobilan",ENV,41
148,2005-2006,Applied molecular quantum chemistry,CH,4
149,2005-2006,Architecture et construction de la ville I,AR,37
150,2005-2006,Architecture et construction de la ville II,AR,35
151,2005-2006,Assemblage et robotique TP,MICRO,19
152,2005-2006,Atoms and radiation,CH,11
153,2005-2006,Aérodynamique,ME,21
154,2005-2006,Barrages et ouvrages hydrauliques annexes,CIVIL,23
155,2005-2006,BioMEMS,MICRO,19
156,2005-2006,Bioanalytics and analytical sensors,CH,13
157,2005-2006,Biomaterials,BIOENG,5
158,2005-2006,Biometrics,EE,25
159,2005-2006,Biometrics,UNIL,25
160,2005-2006,Biophysique I,PHYS,25
161,2005-2006,Cavitation et phénomènes d'interface,ME,20
162,2005-2006,Cellular signalling,CH,11
163,2005-2006,Cementitious materials (advanced),MSE,4
164,2005-2006,Chimie des denrées alimentaires,ENG,11
165,2005-2006,Color reproduction,CS,44
166,2005-2006,Commande d'actionneurs à l'aide d'un microprocesseur + TP,MICRO,33
167,2005-2006,Computer vision,CS,55
168,2005-2006,Computer-aided engineering,ME,25
169,2005-2006,Computer-supported cooperative work,CS,15
170,2005-2006,Conception pour X,ME,31
171,2005-2006,Corporate governance,MGT,22
172,2005-2006,Cryptography and security,COM,98
173,2005-2006,Design technologies for integrated systems,CS,13
174,2005-2006,Dielectric and optical properties of materials,MSE,3
175,2005-2006,Diffraction methods in structural biology,PHYS,27
176,2005-2006,Distributed algorithms,CS,60
177,2005-2006,Distributed information systems,CS,97
178,2005-2006,Droit : contrats et responsabilité professionnelle,ENV,61
179,2005-2006,Dynamical system theory for engineers,COM,8
180,2005-2006,Dynamique des structures,CIVIL,36
181,2005-2006,Dynamique moléculaire et simulation Monte-Carlo,CH,26
182,2005-2006,Economie des transports,CIVIL,7
183,2005-2006,Economie hydraulique,CIVIL,8
184,2005-2006,Embedded systems,CS,18
185,2005-2006,Energétique du bâtiment,ENG,22
186,2005-2006,Enquêtes et méthodes quantitatives,ENG,7
187,2005-2006,Esthétique des ouvrages de génie civil,CIVIL,22
188,2005-2006,Etudes d'impact,ENG,70
189,2005-2006,Experimental data analysis and modelization,MSE,8
190,2005-2006,Fabrication assistée par ordinateur,ME,23
191,2005-2006,Fracture mechanics,ME,7
192,2005-2006,Fundamentals of biomedical imaging,PHYS,21
193,2005-2006,Gestion de la maintenance des infrastructures,CIVIL,14
194,2005-2006,Gestion foncière et droit foncier,ENV,32
195,2005-2006,Géomécanique,CIVIL,6
196,2005-2006,HF and VHF circuits and techniques I,EE,67
197,2005-2006,Habitat et développement urbain,AR,28
198,2005-2006,Hardware systems modeling I,EE,57
199,2005-2006,Hardware systems modeling II,EE,13
200,2005-2006,Histoire de l'architecture VII,AR,67
201,2005-2006,Histoire de l'architecture VIII,AR,54
202,2005-2006,Human computer interaction,CS,61
203,2005-2006,Hydraulic turbomachines,ME,17
204,2005-2006,Hydraulique fluviale et aménagement de cours d'eau,CIVIL,17
205,2005-2006,Image analysis and pattern recognition,EE,15
206,2005-2006,Image and video processing,EE,18
207,2005-2006,Image communication,EE,3
208,2005-2006,Industrial automation,CS,52
209,2005-2006,Industrialisation,MICRO,103
210,2005-2006,Information theory and coding,COM,36
211,2005-2006,Integrated circuits technology,EE,29
212,2005-2006,Intelligent agents,CS,51
213,2005-2006,Introduction au génie chimique II,ChE,58
214,2005-2006,Introduction au génie chimique TP,ChE,45
215,2005-2006,Introduction to cellular and molecular biotechnology,BIOENG,57
216,2005-2006,Introduction to particle accelerators,PHYS,8
217,2005-2006,Introduction à l'architecture,AR,10
218,2005-2006,Introduction à la physique des astroparticules,PHYS,17
219,2005-2006,Lasers and applications in chemistry,CH,11
220,2005-2006,Mass spectrometry,CH,7
221,2005-2006,Materials science,MSE,23
222,2005-2006,Materials selection,MSE,22
223,2005-2006,Matériaux et structures,CIVIL,31
224,2005-2006,Media security,EE,31
225,2005-2006,Microwaves,EE,34
226,2005-2006,Mobile networks,COM,98
227,2005-2006,Mobile robots,MICRO,31
228,2005-2006,Modèles stochastiques pour les communications,COM,80
229,2005-2006,Modélisation et représentation informatique I,AR,42
230,2005-2006,Modélisation et représentation informatique II,AR,33
231,2005-2006,Mécanique vibratoire,ME,56
232,2005-2006,Méthodes de détection optique,MICRO,8
233,2005-2006,Méthodes de production,MICRO,94
234,2005-2006,Nanobiotechnology and biophysics,CH,76
235,2005-2006,Nanoelectronics,EE,6
236,2005-2006,Nanomaterials,MSE,9
237,2005-2006,Optics III,PHYS,7
238,2005-2006,Optique I,PHYS,28
239,2005-2006,Optique II,PHYS,15
240,2005-2006,Optique TP,MICRO,6
241,2005-2006,"Organisation, économie et droit de la construction I",ENG,30
242,2005-2006,"Organisation, économie et droit de la construction II",ENG,23
243,2005-2006,Particle detection,PHYS,11
244,2005-2006,Particules élémentaires I,PHYS,22
245,2005-2006,Particules élémentaires II,PHYS,18
246,2005-2006,Pattern classification and machine learning,CS,44
247,2005-2006,Performance evaluation,COM,37
248,2005-2006,Photochemistry I,CH,13
249,2005-2006,Photochemistry II,CH,6
250,2005-2006,Physique du solide III,PHYS,38
251,2005-2006,Planification intégrée des infrastructures d'énergie,CIVIL,5
252,2005-2006,Polyelectrolytes and biopolymers,ChE,7
253,2005-2006,Polymer chemistry and macromolecular engineering,MSE,31
254,2005-2006,Polymer morphological characterization techniques,MSE,10
255,2005-2006,Ponts en béton,CIVIL,22
256,2005-2006,Ponts en métal,CIVIL,16
257,2005-2006,Process development I,ChE,15
258,2005-2006,Process development II,ChE,15
259,2005-2006,Process development project,ChE,15
260,2005-2006,Quantum physics III,PHYS,35
261,2005-2006,Quantum physics IV,PHYS,31
262,2005-2006,Real-time embedded systems,CS,44
263,2005-2006,Reliability of MEMS,MICRO,10
264,2005-2006,Risques hydrologiques et aménagements,ENV,30
265,2005-2006,Réseaux hydrauliques et énergétiques,CIVIL,13
266,2005-2006,Sciences de la ville I,AR,44
267,2005-2006,Sciences de la ville II,AR,38
268,2005-2006,Selected topics in nuclear and particle physics,PHYS,17
269,2005-2006,Signal processing for communications,COM,86
270,2005-2006,Simulation multi-corps assistée par ordinateur,ME,24
271,2005-2006,Sociologie urbaine,AR,16
272,2005-2006,Software engineering,CS,92
273,2005-2006,Software-defined radio: a hands-on course,COM,12
274,2005-2006,Speech processing,EE,12
275,2005-2006,Statistical theories and electronic of solids,CH,13
276,2005-2006,Structure and reactivity,CH,13
277,2005-2006,Structures complexes,AR,25
278,2005-2006,"Structures en béton, chapitres choisis",CIVIL,38
279,2005-2006,"Structures en métal, chapitres choisis",CIVIL,26
280,2005-2006,Student seminar: security protocols and applications,COM,13
281,2005-2006,Supramolecular chemistry,CH,11
282,2005-2006,Systèmes de management environnementaux,ENV,48
283,2005-2006,TCP/IP networking,COM,34
284,2005-2006,Techniques d'assemblage,MICRO,9
285,2005-2006,Techniques d'assemblage I,MICRO,21
286,2005-2006,Techniques d'assemblage II,MICRO,20
287,2005-2006,Technologie des microstructures I,MICRO,94
288,2005-2006,Technologie des microstructures II,MICRO,92
289,2005-2006,Thin film fabrication processes,MSE,13
290,2005-2006,Théorie de l'architecture VII,AR,60
291,2005-2006,Transducteurs et entraînements intégrés,EE,39
292,2005-2006,Transport et télématique,CIVIL,28
293,2005-2006,Turbomachines thermiques,ME,25
294,2005-2006,Two-phase flows and heat transfer,ME,21
295,2005-2006,UE : Environnement et GC,CIVIL,33
296,2005-2006,UE D : Territoire et société,AR,15
297,2005-2006,UE E : Architecture et structures,AR,16
298,2005-2006,UE F : Architecture et réhabilitation,AR,13
299,2005-2006,UE J : Territoire et paysage,AR,11
300,2005-2006,VLSI design I,EE,55
301,2005-2006,VLSI design II,EE,15
302,2005-2006,Ville et mobilité,AR,53
303,2005-2006,Virtual reality,CS,50
304,2005-2006,Wave propagation along transmission lines,EE,17
305,2006-2007,Advanced NMR and imaging,CH,4
306,2006-2007,Advanced analog and RF integrated circuits design I,EE,9
307,2006-2007,Advanced analog and RF integrated circuits design II,EE,4
308,2006-2007,Advanced analysis I,MATH,12
309,2006-2007,Advanced analysis II,MATH,9
310,2006-2007,Advanced compiler construction,CS,15
311,2006-2007,Advanced composites in engineering structures,CIVIL,19
312,2006-2007,Advanced computer architecture,CS,15
313,2006-2007,Advanced computer graphics,CS,34
314,2006-2007,Advanced cryptography,COM,10
315,2006-2007,Advanced diffusional separation processes,ChE,4
316,2006-2007,Advanced digital communications,COM,11
317,2006-2007,Advanced signal processing,EE,12
