,course_id,course_name,year,section
0,7,Adaptation and learning,2018-2019,EE
1,8,Adaptation and learning,2019-2020,EE
2,9,Adaptation and learning,2017-2018,EE
3,10,Spectroscopie analytique,2011-2012,CH
4,11,Spectroscopie analytique,2008-2009,CH
5,12,Spectroscopie analytique,2013-2014,CH
6,13,Spectroscopie analytique,2009-2010,CH
7,14,Spectroscopie analytique,2010-2011,CH
8,15,Spectroscopie analytique,2012-2013,CH
9,16,Spectroscopie analytique,2007-2008,CH
10,17,Spectroscopie analytique,2014-2015,CH
11,29,Heterogenous reaction engineering,2019-2020,ChE
12,46,"Organisation, économie et droit de la construction II",2017-2018,ENG
13,47,"Organisation, économie et droit de la construction II",2016-2017,ENG
14,48,"Organisation, économie et droit de la construction II",2007-2008,ENG
15,49,"Organisation, économie et droit de la construction II",2015-2016,ENG
16,50,"Organisation, économie et droit de la construction II",2010-2011,ENG
17,51,"Organisation, économie et droit de la construction II",2006-2007,ENG
18,52,"Organisation, économie et droit de la construction II",2005-2006,ENG
19,53,"Organisation, économie et droit de la construction II",2009-2010,ENG
20,54,"Organisation, économie et droit de la construction II",2012-2013,ENG
21,55,"Organisation, économie et droit de la construction II",2008-2009,ENG
22,56,"Organisation, économie et droit de la construction II",2004-2005,ENG
23,57,"Organisation, économie et droit de la construction II",2014-2015,ENG
24,58,"Organisation, économie et droit de la construction II",2011-2012,ENG
25,59,"Organisation, économie et droit de la construction II",2013-2014,ENG
26,62,Ouvrages hydrauliques et aménagements hydroélectriques,2019-2020,CIVIL
27,63,Ouvrages hydrauliques et aménagements hydroélectriques,2018-2019,CIVIL
28,64,Ouvrages hydrauliques et aménagements hydroélectriques,2015-2016,CIVIL
29,65,Ouvrages hydrauliques et aménagements hydroélectriques,2017-2018,CIVIL
30,66,Ouvrages hydrauliques et aménagements hydroélectriques,2016-2017,CIVIL
31,72,Basics of mobile robotics,2018-2019,MICRO
32,73,Basics of mobile robotics,2019-2020,MICRO
33,74,Fundamentals of biosensors and electronic biochips,2018-2019,EE
34,75,Fundamentals of biosensors and electronic biochips,2016-2017,EE
35,76,Fundamentals of biosensors and electronic biochips,2014-2015,EE
36,77,Fundamentals of biosensors and electronic biochips,2019-2020,EE
37,78,Fundamentals of biosensors and electronic biochips,2015-2016,EE
38,79,Fundamentals of biosensors and electronic biochips,2017-2018,EE
39,82,Scientific literature analysis in neuroscience,2018-2019,BIOENG
40,83,Scientific literature analysis in neuroscience,2019-2020,BIOENG
41,84,Scientific literature analysis in neuroscience,2015-2016,BIOENG
42,85,Scientific literature analysis in neuroscience,2014-2015,BIOENG
43,99,La recherche dans tous ses états II,2018-2019,HUM
44,99,La recherche dans tous ses états II,2018-2019,HUM
45,100,La recherche dans tous ses états II,2016-2017,HUM
46,100,La recherche dans tous ses états II,2016-2017,HUM
47,101,La recherche dans tous ses états II,2017-2018,HUM
48,101,La recherche dans tous ses états II,2017-2018,HUM
49,102,La recherche dans tous ses états II,2015-2016,HUM
50,102,La recherche dans tous ses états II,2015-2016,HUM
51,103,La recherche dans tous ses états II,2019-2020,HUM
52,103,La recherche dans tous ses états II,2019-2020,HUM
53,104,La recherche dans tous ses états II,2014-2015,HUM
54,104,La recherche dans tous ses états II,2014-2015,HUM
55,105,Bioelectronics and biomedical microelectronics,2017-2018,EE
56,106,Bioelectronics and biomedical microelectronics,2019-2020,EE
57,107,Bioelectronics and biomedical microelectronics,2018-2019,EE
58,118,Distributed information systems,2011-2012,CS
59,119,Distributed information systems,2016-2017,CS
60,120,Distributed information systems,2017-2018,CS
61,121,Distributed information systems,2015-2016,CS
62,122,Distributed information systems,2018-2019,CS
63,123,Distributed information systems,2004-2005,CS
64,124,Distributed information systems,2006-2007,CS
65,125,Distributed information systems,2010-2011,CS
66,126,Distributed information systems,2005-2006,CS
67,127,Distributed information systems,2013-2014,CS
68,128,Distributed information systems,2012-2013,CS
69,129,Distributed information systems,2007-2008,CS
70,130,Distributed information systems,2014-2015,CS
71,131,Distributed information systems,2019-2020,CS
72,132,Distributed information systems,2008-2009,CS
73,133,Distributed information systems,2009-2010,CS
74,135,Création collective: arts-impro & ingénierie I,2019-2020,HUM
75,135,Création collective: arts-impro & ingénierie I,2019-2020,HUM
76,136,Création collective: arts-impro & ingénierie I,2018-2019,HUM
77,136,Création collective: arts-impro & ingénierie I,2018-2019,HUM
78,137,Création collective: arts-impro & ingénierie I,2017-2018,HUM
79,137,Création collective: arts-impro & ingénierie I,2017-2018,HUM
80,138,Analyse et gestion de risques,2015-2016,CIVIL
81,139,Analyse et gestion de risques,2016-2017,CIVIL
82,140,Analyse et gestion de risques,2017-2018,CIVIL
83,141,Analyse et gestion de risques,2018-2019,CIVIL
84,142,Analyse et gestion de risques,2019-2020,CIVIL
85,157,Cultural data sculpting,2019-2020,DH
86,158,Cultural data sculpting,2017-2018,DH
87,159,Cultural data sculpting,2018-2019,DH
88,167,Linear models,2017-2018,MATH
89,168,Linear models,2018-2019,MATH
90,169,Linear models,2016-2017,MATH
91,170,Linear models,2019-2020,MATH
92,185,Chemistry of food processes,2016-2017,ENG
93,186,Chemistry of food processes,2013-2014,ENG
94,187,Chemistry of food processes,2015-2016,ENG
95,188,Chemistry of food processes,2011-2012,ENG
96,189,Chemistry of food processes,2018-2019,ENG
97,190,Chemistry of food processes,2019-2020,ENG
98,191,Chemistry of food processes,2017-2018,ENG
99,192,Chemistry of food processes,2014-2015,ENG
100,193,Chemistry of food processes,2012-2013,ENG
101,239,Les voies de l'eau,2013-2014,AR
102,240,Fundamentals & processes for photovoltaic devices,2011-2012,MICRO
103,241,Fundamentals & processes for photovoltaic devices,2010-2011,MICRO
104,242,Fundamentals & processes for photovoltaic devices,2009-2010,MICRO
105,243,Fundamentals & processes for photovoltaic devices,2018-2019,MICRO
106,244,Fundamentals & processes for photovoltaic devices,2015-2016,MICRO
107,245,Fundamentals & processes for photovoltaic devices,2013-2014,MICRO
108,246,Fundamentals & processes for photovoltaic devices,2012-2013,MICRO
109,247,Fundamentals & processes for photovoltaic devices,2017-2018,MICRO
110,248,Fundamentals & processes for photovoltaic devices,2019-2020,MICRO
111,249,Fundamentals & processes for photovoltaic devices,2014-2015,MICRO
112,250,Fundamentals & processes for photovoltaic devices,2016-2017,MICRO
113,251,"Science, technologie et société I",2015-2016,HUM
114,251,"Science, technologie et société I",2015-2016,HUM
115,252,"Science, technologie et société I",2016-2017,HUM
116,252,"Science, technologie et société I",2016-2017,HUM
117,253,"Science, technologie et société I",2017-2018,HUM
118,253,"Science, technologie et société I",2017-2018,HUM
119,254,"Science, technologie et société I",2013-2014,HUM
120,254,"Science, technologie et société I",2013-2014,HUM
121,255,"Science, technologie et société I",2014-2015,HUM
122,255,"Science, technologie et société I",2014-2015,HUM
123,256,"Science, technologie et société I",2019-2020,HUM
124,256,"Science, technologie et société I",2019-2020,HUM
125,257,"Science, technologie et société I",2018-2019,HUM
126,257,"Science, technologie et société I",2018-2019,HUM
127,258,"Science, technologie et société I",2012-2013,HUM
128,258,"Science, technologie et société I",2012-2013,HUM
129,292,Frontiers in chemical biology,2019-2020,CH
130,304,Data analysis and model classification,2015-2016,EE
131,305,Data analysis and model classification,2012-2013,EE
132,306,Data analysis and model classification,2011-2012,EE
133,307,Data analysis and model classification,2017-2018,EE
134,308,Data analysis and model classification,2018-2019,EE
135,309,Data analysis and model classification,2010-2011,EE
136,310,Data analysis and model classification,2013-2014,EE
137,311,Data analysis and model classification,2016-2017,EE
138,312,Data analysis and model classification,2014-2015,EE
139,313,Inorganic reactivity,2015-2016,CH
140,314,Inorganic reactivity,2016-2017,CH
141,315,Inorganic reactivity,2013-2014,CH
142,316,Inorganic reactivity,2012-2013,CH
143,317,Inorganic reactivity,2009-2010,CH
144,318,Inorganic reactivity,2008-2009,CH
145,319,Inorganic reactivity,2010-2011,CH
146,320,Inorganic reactivity,2017-2018,CH
147,321,Inorganic reactivity,2014-2015,CH
148,322,Inorganic reactivity,2011-2012,CH
149,327,Catalysis for energy production,2008-2009,CH
150,328,Catalysis for energy production,2010-2011,CH
151,329,Catalysis for energy production,2012-2013,CH
152,330,Catalysis for energy production,2013-2014,CH
153,331,Catalysis for energy production,2009-2010,CH
154,332,Catalysis for energy production,2011-2012,CH
155,336,Architecture et construction de la ville I,2005-2006,AR
156,337,Architecture et construction de la ville I,2008-2009,AR
157,338,Architecture et construction de la ville I,2019-2020,AR
158,339,Architecture et construction de la ville I,2009-2010,AR
159,340,Architecture et construction de la ville I,2010-2011,AR
160,341,Architecture et construction de la ville I,2016-2017,AR
161,342,Architecture et construction de la ville I,2013-2014,AR
162,343,Architecture et construction de la ville I,2011-2012,AR
163,344,Architecture et construction de la ville I,2018-2019,AR
164,345,Architecture et construction de la ville I,2006-2007,AR
165,346,Architecture et construction de la ville I,2015-2016,AR
