course_name,year,nr_students
Chimie générale,2012-2013,1208
Analyse III,2018-2019,1133
Analyse III,2019-2020,1103
Probabilités et statistique,2013-2014,1015
Chimie générale,2011-2012,995
Chimie générale,2010-2011,986
Analyse IV ,2018-2019,985
Probabilités et statistique,2018-2019,975
Analyse III,2017-2018,961
Analyse III,2013-2014,957
Probabilités et statistique,2012-2013,941
Analyse III,2016-2017,912
Analyse III,2014-2015,895
Chimie générale,2009-2010,890
Analyse IV ,2017-2018,888
Informatique I,2012-2013,871
Analyse IV ,2016-2017,864
Analyse III,2015-2016,853
Chimie générale,2014-2015,843
Probabilités et statistique,2014-2015,838
Analyse III,2012-2013,836
Chimie générale avancée,2013-2014,832
Analyse numérique,2017-2018,825
Chimie générale,2015-2016,820
Probabilités et statistique,2011-2012,814
Analyse numérique,2016-2017,811
Analyse III,2011-2012,793
Analyse IV ,2019-2020,782
Analyse IV ,2013-2014,774
Chimie générale avancée,2016-2017,772
Analyse IV ,2015-2016,771
Probabilités et statistique,2016-2017,767
Algèbre linéaire I,2012-2013,767
Analyse numérique,2015-2016,761
Analyse III,2010-2011,757
Probabilités et statistique,2010-2011,756
Chimie générale avancée,2017-2018,756
Analyse numérique,2013-2014,752
Analyse IV ,2014-2015,751
Chimie générale,2008-2009,741
Analyse IV ,2012-2013,737
Analyse numérique,2014-2015,735
Analyse numérique,2012-2013,730
Programmation II,2015-2016,719
Probabilités et statistique,2015-2016,719
Chimie générale,2013-2014,716
Probabilités et statistique,2017-2018,703
Chimie générale avancée,2015-2016,697
Analyse numérique,2018-2019,695
Géométrie,2012-2013,695
Informatique I,2011-2012,694
Programmation II,2013-2014,692
Mathématiques I,2011-2012,683
Analyse IV ,2011-2012,681
Algèbre linéaire II,2012-2013,677
Analyse numérique,2004-2005,676
Informatique I,2010-2011,673
Informatique I,2009-2010,669
Mathématiques I,2010-2011,662
Chimie générale avancée,2019-2020,656
Chimie générale avancée,2018-2019,652
Analyse numérique,2010-2011,646
Analyse III,2009-2010,643
Physique générale III,2013-2014,637
Analyse III,2005-2006,635
Programmation II,2014-2015,633
Analyse III,2004-2005,624
Informatique I,2008-2009,618
Physique générale III,2014-2015,616
Analyse numérique,2011-2012,607
Analyse numérique,2005-2006,593
Géométrie,2011-2012,592
Analyse III,2008-2009,581
Analyse III,2007-2008,581
Analyse III,2006-2007,578
Probabilités et statistique,2019-2020,578
Chimie générale,2004-2005,577
Physique générale III,2009-2010,575
Physique générale III,2012-2013,573
Chimie générale,2007-2008,573
Programmation II,2017-2018,567
Probabilités et statistique,2009-2010,566
Mathématiques I,2009-2010,566
Chimie générale,2017-2018,564
Chimie générale,2016-2017,562
Physique générale III,2016-2017,558
Analyse numérique,2009-2010,557
Chimie générale,2006-2007,554
Probabilités et statistique,2007-2008,548
Chimie générale avancée,2014-2015,533
Physique générale III,2011-2012,531
Physique générale III,2017-2018,526
Physique générale III,2004-2005,519
Physique générale IV,2016-2017,517
Analyse numérique,2006-2007,514
Informatique I,2007-2008,507
Physique générale III,2010-2011,505
Géométrie,2010-2011,503
Programmation,2015-2016,501
Analyse IV ,2004-2005,497
Physique générale III,2005-2006,493
Analyse numérique,2008-2009,491
Géométrie I,2011-2012,489
Physique générale III,2015-2016,486
Mathématiques I,2012-2013,485
Programmation,2013-2014,485
Chimie générale,2005-2006,482
Probabilités et statistique,2008-2009,478
Géométrie I,2012-2013,477
Physique générale IV,2017-2018,476
Algèbre linéaire I,2011-2012,476
Géométrie I,2013-2014,473
Analyse IV ,2005-2006,473
Analyse numérique,2007-2008,470
Analyse numérique,2019-2020,468
Probabilités et statistique,2006-2007,467
Géométrie,2009-2010,467
Physique générale III,2008-2009,462
Physique générale IV,2013-2014,460
Analyse IV ,2010-2011,455
Programmation,2017-2018,454
Physique générale III,2007-2008,451
Algèbre linéaire II,2011-2012,450
Informatique I,2006-2007,450
Géométrie II,2013-2014,449
Informatique I,2004-2005,448
Géométrie II,2012-2013,439
Informatique I,2005-2006,438
Physique générale IV,2014-2015,437
Géométrie I,2010-2011,432
Physique générale I (anglais),2017-2018,432
Géométrie II,2011-2012,426
Physique générale III,2006-2007,424
Physique générale IV,2004-2005,422
Géométrie I,2009-2010,421
Programmation II,2016-2017,420
Algèbre linéaire I,2010-2011,419
Probabilités et statistique,2004-2005,417
Géométrie,2013-2014,415
Analyse IV ,2006-2007,412
Physique générale IV,2012-2013,412
Programmation,2014-2015,412
Physique générale IV,2015-2016,412
Algèbre linéaire I,2009-2010,403
Analyse IV ,2008-2009,398
Physique générale IV,2011-2012,397
Analyse IV ,2007-2008,393
Algèbre linéaire avancée I,2017-2018,386
Géométrie II,2010-2011,385
Analyse avancée I,2017-2018,385
Programmation,2016-2017,385
Algèbre linéaire II,2010-2011,385
Analyse avancée I,2018-2019,382
Géométrie,2014-2015,382
Algèbre linéaire avancée I,2016-2017,380
Analyse avancée I,2016-2017,380
Géométrie,2005-2006,377
Analyse avancée I,2019-2020,377
Algèbre linéaire avancée I,2018-2019,376
Algèbre linéaire I,2008-2009,372
Programmation orientée objet,2019-2020,372
Analyse IV ,2009-2010,371
Géométrie II,2009-2010,370
Géométrie,2004-2005,370
Physique générale IV,2005-2006,367
Probabilités et statistique,2005-2006,366
Algèbre linéaire avancée I,2019-2020,364
Algèbre linéaire II,2009-2010,361
Géométrie,2015-2016,355
Introduction à la programmation,2019-2020,350
Algèbre linéaire I,2004-2005,350
Programmation orientée objet,2018-2019,348
Géométrie,2006-2007,342
Electronique I,2016-2017,342
Géométrie,2008-2009,342
Théorie de l'architecture I,2011-2012,339
Histoire de l'architecture I,2011-2012,339
Physique du bâtiment I,2011-2012,339
Algèbre linéaire II,2008-2009,336
Mathématiques I,2004-2005,336
Algèbre linéaire II,2004-2005,333
Discrete structures,2014-2015,330
Histoire de l'architecture I,2012-2013,324
Algèbre linéaire I,2005-2006,324
Analyse avancée I,2013-2014,324
Algèbre linéaire avancée I,2013-2014,323
Physique du bâtiment I,2012-2013,323
Analyse I (anglais),2016-2017,322
Théorie de l'architecture I,2012-2013,322
Physique générale IV,2010-2011,320
Algèbre linéaire I,2007-2008,319
Mathématiques I,2013-2014,314
Physique du bâtiment I,2010-2011,314
Théorie de l'architecture I,2010-2011,312
Histoire de l'architecture I,2010-2011,312
Physique du bâtiment I,2013-2014,311
Histoire de l'architecture I,2013-2014,310
Electronique I,2019-2020,310
Théorie de l'architecture I,2013-2014,309
Mathématiques I,2014-2015,305
Histoire de l'architecture I,2014-2015,303
Introduction à l'optimisation et à la recherche opérationnelle,2014-2015,303
Algèbre linéaire avancée I,2015-2016,303
Analyse avancée I,2015-2016,302
Physique du bâtiment I,2014-2015,302
Physique du bâtiment I,2016-2017,302
Théorie de l'architecture I,2014-2015,302
Théorie de l'architecture I,2016-2017,302
Histoire de l'architecture I,2016-2017,301
Mathématiques I,2016-2017,301
Théorie de l'architecture II,2012-2013,300
Discrete structures,2015-2016,298
Algèbre linéaire II,2005-2006,296
Géométrie,2007-2008,295
Physique générale IV,2006-2007,294
Algèbre linéaire I,2006-2007,294
Histoire de l'architecture I,2009-2010,291
Machine learning,2018-2019,291
Physique du bâtiment I,2009-2010,290
Machine learning,2019-2020,290
Théorie de l'architecture II,2013-2014,290
Théorie de l'architecture I,2009-2010,290
Analyse avancée I,2014-2015,289
Algèbre linéaire avancée I,2014-2015,289
Théorie de l'architecture II,2011-2012,288
Electronique I,2015-2016,288
Electronique I,2017-2018,287
Physique générale IV,2009-2010,286
Introduction à la programmation,2018-2019,286
Algèbre linéaire II,2007-2008,285
Discrete structures,2013-2014,285
Chimie biologique I,2008-2009,283
Algèbre linéaire II,2006-2007,282
Chimie biologique I,2004-2005,280
Introduction à la programmation,2014-2015,280
Electronique I,2013-2014,277
Théorie de l'architecture II,2010-2011,276
Physique générale IV,2008-2009,275
Mathématiques I,2015-2016,274
Théorie de l'architecture II,2014-2015,274
Physique du bâtiment I,2015-2016,274
Recherche opérationnelle,2005-2006,273
Electronique I,2004-2005,273
Histoire de l'architecture I,2015-2016,273
Théorie de l'architecture I,2015-2016,273
Electronique I,2018-2019,273
Géométrie pour architectes II,2014-2015,273
"Droit de l'architecte, introduction : contrats et concours",2018-2019,269
Mathématiques I,2008-2009,268
Algorithms,2019-2020,268
Electronique II,2004-2005,267
Electronique I,2011-2012,265
Introduction à la programmation,2016-2017,261
Algorithms,2017-2018,260
Géométrie,2016-2017,260
Physique générale IV,2007-2008,259
Gestion du projet d'architecture,2013-2014,257
Théorie de l'architecture II,2009-2010,256
Introduction à la programmation,2013-2014,256
Géométrie pour architectes II,2015-2016,255
Introduction à la programmation,2017-2018,255
Théorie de l'architecture II,2015-2016,254
Introduction à la programmation,2015-2016,249
Equilibres et réactivité chimiques,2014-2015,249
"Atomes, ions, molécules et fonctions I",2012-2013,249
Physique générale I (anglais),2016-2017,248
Electronique II,2019-2020,248
Algèbre linéaire (anglais),2019-2020,247
"Droit de l'architecte, introduction : contrats et concours",2013-2014,246
Equilibres et réactivité chimiques,2012-2013,245
Discrete structures,2012-2013,245
Chimie biologique I (pour SV),2013-2014,244
Computer networks,2019-2020,243
Pratique de la programmation orientée-objet,2014-2015,241
Physique du bâtiment I,2017-2018,240
Chimie organique (EPFL),2012-2013,240
Algorithms,2016-2017,239
Electronique I,2012-2013,238
Pratique de la programmation orientée-objet,2013-2014,237
Introduction à la programmation,2012-2013,237
Introduction to machine learning (BA3),2018-2019,237
Mathématiques I,2017-2018,236
Géométrie pour architectes II,2016-2017,236
Procédés de production,2018-2019,235
Théorie de l'architecture II,2016-2017,235
Algorithms,2018-2019,235
Theory of computation,2019-2020,233
Electronique I,2014-2015,232
Probabilities and statistics,2019-2020,232
Equilibres et réactivité chimiques,2013-2014,232
Écoulement des fluides,2018-2019,232
Théorie de l'architecture I,2019-2020,231
Algorithms,2015-2016,230
Machine learning,2017-2018,228
Electronique II,2018-2019,227
Computer architecture ,2019-2020,225
Electronique II,2016-2017,225
Recherche opérationnelle,2006-2007,224
Pratique de la programmation orientée-objet,2015-2016,223
Géométrie I,2004-2005,221
Pratique de la programmation orientée-objet,2019-2020,221
Théorie de l'architecture I,2006-2007,220
Histoire de l'architecture I,2006-2007,220
Physique du bâtiment I,2006-2007,220
Algorithmique,2004-2005,220
Functional programming,2019-2020,220
Gestion du projet d'architecture,2014-2015,219
Applied data analysis,2019-2020,218
"Droit de l'architecte, introduction : contrats et concours",2014-2015,218
Histoire de l'architecture I,2017-2018,218
Programmation orientée système,2019-2020,218
Théorie de l'architecture I,2017-2018,217
Probabilities and statistics,2017-2018,216
Equilibres et réactivité chimiques,2011-2012,215
Algorithms,2013-2014,214
Mécanique des structures (pour GM),2018-2019,214
Electronique II,2013-2014,211
Functional programming,2017-2018,211
Bases de la robotique,2016-2017,210
"Atomes, ions, molécules et fonctions I",2011-2012,208
Theory of computation,2017-2018,208
Mécanique des structures (pour GM),2010-2011,208
Circuits and systems II,2017-2018,207
Géométrie II,2004-2005,206
Systèmes mécaniques,2018-2019,206
Chimie biologique I (pour SV),2012-2013,205
Biochimie I,2011-2012,205
Chimie organique (EPFL),2011-2012,205
Algèbre linéaire (anglais),2017-2018,205
Histoire de l'architecture I,2008-2009,204
Physique du bâtiment I,2008-2009,203
Mécanique des structures (pour GM),2019-2020,203
Biologie cellulaire et moléculaire I,2012-2013,202
Mécanique des structures (pour GM),2016-2017,202
Histoire de l'architecture I,2018-2019,202
Théorie de l'architecture I,2008-2009,201
Théorie de l'architecture I,2018-2019,201
"Atomes, ions, molécules et fonctions II",2011-2012,200
Introduction à la biologie cellulaire,2011-2012,200
Algèbre linéaire (anglais),2016-2017,200
Computer architecture ,2017-2018,200
Programmation orientée système,2017-2018,199
"Atomes, ions, molécules et fonctions I",2009-2010,199
Equilibres et réactivité chimiques,2010-2011,199
Computer networks,2017-2018,199
"Atomes, ions, molécules et fonctions I",2010-2011,198
"Atomes, ions, molécules et fonctions II",2012-2013,198
Functional programming,2018-2019,197
Electronique II,2005-2006,197
Computer architecture ,2016-2017,196
Electronique I,2005-2006,196
Théorie de l'architecture II,2006-2007,196
Equilibres et réactivité chimiques,2009-2010,195
Algèbre linéaire (anglais),2015-2016,195
TCP/IP networking,2004-2005,195
Discrete structures,2011-2012,195
Electronique II,2015-2016,194
Dynamical systems,2018-2019,194
Electronique II,2017-2018,194
Applied data analysis,2017-2018,194
Chimie organique (EPFL),2010-2011,193
Introduction à l'optimisation et à la recherche opérationnelle,2018-2019,193
Circuits et systèmes I,2017-2018,192
Algorithms,2014-2015,192
Chimie biologique I,2007-2008,192
Fonctions et réactions organiques I,2014-2015,191
Mécanique des structures (pour GM),2017-2018,191
Electronique I,2010-2011,191
Pratique de la programmation orientée-objet,2018-2019,190
Introduction à la programmation,2011-2012,190
Introduction à l'optimisation et à la recherche opérationnelle,2015-2016,190
Signals and systems (for EL&IC),2019-2020,190
Circuits et systèmes I,2016-2017,190
Continuum mechanics,2018-2019,190
Electronique II,2012-2013,189
Parallelism and concurrency,2017-2018,189
Chimie biologique I,2006-2007,188
Biologie II,2013-2014,188
Applied data analysis,2018-2019,187
Procédés de production,2016-2017,187
Chimie biologique I (pour SV),2015-2016,186
Circuits and systems II,2016-2017,186
Biologie II,2015-2016,186
Automatique I,2010-2011,186
"Atomes, ions, molécules et fonctions I",2008-2009,185
Fonctions et réactions organiques I,2013-2014,185
Discrete structures,2010-2011,185
Circuits et systèmes I,2018-2019,184
Equilibres et réactivité chimiques,2008-2009,184
Probabilities and statistics,2016-2017,184
TP en salle blanche,2005-2006,184
Programmation orientée système,2018-2019,184
Automatique I,2005-2006,183
Introduction to optimization and operations research,2019-2020,183
Introduction à l'optimisation et à la recherche opérationnelle,2017-2018,183
Computer networks,2016-2017,183
Introduction à l'informatique visuelle,2019-2020,182
Theory of computation,2016-2017,182
Circuits and systems II,2018-2019,182
Functional programming,2016-2017,181
Theory of computation,2018-2019,181
Pattern classification and machine learning,2016-2017,181
Géométrie I,2016-2017,180
Computer architecture ,2018-2019,180
Théorie de l'architecture II,2008-2009,179
Théorie de l'architecture III,2015-2016,179
Systèmes dynamiques,2016-2017,178
Chimie organique (EPFL),2009-2010,178
Computer networks,2018-2019,178
Chimie générale,2019-2020,178
Biologie cellulaire et moléculaire I,2011-2012,177
Systèmes mécaniques,2017-2018,177
Image processing I,2019-2020,177
Algèbre linéaire (anglais),2018-2019,176
Chimie biologique I (pour SV),2011-2012,176
Continuum mechanics,2019-2020,176
Fluid mechanics for SV,2016-2017,176
Theory of computation,2015-2016,175
Continuum mechanics,2017-2018,175
Computer networks,2015-2016,175
Dynamical systems,2019-2020,175
Parallelism and concurrency,2019-2020,174
Computer networks,2013-2014,174
Théorie de l'architecture III,2017-2018,174
Functional programming,2015-2016,173
Procédés de production,2019-2020,173
Architecture des ordinateurs,2015-2016,173
De la structure à l'ornement,2016-2017,172
Algorithms,2012-2013,172
Procédés de production,2017-2018,172
Dynamical systems,2017-2018,171
Programmation orientée système,2015-2016,170
De la structure à l'ornement,2018-2019,170
Programmation orientée système,2016-2017,170
Biologie II,2012-2013,170
Écoulement des fluides,2019-2020,170
Histoire de l'architecture I,2007-2008,170
Algorithms,2011-2012,170
Chimie organique (EPFL),2008-2009,170
Mécanique des structures (pour GM),2009-2010,169
Electronique II,2011-2012,168
Microcontrôleurs,2019-2020,168
Chimie biologique I,2005-2006,168
Electronique II,2014-2015,167
Optimisation discrète,2012-2013,167
Théorie de l'architecture III,2014-2015,167
Physique du bâtiment I,2007-2008,167
Automatique I,2011-2012,167
Théorie de l'architecture I,2007-2008,167
Electronique I,2008-2009,166
Systèmes mécaniques,2019-2020,166
Géométrie pour architectes II,2017-2018,166
Systèmes mécaniques,2016-2017,165
Théorie de l'architecture I,2005-2006,165
Physique du bâtiment I,2005-2006,165
Histoire de l'architecture I,2005-2006,165
Electronique I,2009-2010,165
Introduction à l'optimisation et à la recherche opérationnelle,2016-2017,164
Chimie biologique I (pour SV),2014-2015,164
Automatique I,2009-2010,163
Concurrence,2005-2006,163
Biologie II,2014-2015,163
Computer security,2018-2019,163
Superstudio,2019-2020,162
Écoulement des fluides,2017-2018,162
Automatique I,2006-2007,162
Bases de la robotique,2017-2018,162
Théorie de l'architecture III,2013-2014,161
Eléments constructifs et matériaux VII,2007-2008,160
Géométrie I,2019-2020,160
Mécanique des structures (pour GC),2013-2014,160
Projet programmation système,2015-2016,160
Analyse I (anglais),2015-2016,160
Programmation orientée système,2013-2014,160
Écoulement des fluides,2016-2017,160
Mécanique des milieux continus,2016-2017,159
Chimie biologique I (pour SV),2010-2011,159
Biologie cellulaire et moléculaire I,2010-2011,159
Théorie de l'architecture III,2012-2013,158
Biochimie I,2010-2011,158
Programmation orientée système,2014-2015,158
Economie du logement,2012-2013,158
Conversion électromécanique I,2018-2019,158
Géométrie I,2018-2019,157
Théorie de l'architecture III,2016-2017,156
Recherche opérationnelle,2013-2014,156
Microcontrôleurs,2018-2019,156
Superstudio,2017-2018,156
Automatique I,2008-2009,156
Matériaux microtechniques : polymères et céramiques,2018-2019,156
Mécanique des structures (pour GM),2015-2016,155
Théorie de l'architecture II,2017-2018,155
Mémoire STS,2004-2005,155
Automatique II + TP,2005-2006,154
Physique du bâtiment I,2004-2005,154
