course_name,year,nr_students
Introduction à la biologie cellulaire,2010-2011,154
Histoire de l'architecture I,2004-2005,154
"Atomes, ions, molécules et fonctions II",2010-2011,154
Physique générale I (anglais),2014-2015,154
Théorie de l'architecture I,2004-2005,154
Chimie des surfaces,2018-2019,154
De la structure à l'ornement,2017-2018,154
Introduction à l'informatique visuelle,2016-2017,154
Programmation III,2004-2005,153
Automatique I,2004-2005,153
Pratique de la programmation orientée-objet,2017-2018,153
Biologie II,2011-2012,153
Commande numérique des systèmes dynamiques,2018-2019,153
Architecture des ordinateurs,2014-2015,152
Numerical analysis,2014-2015,152
Pratique de la programmation orientée-objet,2016-2017,152
"Droit de l'architecte, introduction : contrats et concours",2019-2020,151
"Atomes, ions, molécules et fonctions II",2008-2009,151
Structures en métal,2013-2014,151
Recherche opérationnelle,2007-2008,151
Théorie de l'architecture II,2005-2006,151
Géométrie pour architectes II,2019-2020,151
Introduction to machine learning (BA3),2019-2020,151
Information security and privacy,2018-2019,151
Computer networks,2014-2015,151
Réseaux informatiques,2011-2012,150
Géométrie I,2017-2018,150
Procédés de production,2015-2016,150
Distributed information systems,2004-2005,150
De la structure à l'ornement: une histoire culturelle de la construction,2013-2014,150
Théorie de l'architecture II,2007-2008,150
Parallelism and concurrency,2018-2019,150
De la structure à l'ornement,2014-2015,150
Electronique II,2010-2011,150
Théorie de l'architecture II,2019-2020,150
Circuits et systèmes I,2015-2016,149
Mécanique des sols et écoulements souterrains,2013-2014,149
Capteurs,2017-2018,149
Statique II,2013-2014,149
Conversion électromécanique I,2016-2017,148
Introduction à l'optimisation différentiable,2013-2014,148
Computer graphics,2005-2006,147
Biologie moléculaire I,2009-2010,147
Sciences du vivant,2004-2005,147
Géométrie I,2015-2016,147
Electronique I,2007-2008,147
Microcontrôleurs,2016-2017,147
Computer networks,2005-2006,146
Matériaux microtechniques : polymères et céramiques,2016-2017,146
Chimie des surfaces,2016-2017,146
Introduction à l'optimisation différentiable,2012-2013,146
Functional programming,2014-2015,146
Circuits et systèmes I,2014-2015,146
Theory of computation,2014-2015,145
Deep learning,2019-2020,145
Concurrence,2013-2014,145
Mécanique des structures II,2013-2014,144
Systèmes dynamiques,2015-2016,144
"Atomes, ions, molécules et fonctions II",2009-2010,144
Bases de la robotique,2019-2020,144
Théorie de l'architecture III,2011-2012,144
Bases de la robotique,2018-2019,144
Introduction à l'informatique visuelle,2015-2016,143
Heat and mass transfer,2019-2020,143
"Droit de l'architecte, introduction : contrats et concours",2015-2016,143
Mécanique des fluides (pour GC),2013-2014,143
Distributed algorithms,2016-2017,143
Systèmes dynamiques,2013-2014,142
Chimie biologique I (pour SV),2009-2010,142
Discrete optimization,2013-2014,142
Ouvrages et aménagements hydrauliques,2014-2015,142
Introduction à l'informatique visuelle,2014-2015,142
Electronique II,2007-2008,142
Théorie de l'architecture II,2004-2005,141
Dynamiques spatiales et acteurs du territoire,2011-2012,141
Computer security,2019-2020,141
Chimie biologique I,2009-2010,141
Procédés de production,2013-2014,141
Théorie de l'architecture III,2010-2011,141
Introduction à l'informatique visuelle,2017-2018,141
Thermodynamique et énergétique I,2013-2014,141
Géométrie I,2014-2015,141
Distributed algorithms,2012-2013,140
Parallelism and concurrency,2015-2016,140
Écoulement des fluides,2013-2014,140
Automatique I,2007-2008,140
Géométrie pour architectes II,2018-2019,140
Mécanique des milieux continus,2013-2014,140
Biologie moléculaire I,2008-2009,140
Gestion du projet d'architecture I,2008-2009,140
Distributed information systems,2015-2016,140
Sécurité et fiabilité,2013-2014,139
Parallelism and concurrency,2016-2017,139
Distributed algorithms,2017-2018,139
Chimie des surfaces,2017-2018,139
Mécanique des structures (pour GM),2014-2015,139
Mécanique des structures (pour GM),2008-2009,139
Concurrency,2014-2015,139
Analyse I (anglais),2019-2020,138
Programmation avancée,2011-2012,138
Histoire de l'architecture VII,2008-2009,138
Conversion électromécanique I,2017-2018,138
Mécanique vibratoire,2019-2020,137
Systèmes mécaniques,2015-2016,137
Management de projet et analyse du risque,2016-2017,137
Commande numérique des systèmes dynamiques,2017-2018,137
Fluid mechanics for SV,2018-2019,137
Cellular and molecular biology I,2018-2019,137
Mécanique des milieux continus,2015-2016,137
Procédés de production,2014-2015,137
A history of abstraction in architecture,2019-2020,136
Matériaux microtechniques : polymères et céramiques,2017-2018,136
Géométrie II,2015-2016,136
Systèmes dynamiques,2014-2015,136
Circuits et systèmes I,2013-2014,136
Astrophysique I : introduction à l'astrophysique,2018-2019,136
Systèmes mécaniques,2013-2014,135
Computer networks,2012-2013,135
Electronique II,2008-2009,135
Image processing I,2017-2018,135
Mécanique des structures (pour GC),2012-2013,135
Equilibres et réactivité chimiques,2015-2016,135
Introduction to database systems,2018-2019,135
Informatique théorique,2011-2012,135
Sécurité des réseaux,2015-2016,135
Chimie TP I,2008-2009,135
Théorie de l'architecture II,2018-2019,135
Economie du logement,2011-2012,135
Recherche opérationnelle,2012-2013,134
Circuits et systèmes électroniques I,2019-2020,134
Theory of computation,2013-2014,134
Théorie de l'architecture V,2004-2005,134
Mécanique des milieux continus,2014-2015,134
Physique générale I (anglais),2015-2016,134
Physique générale I (anglais),2013-2014,134
Applied biostatistics,2019-2020,134
Microcontrôleurs,2017-2018,134
Introduction à la biologie cellulaire,2008-2009,134
Statique II,2012-2013,134
Pattern classification and machine learning,2015-2016,133
Initiation à l'électronique,2018-2019,133
Mathématiques discrètes,2005-2006,133
Circuits et systèmes électroniques I,2017-2018,133
Modélisation et représentation informatique I,2016-2017,133
Écoulement des fluides,2015-2016,133
Structures en métal,2012-2013,133
Gestion du projet d'architecture,2015-2016,133
Solid mechanics,2019-2020,132
De la structure à l'ornement,2019-2020,132
Théorie de l'architecture V,2005-2006,132
Analyse structurale,2010-2011,132
Programmation,2006-2007,132
"Droit de l'architecte, introduction : contrats et concours",2016-2017,132
Systèmes multivariables,2016-2017,132
Structures V,2005-2006,132
Chimie organique (EPFL),2007-2008,132
Image processing I,2018-2019,131
Numerical analysis,2013-2014,131
Commande numérique des systèmes dynamiques,2019-2020,131
Circuits et systèmes I,2012-2013,131
Recherche opérationnelle,2004-2005,131
Mécanique analytique (pour SPH),2018-2019,131
Management de projet et analyse du risque,2018-2019,131
Mécanique des sols et écoulements souterrains,2012-2013,131
Analyse I (anglais),2017-2018,131
Electromagnétisme II : calcul des champs,2004-2005,131
Electromagnétisme I : lignes et ondes,2004-2005,131
Théorie de l'architecture V,2013-2014,131
Eléments constructifs et matériaux V,2005-2006,130
Sécurité des réseaux,2016-2017,130
Superstudio,2018-2019,130
Probabilities and statistics I,2018-2019,130
Distributed algorithms,2015-2016,129
Circuits et systèmes électroniques I,2018-2019,129
Introduction à la biologie cellulaire,2009-2010,129
Algorithms,2010-2011,129
Electronique,2019-2020,129
Gestion du projet d'architecture,2016-2017,129
Machines électriques (pour GM),2019-2020,129
Mécanique des fluides (pour GC),2012-2013,129
Théorie de l'architecture VII,2018-2019,129
Théorie de l'architecture VII,2016-2017,129
Architecture des systems-on-chip,2019-2020,129
Gestion du projet d'architecture I,2010-2011,129
Mathematical methods for physicists,2018-2019,129
Biologie II,2017-2018,129
Chimie organique (EPFL),2004-2005,128
Biological chemistry I,2018-2019,128
Biological chemistry II,2018-2019,128
Physique numérique I,2018-2019,128
Biologie cellulaire et moléculaire II,2018-2019,128
Méthode des éléments finis,2019-2020,128
Automatique + TP,2018-2019,128
Magma et principes,2017-2018,128
Physique numérique II,2018-2019,128
Écoulement des fluides,2014-2015,128
Théorie de l'architecture VI,2004-2005,128
Mobile networks,2004-2005,128
Géométrie II,2014-2015,128
Projets en informatique (pour SV),2018-2019,128
Physique IV,2018-2019,128
Fonctions et réactions organiques I,2015-2016,128
Introduction à l'informatique visuelle,2018-2019,128
Control systems + TP,2019-2020,128
Automatique II + TP,2008-2009,127
Automatique II + TP,2006-2007,127
Distributed algorithms,2014-2015,127
Conversion électromécanique I,2015-2016,127
Incompressible fluid mechanics,2018-2019,127
Algèbre linéaire (anglais),2014-2015,127
Incompressible fluid mechanics,2019-2020,127
Distributed information systems,2016-2017,127
Automatique + TP,2019-2020,127
Analyse structurale,2012-2013,127
Histoire de l'architecture V,2005-2006,127
Ouvrages et aménagements hydrauliques,2013-2014,127
Optimisation I,2006-2007,126
Biological chemistry II (for SV),2014-2015,126
Théorie de l'architecture VI,2013-2014,126
Systèmes mécaniques,2014-2015,126
Algorithmique,2005-2006,126
Analyse I (anglais),2018-2019,126
Geomechanics,2015-2016,126
Projet programmation système,2019-2020,126
Numerical analysis,2011-2012,126
Concurrence,2012-2013,126
Physique du bâtiment V,2005-2006,126
Dynamique des systèmes mécaniques,2019-2020,126
Sécurité des réseaux,2014-2015,125
TCP/IP networking,2016-2017,125
Applied data analysis,2016-2017,125
Biological chemistry II,2005-2006,125
Programmation avancée,2012-2013,125
Magma et principes,2018-2019,125
Introduction to database systems,2015-2016,124
Superstudio,2015-2016,124
Analyse structurale,2013-2014,124
Control systems + TP,2018-2019,124
Mechanical design principles,2019-2020,124
Difficult Double: Trouble with Classicists,2018-2019,124
Conversion électromécanique I,2004-2005,124
Magma et principes,2013-2014,124
Chimie des surfaces,2004-2005,124
Automatique + TP,2017-2018,124
Théorie de l'architecture VI,2005-2006,124
Théorie de l'architecture V,2016-2017,124
De la structure à l'ornement,2015-2016,124
Histoire de l'architecture VI,2005-2006,124
Théorie de l'architecture VII,2017-2018,123
Théorie de l'architecture III,2009-2010,123
Histoire de l'architecture V,2013-2014,123
TP en salle blanche,2009-2010,123
Gestion du projet d'architecture,2019-2020,123
Chimie des surfaces,2015-2016,123
Ouvrages et aménagements hydrauliques,2011-2012,123
Théorie de l'architecture III,2007-2008,123
Histoire de l'architecture VI,2013-2014,123
Microcontrôleurs,2015-2016,123
Circuits et systèmes électroniques I,2005-2006,123
Circuits and systems II,2015-2016,123
Théorie de l'architecture VII,2012-2013,122
Physiologie par systèmes I,2015-2016,122
Matériaux microtechniques : polymères et céramiques,2015-2016,122
Discrete structures,2009-2010,122
Structures VI,2005-2006,122
Sécurité et fiabilité,2012-2013,122
Eléments constructifs et matériaux VI,2005-2006,121
Automatique II + TP,2004-2005,121
Numerical methods for visual computing,2016-2017,121
"Droit de l'architecte I, introduction : contrats et concours",2010-2011,121
Physique du bâtiment V,2013-2014,121
Biologie cellulaire et moléculaire I,2014-2015,121
Programmation orientée système,2012-2013,121
Intelligence artificielle,2005-2006,121
Projets en informatique (pour SV),2014-2015,121
Biochimie I,2016-2017,121
Structures V,2004-2005,120
