,course_name,year,semester,nr_students
237,Advanced composites in engineering structures,2011-2012,Master semestre 1,14
238,Advanced composites in engineering structures,2012-2013,Master semestre 1,36
239,Advanced composites in engineering structures,2013-2014,Master semestre 1,36
240,Advanced composites in engineering structures,2014-2015,Master semestre 1,20
241,Advanced composites in engineering structures,2015-2016,Master semestre 1,18
242,Advanced composites in engineering structures,2016-2017,Master semestre 1,34
243,Advanced composites in engineering structures,2017-2018,Master semestre 1,14
244,Advanced composites in engineering structures,2018-2019,Master semestre 1,31
245,Advanced composites in engineering structures,2019-2020,Master semestre 1,19
246,Advanced computer architecture,2004-2005,Bachelor semestre 6,22
247,Advanced computer architecture,2004-2005,Master semestre 2,9
248,Advanced computer architecture,2005-2006,Master semestre 2,5
249,Advanced computer architecture,2005-2006,Master semestre 4,17
250,Advanced computer architecture,2006-2007,Master semestre 2,15
251,Advanced computer architecture,2007-2008,Master semestre 2,37
252,Advanced computer architecture,2008-2009,Master semestre 2,18
253,Advanced computer architecture,2008-2009,Master semestre 4,1
254,Advanced computer architecture,2010-2011,Master semestre 2,21
255,Advanced computer architecture,2011-2012,Master semestre 2,35
256,Advanced computer architecture,2011-2012,Master semestre 4,3
257,Advanced computer architecture,2011-2012,Semestre printemps,1
258,Advanced computer architecture,2012-2013,Master semestre 2,25
259,Advanced computer architecture,2013-2014,Master semestre 2,21
260,Advanced computer architecture,2014-2015,Master semestre 2,29
261,Advanced computer architecture,2014-2015,Semestre printemps,1
262,Advanced computer architecture,2015-2016,Master semestre 2,30
263,Advanced computer architecture,2016-2017,Master semestre 2,46
264,Advanced computer architecture,2016-2017,Semestre printemps,1
265,Advanced computer architecture,2017-2018,Master semestre 2,34
266,Advanced computer architecture,2018-2019,Master semestre 2,35
267,Advanced computer architecture,2019-2020,Master semestre 2,47
268,Advanced computer architecture,2019-2020,Master semestre 4,3
269,Advanced computer graphics,2004-2005,Bachelor semestre 6,11
270,Advanced computer graphics,2004-2005,Master semestre 2,16
271,Advanced computer graphics,2005-2006,Master semestre 2,4
272,Advanced computer graphics,2005-2006,Master semestre 4,38
273,Advanced computer graphics,2006-2007,Master semestre 2,34
274,Advanced computer graphics,2007-2008,Master semestre 2,18
275,Advanced computer graphics,2008-2009,Master semestre 2,10
276,Advanced computer graphics,2008-2009,Master semestre 4,1
277,Advanced computer graphics,2009-2010,Master semestre 2,15
278,Advanced computer graphics,2010-2011,Master semestre 2,25
279,Advanced computer graphics,2010-2011,Master semestre 4,2
280,Advanced computer graphics,2011-2012,Master semestre 2,21
281,Advanced computer graphics,2011-2012,Master semestre 4,4
282,Advanced computer graphics,2013-2014,Master semestre 1,39
283,Advanced computer graphics,2013-2014,Master semestre 3,3
284,Advanced computer graphics,2014-2015,Master semestre 1,38
285,Advanced computer graphics,2015-2016,Master semestre 1,61
286,Advanced computer graphics,2016-2017,Master semestre 2,29
287,Advanced computer graphics,2017-2018,Master semestre 2,41
288,Advanced computer graphics,2017-2018,Semestre printemps,1
289,Advanced computer graphics,2018-2019,Master semestre 2,32
290,Advanced computer graphics,2019-2020,Master semestre 2,34
291,Advanced computer networks and distributed systems,2006-2007,Master semestre 1,26
292,Advanced computer networks and distributed systems,2007-2008,Master semestre 1,22
293,Advanced computer networks and distributed systems,2007-2008,Master semestre 3,1
294,Advanced computer networks and distributed systems,2008-2009,Master semestre 1,10
295,Advanced computer networks and distributed systems,2008-2009,Master semestre 3,1
296,Advanced computer networks and distributed systems,2011-2012,Master semestre 1,33
297,Advanced computer networks and distributed systems,2011-2012,Master semestre 3,3
298,Advanced computer networks and distributed systems,2012-2013,Master semestre 1,45
299,Advanced control systems,2012-2013,Master semestre 2,52
300,Advanced control systems,2013-2014,Master semestre 2,13
301,Advanced control systems,2013-2014,Master semestre 4,19
302,Advanced control systems,2014-2015,Master semestre 2,46
303,Advanced control systems,2015-2016,Master semestre 2,42
304,Advanced control systems,2016-2017,Master semestre 2,57
305,Advanced control systems,2017-2018,Master semestre 2,47
306,Advanced control systems,2018-2019,Master semestre 2,41
307,Advanced control systems,2019-2020,Master semestre 2,38
308,Advanced courses in immunology and microbiology,2006-2007,Master semestre 1,2
309,Advanced courses in immunology and microbiology,2007-2008,Master semestre 1,2
310,Advanced courses in immunology and microbiology,2008-2009,Master semestre 1,1
311,Advanced courses in immunology and microbiology,2009-2010,Master semestre 1,4
312,Advanced cryptography,2005-2006,edoc,1
313,Advanced cryptography,2006-2007,Master semestre 2,10
314,Advanced cryptography,2008-2009,Master semestre 4,3
315,Advanced cryptography,2009-2010,Master semestre 2,6
316,Advanced cryptography,2010-2011,Master semestre 4,9
317,Advanced cryptography,2011-2012,Master semestre 4,3
318,Advanced cryptography,2012-2013,Master semestre 2,4
319,Advanced cryptography,2013-2014,Master semestre 4,2
320,Advanced cryptography,2014-2015,Master semestre 2,6
321,Advanced cryptography,2015-2016,Master semestre 2,4
322,Advanced cryptography,2016-2017,Master semestre 2,1
323,Advanced cryptography,2017-2018,Master semestre 2,2
324,Advanced cryptography,2019-2020,Master semestre 2,1
325,Advanced cryptography,2019-2020,Master semestre 4,4
326,Advanced databases,2004-2005,Bachelor semestre 5,6
327,Advanced databases,2004-2005,Master semestre 1,16
328,Advanced databases,2004-2005,Master semestre 3,12
329,Advanced databases,2005-2006,Master semestre 1,9
330,Advanced databases,2005-2006,Master semestre 3,54
331,Advanced databases,2006-2007,Master semestre 1,29
332,Advanced databases,2007-2008,Master semestre 1,11
333,Advanced databases,2008-2009,Master semestre 1,20
334,Advanced databases,2008-2009,Master semestre 3,3
335,Advanced databases,2009-2010,Master semestre 1,17
336,Advanced databases,2010-2011,Master semestre 2,63
337,Advanced databases,2010-2011,Master semestre 4,2
338,Advanced databases,2011-2012,Master semestre 2,58
339,Advanced databases,2011-2012,Master semestre 4,1
340,Advanced databases,2012-2013,Master semestre 2,65
341,Advanced databases,2012-2013,edoc,12
342,Advanced derivatives,2009-2010,Master semestre 1,8
343,Advanced derivatives,2010-2011,Master semestre 1,17
344,Advanced derivatives,2011-2012,Master semestre 1,18
345,Advanced derivatives,2012-2013,Master semestre 1,22
346,Advanced derivatives,2013-2014,Master semestre 1,24
347,Advanced derivatives,2014-2015,Master semestre 1,33
348,Advanced derivatives,2015-2016,Master semestre 1,28
349,Advanced derivatives,2016-2017,Master semestre 1,24
350,Advanced derivatives,2017-2018,Master semestre 1,23
351,Advanced derivatives,2018-2019,Master semestre 1,23
352,Advanced derivatives,2019-2020,Master semestre 1,38
353,Advanced design automation,2005-2006,edoc,4
354,Advanced design automation,2006-2007,edoc,2
355,Advanced design automation,2007-2008,edoc,1
356,Advanced design of concrete structures,2017-2018,Master semestre 2,38
357,Advanced design of concrete structures,2018-2019,Master semestre 2,24
358,Advanced design of concrete structures,2019-2020,Master semestre 2,28
359,Advanced diffusional processes,2019-2020,Master semestre 1,14
360,Advanced diffusional separation processes,2005-2006,Master semestre 1,15
361,Advanced diffusional separation processes,2006-2007,Master semestre 1,4
362,Advanced diffusional separation processes,2007-2008,Master semestre 2,1
363,Advanced diffusional separation processes,2008-2009,Master semestre 2,4
364,Advanced diffusional separation processes,2009-2010,Master semestre 2,7
365,Advanced diffusional separation processes,2010-2011,Master semestre 2,6
366,Advanced diffusional separation processes,2011-2012,Master semestre 2,8
367,Advanced diffusional separation processes,2012-2013,Master semestre 2,14
368,Advanced diffusional separation processes,2013-2014,Master semestre 4,17
369,Advanced diffusional separation processes,2014-2015,Master semestre 2,13
370,Advanced diffusional separation processes,2015-2016,Master semestre 2,14
371,Advanced diffusional separation processes,2016-2017,Master semestre 1,16
372,Advanced diffusional separation processes,2017-2018,Master semestre 1,18
373,Advanced diffusional separation processes,2018-2019,Master semestre 1,13
374,Advanced digital communications,2004-2005,Master semestre 1,22
375,Advanced digital communications,2004-2005,Master semestre 3,9
376,Advanced digital communications,2005-2006,Master semestre 1,20
377,Advanced digital communications,2006-2007,Master semestre 1,11
378,Advanced digital communications,2007-2008,Master semestre 3,9
379,Advanced digital communications,2008-2009,Master semestre 3,10
380,Advanced digital communications,2009-2010,Master semestre 1,22
381,Advanced digital communications,2010-2011,Master semestre 3,31
382,Advanced digital communications,2011-2012,Master semestre 3,12
383,Advanced digital communications,2012-2013,Master semestre 1,21
384,Advanced digital communications,2013-2014,Master semestre 3,17
385,Advanced digital communications,2014-2015,Master semestre 1,16
386,Advanced digital communications,2015-2016,Master semestre 1,22
387,Advanced digital communications,2016-2017,Master semestre 1,5
388,Advanced digital design,2004-2005,Bachelor semestre 6,8
389,Advanced digital design,2004-2005,Master semestre 2,11
390,Advanced digital design,2005-2006,Master semestre 2,2
391,Advanced digital design,2005-2006,Master semestre 4,19
392,Advanced digital design,2006-2007,Master semestre 2,23
393,Advanced digital image processing and analysis,2004-2005,Master semestre 3,1
394,Advanced digital image processing and analysis,2005-2006,edoc,11
395,Advanced digital image processing and analysis,2006-2007,edoc,4
396,Advanced digital image processing and analysis,2007-2008,edoc,4
397,Advanced discrete mathematics,2012-2013,Bachelor semestre 6,18
398,Advanced discrete mathematics,2012-2013,Master semestre 2,1
399,Advanced energetics,2009-2010,Master semestre 1,14
400,Advanced energetics,2010-2011,Master semestre 1,22
401,Advanced energetics,2010-2011,Semestre automne,4
402,Advanced energetics,2011-2012,Master semestre 1,42
403,Advanced energetics,2011-2012,Semestre automne,1
404,Advanced energetics,2012-2013,Master semestre 1,51
405,Advanced energetics,2012-2013,Master semestre 3,2
406,Advanced energetics,2013-2014,Master semestre 1,35
407,Advanced energetics,2013-2014,Master semestre 3,1
408,Advanced energetics,2013-2014,Semestre automne,4
409,Advanced energetics,2014-2015,Master semestre 1,37
410,Advanced energetics,2014-2015,Semestre automne,2
411,Advanced energetics,2015-2016,Master semestre 1,45
412,Advanced energetics,2016-2017,Master semestre 1,36
413,Advanced energetics,2017-2018,Master semestre 1,30
414,Advanced energetics,2018-2019,Master semestre 1,29
415,Advanced energetics,2019-2020,Master semestre 1,27
416,Advanced energetics and engines,2008-2009,Master semestre 1,19
417,Advanced energy conversion technologies,2008-2009,Master semestre 2,13
418,Advanced heat transfer,2014-2015,Master semestre 2,19
419,Advanced heat transfer,2015-2016,Master semestre 2,22
420,Advanced heat transfer,2016-2017,Master semestre 2,18
421,Advanced heat transfer,2017-2018,Master semestre 2,21
422,Advanced heat transfer,2018-2019,Master semestre 2,18
423,Advanced heat transfer,2019-2020,Master semestre 2,24
424,Advanced logic synthesis and quantum computing,2018-2019,edoc,4
425,Advanced logic synthesis and quantum computing,2019-2020,edoc,2
426,Advanced machine learning,2015-2016,Master semestre 2,12
427,Advanced machine learning,2016-2017,Master semestre 2,13
428,Advanced machine learning,2017-2018,Master semestre 2,24
429,Advanced machine learning,2019-2020,Master semestre 2,15
430,Advanced materials for photovoltaics and lighting,2014-2015,Master semestre 2,6
431,Advanced materials for photovoltaics and lighting,2015-2016,Master semestre 2,3
432,Advanced materials for photovoltaics and lighting,2016-2017,Master semestre 2,4
433,Advanced materials for photovoltaics and lighting,2017-2018,Master semestre 2,2
434,Advanced materials for photovoltaics and lighting,2018-2019,Master semestre 2,5
435,Advanced materials for photovoltaics and lighting,2019-2020,Master semestre 2,5
436,Advanced materials for photovoltaics and lighting applications,2010-2011,Master semestre 2,3
437,Advanced materials for photovoltaics and lighting applications,2011-2012,Master semestre 2,1
438,Advanced materials for photovoltaics and lighting applications,2012-2013,Master semestre 2,2
439,Advanced materials for photovoltaics and lighting applications,2013-2014,Master semestre 2,1
440,Advanced metallurgy,2016-2017,Master semestre 1,61
441,Advanced metallurgy,2017-2018,Master semestre 1,43
442,Advanced metallurgy,2018-2019,Master semestre 1,49
443,Advanced metallurgy,2019-2020,Master semestre 1,34
444,Advanced methods in computational solid mechanics,2011-2012,Master semestre 1,17
445,Advanced methods in computational solid mechanics,2013-2014,Master semestre 1,23
446,Advanced methods in computational solid mechanics,2013-2014,edoc,2
447,Advanced methods in computational solid mechanics,2015-2016,Master semestre 1,8
448,Advanced methods in computational solid mechanics,2017-2018,Master semestre 1,24
449,Advanced microwaves for wireless communications,2010-2011,edoc,4
450,Advanced microwaves for wireless communications,2012-2013,edoc,5
451,Advanced microwaves for wireless communications,2018-2019,edoc,3
452,Advanced multiprocessor architecture,2008-2009,Master semestre 1,9
453,Advanced multiprocessor architecture,2009-2010,Master semestre 1,11
454,Advanced multiprocessor architecture,2010-2011,Master semestre 1,4
455,Advanced multiprocessor architecture,2011-2012,Master semestre 1,7
456,Advanced multiprocessor architecture,2012-2013,Master semestre 1,5
457,Advanced multiprocessor architecture,2013-2014,Master semestre 1,8
458,Advanced multiprocessor architecture,2015-2016,Master semestre 1,21
459,Advanced multiprocessor architecture,2015-2016,edoc,2
460,Advanced multiprocessor architecture,2017-2018,Master semestre 1,16
461,Advanced multiprocessor architecture,2017-2018,edoc,3
462,Advanced multiprocessor architecture,2019-2020,Master semestre 1,8
463,Advanced multiprocessor architecture,2019-2020,edoc,2
464,Advanced nanomaterials,2009-2010,Master semestre 1,16
465,Advanced nanomaterials,2010-2011,Master semestre 1,18
466,Advanced nanomaterials,2011-2012,Master semestre 1,30
467,Advanced nanomaterials,2011-2012,Semestre automne,1
468,Advanced nanomaterials,2012-2013,Master semestre 1,31
469,Advanced nanomaterials,2012-2013,Semestre automne,1
