,course_name,year,semester,nr_students
0, Numerical approximation of PDE's II,2012-2013,Master semestre 2,7
1, Numerical approximation of PDE's II,2013-2014,Master semestre 2,4
2, Numerical approximation of PDE's II,2013-2014,Master semestre 4,1
3, Numerical approximation of PDE's II,2014-2015,Master semestre 2,4
4, Numerical approximation of PDE's II,2015-2016,Master semestre 2,11
5, Numerical approximation of PDE's II,2016-2017,Master semestre 2,13
6, Numerical approximation of PDE's II,2017-2018,Master semestre 4,2
7, Numerical approximation of PDE's II,2018-2019,Master semestre 1,1
8,3D Electron Microscopy and FIB-Nanotomography,2008-2009,edoc,24
9,3D Electron Microscopy and FIB-Nanotomography,2009-2010,edoc,7
10,3D Electron Microscopy and FIB-Nanotomography,2010-2011,edoc,19
11,3D Electron Microscopy and FIB-Nanotomography,2011-2012,edoc,15
12,3D Electron Microscopy and FIB-Nanotomography,2012-2013,edoc,4
13,3D Electron Microscopy and FIB-Nanotomography,2013-2014,edoc,6
14,3D Electron Microscopy and FIB-Nanotomography,2014-2015,edoc,11
15,3D Electron Microscopy and FIB-Nanotomography,2015-2016,edoc,7
16,3D Electron Microscopy and FIB-Nanotomography,2018-2019,edoc,9
17,3D Electron Microscopy and FIB-Nanotomography,2019-2020,edoc,1
18,A History of Evolutionary Theory,2013-2014,edoc,6
19,A Political History of Urban Form,2018-2019,Master semestre 1,119
20,A guided tour for engineers in applied stochastic modelling,2012-2013,Master semestre 2,12
21,A guided tour for engineers in applied stochastic modelling,2013-2014,Master semestre 2,18
22,A guided tour for engineers in applied stochastic modelling,2014-2015,Master semestre 2,8
23,A history of abstraction in architecture,2019-2020,Master semestre 1,136
24,A network tour of data science,2015-2016,edoc,5
25,A network tour of data science,2016-2017,Master semestre 1,35
26,A network tour of data science,2017-2018,Master semestre 1,46
27,A network tour of data science,2018-2019,Master semestre 1,96
28,A network tour of data science,2019-2020,Master semestre 1,47
29,A network tour of data science,2019-2020,Semestre automne,1
30,A network tour of data science,2019-2020,edoc,1
31,Accounting for finance,2014-2015,Master semestre 1,29
32,Accounting for finance,2015-2016,Master semestre 1,27
33,Accounting for finance,2016-2017,Master semestre 1,25
34,Accounting for finance,2017-2018,Master semestre 1,25
35,Accounting for finance,2018-2019,Master semestre 1,38
36,Accounting for finance,2019-2020,Master semestre 1,20
37,Accounting for finance,2019-2020,Semestre automne,1
38,Adaptation and learning,2017-2018,edoc,7
39,Adaptation and learning,2018-2019,Master semestre 2,7
40,Adaptation and learning,2018-2019,edoc,1
41,Adaptation and learning,2019-2020,Master semestre 2,10
42,Additive Combinatorics,2016-2017,edoc,1
43,Advanced Course in Combinatorial Geometry & Optimization I (2013),2009-2010,edoc,2
44,Advanced Course in Combinatorial Geometry & Optimization I (2013),2010-2011,edoc,1
45,Advanced Course in Combinatorial Geometry & Optimization I (2013),2011-2012,edoc,1
46,Advanced Fossil and Renewable Energy Systems,2008-2009,Master semestre 1,43
47,Advanced Fossil and Renewable Energy Systems,2009-2010,Master semestre 1,13
48,Advanced Fossil and Renewable Energy Systems,2010-2011,Master semestre 1,28
49,Advanced Fossil and Renewable Energy Systems,2011-2012,Master semestre 1,24
50,Advanced Fossil and Renewable Energy Systems,2012-2013,Master semestre 1,22
51,Advanced Fossil and Renewable Energy Systems,2012-2013,Master semestre 3,1
52,Advanced Fossil and Renewable Energy Systems,2013-2014,Master semestre 1,22
53,Advanced Fossil and Renewable Energy Systems,2013-2014,Master semestre 3,2
54,Advanced Fossil and Renewable Energy Systems,2014-2015,Master semestre 1,20
55,Advanced Fossil and Renewable Energy Systems,2015-2016,Master semestre 1,27
56,Advanced MEMS,2016-2017,Master semestre 2,12
57,Advanced MEMS & microsystems,2011-2012,Master semestre 1,18
58,Advanced MEMS & microsystems,2012-2013,Master semestre 1,23
59,Advanced MEMS & microsystems,2013-2014,Master semestre 1,26
60,Advanced MEMS & microsystems,2014-2015,Master semestre 2,13
61,Advanced MEMS & microsystems,2015-2016,Master semestre 2,9
62,Advanced MEMS & microsystems,2017-2018,Master semestre 2,19
63,Advanced MEMS & microsystems,2018-2019,Master semestre 2,15
64,Advanced MEMS & microsystems,2019-2020,Master semestre 2,26
65,Advanced NMR and imaging,2004-2005,Master semestre 2,4
66,Advanced NMR and imaging,2005-2006,Master semestre 1,13
67,Advanced NMR and imaging,2006-2007,Master semestre 1,4
68,Advanced NMR and imaging,2007-2008,Master semestre 1,4
69,Advanced NMR and imaging,2008-2009,Master semestre 1,2
70,Advanced NMR and imaging,2009-2010,Master semestre 1,9
71,Advanced NMR and imaging,2010-2011,Master semestre 1,4
72,Advanced NMR and imaging,2011-2012,Master semestre 1,1
73,Advanced NMR and imaging,2012-2013,Master semestre 1,3
74,Advanced NMR and imaging,2013-2014,Master semestre 2,2
75,Advanced NMR and imaging,2014-2015,Master semestre 2,3
76,Advanced NMR and imaging,2015-2016,Master semestre 2,4
77,Advanced NMR and imaging,2016-2017,Master semestre 2,7
78,Advanced NMR and imaging,2017-2018,Master semestre 2,6
79,Advanced NMR and imaging,2018-2019,Master semestre 2,8
80,Advanced Topics in Data Sciences,2015-2016,edoc,3
81,Advanced Topics in Human Computer Interaction: the Case of Recommender Systems,2010-2011,edoc,4
82,Advanced Topics in Numerical Modelling for PDEs (2012),2009-2010,edoc,14
83,Advanced Topics in Numerical Modelling for PDEs (2012),2011-2012,edoc,9
84,Advanced Topics in Quantum Sciences and Technologies,2018-2019,edoc,4
85,Advanced Topics on Privacy Protection,2014-2015,edoc,1
86,Advanced Topics on Privacy Protection,2015-2016,edoc,1
87,Advanced VLSI design,2014-2015,Master semestre 2,21
88,Advanced VLSI design,2015-2016,Master semestre 2,16
89,Advanced VLSI design,2016-2017,Master semestre 2,16
90,Advanced VLSI design,2017-2018,Master semestre 2,16
91,Advanced VLSI design,2018-2019,Master semestre 2,8
92,Advanced VLSI design,2019-2020,Master semestre 2,10
93,Advanced additive manufacturing technologies,2018-2019,Master semestre 2,19
94,Advanced additive manufacturing technologies,2019-2020,Master semestre 2,27
95,Advanced algorithms,2008-2009,Master semestre 2,54
96,Advanced algorithms,2008-2009,Master semestre 4,3
97,Advanced algorithms,2009-2010,Master semestre 1,47
98,Advanced algorithms,2010-2011,Master semestre 1,46
99,Advanced algorithms,2010-2011,Master semestre 3,2
100,Advanced algorithms,2010-2011,edoc,12
101,Advanced algorithms,2011-2012,Master semestre 1,56
102,Advanced algorithms,2011-2012,Master semestre 3,4
103,Advanced algorithms,2011-2012,edoc,9
104,Advanced algorithms,2012-2013,Master semestre 1,56
105,Advanced algorithms,2012-2013,Semestre automne,1
106,Advanced algorithms,2012-2013,edoc,7
107,Advanced algorithms,2013-2014,Master semestre 1,56
108,Advanced algorithms,2013-2014,Master semestre 3,9
109,Advanced algorithms,2014-2015,Master semestre 1,47
110,Advanced algorithms,2015-2016,Master semestre 2,36
111,Advanced algorithms,2015-2016,edoc,3
112,Advanced algorithms,2016-2017,Master semestre 2,67
113,Advanced algorithms,2016-2017,edoc,2
114,Advanced algorithms,2017-2018,Master semestre 2,49
115,Advanced algorithms,2017-2018,Master semestre 4,1
116,Advanced algorithms,2017-2018,edoc,6
117,Advanced algorithms,2018-2019,Master semestre 2,85
118,Advanced algorithms,2018-2019,Semestre printemps,1
119,Advanced algorithms,2018-2019,edoc,3
120,Advanced algorithms,2019-2020,Master semestre 2,84
121,Advanced algorithms,2019-2020,Master semestre 4,3
122,Advanced algorithms,2019-2020,Semestre printemps,1
123,Advanced algorithms,2019-2020,edoc,6
124,Advanced analog and RF IC-design I,2017-2018,Master semestre 1,9
125,Advanced analog and RF IC-design I,2018-2019,Master semestre 1,3
126,Advanced analog and RF IC-design II,2017-2018,Master semestre 2,4
127,Advanced analog and RF integrated circuits design I,2005-2006,Master semestre 1,25
128,Advanced analog and RF integrated circuits design I,2006-2007,Master semestre 1,9
129,Advanced analog and RF integrated circuits design I,2007-2008,Master semestre 1,12
130,Advanced analog and RF integrated circuits design I,2008-2009,Master semestre 1,26
131,Advanced analog and RF integrated circuits design I,2009-2010,Master semestre 1,17
132,Advanced analog and RF integrated circuits design I,2010-2011,Master semestre 1,8
133,Advanced analog and RF integrated circuits design I,2011-2012,Master semestre 1,12
134,Advanced analog and RF integrated circuits design I,2012-2013,Master semestre 1,15
135,Advanced analog and RF integrated circuits design I,2013-2014,Master semestre 1,12
136,Advanced analog and RF integrated circuits design I,2014-2015,Master semestre 1,18
137,Advanced analog and RF integrated circuits design I,2015-2016,Master semestre 1,10
138,Advanced analog and RF integrated circuits design I,2016-2017,Master semestre 1,12
139,Advanced analog and RF integrated circuits design II,2005-2006,Master semestre 2,12
140,Advanced analog and RF integrated circuits design II,2006-2007,Master semestre 2,4
141,Advanced analog and RF integrated circuits design II,2007-2008,Master semestre 2,11
142,Advanced analog and RF integrated circuits design II,2008-2009,Master semestre 2,14
143,Advanced analog and RF integrated circuits design II,2009-2010,Master semestre 2,15
144,Advanced analog and RF integrated circuits design II,2010-2011,Master semestre 2,8
145,Advanced analog and RF integrated circuits design II,2011-2012,Master semestre 2,12
146,Advanced analog and RF integrated circuits design II,2012-2013,Master semestre 2,10
147,Advanced analog and RF integrated circuits design II,2014-2015,Master semestre 2,10
148,Advanced analog and RF integrated circuits design II,2015-2016,Master semestre 2,7
149,Advanced analog and RF integrated circuits design II,2016-2017,Master semestre 2,4
150,Advanced analysis I,2004-2005,Bachelor semestre 5,5
151,Advanced analysis I,2005-2006,Bachelor semestre 5,9
152,Advanced analysis I,2006-2007,Bachelor semestre 5,12
153,Advanced analysis I,2007-2008,Master semestre 3,3
154,Advanced analysis I,2008-2009,Master semestre 3,3
155,Advanced analysis I,2009-2010,Master semestre 1,4
156,Advanced analysis I,2010-2011,Master semestre 1,2
157,Advanced analysis I,2010-2011,Master semestre 3,2
158,Advanced analysis I,2011-2012,Master semestre 1,2
159,Advanced analysis I,2011-2012,Master semestre 3,3
160,Advanced analysis I,2012-2013,Master semestre 1,14
161,Advanced analysis I,2013-2014,Master semestre 1,4
162,Advanced analysis I,2013-2014,Master semestre 3,5
163,Advanced analysis I,2014-2015,Master semestre 1,13
164,Advanced analysis I,2015-2016,Master semestre 1,19
165,Advanced analysis I,2016-2017,Master semestre 1,4
166,Advanced analysis II,2004-2005,Bachelor semestre 6,6
167,Advanced analysis II,2005-2006,Bachelor semestre 6,11
168,Advanced analysis II,2006-2007,Bachelor semestre 6,9
169,Advanced analysis II,2007-2008,Master semestre 4,2
170,Advanced analysis II,2008-2009,Master semestre 4,2
171,Advanced analysis II,2009-2010,Master semestre 2,4
172,Advanced analysis II,2010-2011,Master semestre 2,1
173,Advanced analysis II,2010-2011,Master semestre 4,4
174,Advanced analysis II,2011-2012,Master semestre 2,1
175,Advanced analysis II,2011-2012,Master semestre 4,2
176,Advanced analysis II,2012-2013,Master semestre 2,8
177,Advanced analysis II,2013-2014,Master semestre 4,5
178,Advanced analysis II,2014-2015,Master semestre 2,13
179,Advanced analysis II,2015-2016,Master semestre 2,17
180,Advanced analysis II,2016-2017,Master semestre 2,2
181,Advanced analysis of algorithms,2006-2007,edoc,5
182,Advanced bioengineering methods laboratory,2010-2011,Master semestre 2,13
183,Advanced bioengineering methods laboratory,2011-2012,Master semestre 2,5
184,Advanced bioengineering methods laboratory,2012-2013,Master semestre 2,6
185,Advanced bioengineering methods laboratory,2013-2014,Master semestre 4,3
186,Advanced bioengineering methods laboratory,2014-2015,Master semestre 2,5
187,Advanced bioengineering methods laboratory,2015-2016,Master semestre 2,4
188,Advanced bioengineering methods laboratory,2016-2017,Master semestre 2,2
189,Advanced bioengineering methods laboratory,2017-2018,Master semestre 2,4
190,Advanced bioengineering methods laboratory,2018-2019,Bachelor semestre 6,2
191,Advanced bioengineering methods laboratory,2018-2019,Master semestre 2,5
192,Advanced bioengineering methods laboratory,2019-2020,Bachelor semestre 6,1
193,Advanced bioengineering methods laboratory,2019-2020,Master semestre 2,12
194,Advanced biomedical imaging methods and instrumentation,2007-2008,edoc,3
195,Advanced biomedical imaging methods and instrumentation,2008-2009,edoc,1
196,Advanced biomedical imaging methods and instrumentation,2009-2010,edoc,4
197,Advanced biomedical imaging methods and instrumentation,2010-2011,edoc,3
198,Advanced biomedical imaging methods and instrumentation,2011-2012,edoc,2
199,Advanced biomedical imaging methods and instrumentation,2012-2013,edoc,5
200,Advanced biomedical imaging methods and instrumentation,2013-2014,edoc,6
201,Advanced biomedical imaging methods and instrumentation,2014-2015,edoc,6
202,Advanced biomedical imaging methods and instrumentation,2015-2016,edoc,4
203,Advanced biomedical imaging methods and instrumentation,2016-2017,edoc,6
204,Advanced biomedical imaging methods and instrumentation,2017-2018,edoc,5
205,Advanced biomedical imaging methods and instrumentation,2018-2019,edoc,7
206,Advanced biomedical imaging methods and instrumentation,2019-2020,edoc,6
207,Advanced biotechnology,2006-2007,Master semestre 2,5
208,Advanced biotechnology I,2007-2008,Master semestre 1,2
209,Advanced biotechnology I,2008-2009,Master semestre 1,8
210,Advanced biotechnology I,2009-2010,Master semestre 1,10
211,Advanced biotechnology II,2007-2008,Master semestre 4,2
212,Advanced biotechnology II,2008-2009,Master semestre 2,3
213,Advanced chemical reaction engineering,2004-2005,Master semestre 1,27
214,Advanced chemical reaction engineering,2005-2006,Master semestre 1,17
215,Advanced compiler construction,2004-2005,Bachelor semestre 6,21
216,Advanced compiler construction,2004-2005,Master semestre 2,11
217,Advanced compiler construction,2005-2006,Master semestre 4,10
218,Advanced compiler construction,2006-2007,Master semestre 2,15
219,Advanced compiler construction,2007-2008,Master semestre 2,20
220,Advanced compiler construction,2008-2009,Master semestre 2,6
221,Advanced compiler construction,2009-2010,Master semestre 2,9
222,Advanced compiler construction,2010-2011,Master semestre 2,21
223,Advanced compiler construction,2012-2013,Master semestre 2,27
224,Advanced compiler construction,2013-2014,Master semestre 2,25
225,Advanced compiler construction,2014-2015,Master semestre 2,19
226,Advanced compiler construction,2015-2016,Master semestre 2,17
227,Advanced compiler construction,2016-2017,Master semestre 2,31
228,Advanced compiler construction,2017-2018,Master semestre 2,34
229,Advanced compiler construction,2018-2019,Master semestre 2,27
230,Advanced compiler construction,2019-2020,Master semestre 2,35
231,Advanced compiler construction,2019-2020,Master semestre 4,1
232,Advanced composites in engineering structures,2006-2007,Master semestre 1,19
233,Advanced composites in engineering structures,2007-2008,Master semestre 1,22
234,Advanced composites in engineering structures,2008-2009,Master semestre 1,7
235,Advanced composites in engineering structures,2009-2010,Master semestre 1,16
236,Advanced composites in engineering structures,2010-2011,Master semestre 1,8
