,course_id,course_name,year
0,0,Biological and physiological transport,2006-2007
1,1,Biological and physiological transport,2007-2008
2,2,Special topics in reactor physics,2015-2016
3,3,Special topics in reactor physics,2014-2015
4,4,Special topics in reactor physics,2013-2014
5,5,Special topics in reactor physics,2017-2018
7,7,Adaptation and learning,2018-2019
8,8,Adaptation and learning,2019-2020
16,16,Spectroscopie analytique,2007-2008
18,18,Bioinformatics II,2009-2010
28,28,Théorie et critique du projet MA1 (Gueissaz),2012-2013
29,29,Heterogenous reaction engineering,2019-2020
46,46,"Organisation, économie et droit de la construction II",2017-2018
47,47,"Organisation, économie et droit de la construction II",2016-2017
48,48,"Organisation, économie et droit de la construction II",2007-2008
49,49,"Organisation, économie et droit de la construction II",2015-2016
50,50,"Organisation, économie et droit de la construction II",2010-2011
51,51,"Organisation, économie et droit de la construction II",2006-2007
52,52,"Organisation, économie et droit de la construction II",2005-2006
53,53,"Organisation, économie et droit de la construction II",2009-2010
54,54,"Organisation, économie et droit de la construction II",2012-2013
55,55,"Organisation, économie et droit de la construction II",2008-2009
56,56,"Organisation, économie et droit de la construction II",2004-2005
57,57,"Organisation, économie et droit de la construction II",2014-2015
58,58,"Organisation, économie et droit de la construction II",2011-2012
59,59,"Organisation, économie et droit de la construction II",2013-2014
62,62,Ouvrages hydrauliques et aménagements hydroélectriques,2019-2020
63,63,Ouvrages hydrauliques et aménagements hydroélectriques,2018-2019
64,64,Ouvrages hydrauliques et aménagements hydroélectriques,2015-2016
65,65,Ouvrages hydrauliques et aménagements hydroélectriques,2017-2018
66,66,Ouvrages hydrauliques et aménagements hydroélectriques,2016-2017
72,72,Basics of mobile robotics,2018-2019
73,73,Basics of mobile robotics,2019-2020
74,74,Fundamentals of biosensors and electronic biochips,2018-2019
75,75,Fundamentals of biosensors and electronic biochips,2016-2017
76,76,Fundamentals of biosensors and electronic biochips,2014-2015
77,77,Fundamentals of biosensors and electronic biochips,2019-2020
78,78,Fundamentals of biosensors and electronic biochips,2015-2016
79,79,Fundamentals of biosensors and electronic biochips,2017-2018
80,80,Introduction to combinatorics,2008-2009
81,81,Introduction to combinatorics,2010-2011
82,82,Scientific literature analysis in neuroscience,2018-2019
83,83,Scientific literature analysis in neuroscience,2019-2020
84,84,Scientific literature analysis in neuroscience,2015-2016
85,85,Scientific literature analysis in neuroscience,2014-2015
98,98,Construction en bois pour ingénieurs civils II,2005-2006
105,105,Bioelectronics and biomedical microelectronics,2017-2018
106,106,Bioelectronics and biomedical microelectronics,2019-2020
107,107,Bioelectronics and biomedical microelectronics,2018-2019
118,118,Distributed information systems,2011-2012
119,119,Distributed information systems,2016-2017
120,120,Distributed information systems,2017-2018
121,121,Distributed information systems,2015-2016
122,122,Distributed information systems,2018-2019
123,123,Distributed information systems,2004-2005
124,124,Distributed information systems,2006-2007
125,125,Distributed information systems,2010-2011
126,126,Distributed information systems,2005-2006
127,127,Distributed information systems,2013-2014
128,128,Distributed information systems,2012-2013
129,129,Distributed information systems,2007-2008
130,130,Distributed information systems,2014-2015
131,131,Distributed information systems,2019-2020
132,132,Distributed information systems,2008-2009
133,133,Distributed information systems,2009-2010
134,134,Aerial robots,2017-2018
138,138,Analyse et gestion de risques,2015-2016
139,139,Analyse et gestion de risques,2016-2017
140,140,Analyse et gestion de risques,2017-2018
141,141,Analyse et gestion de risques,2018-2019
142,142,Analyse et gestion de risques,2019-2020
143,143,Relativité et cosmologie I,2004-2005
144,144,Relativité et cosmologie I,2007-2008
145,145,Relativité et cosmologie I,2005-2006
146,146,Relativité et cosmologie I,2006-2007
147,147,Modélisation dynamique,2009-2010
148,148,Modélisation dynamique,2008-2009
149,149,Modélisation dynamique,2007-2008
150,150,Modélisation dynamique,2006-2007
151,151,Modélisation dynamique,2010-2011
152,152,Modélisation dynamique,2004-2005
153,153,Modélisation dynamique,2005-2006
154,154,UE N : Art et architecture: construire l'image  II,2014-2015
155,155,Analyse de données génétiques,2005-2006
156,156,Analyse de données génétiques,2007-2008
157,157,Cultural data sculpting,2019-2020
158,158,Cultural data sculpting,2017-2018
159,159,Cultural data sculpting,2018-2019
162,162,Filtre et filtrage numérique,2004-2005
163,163,Physique du solide IV,2006-2007
164,164,Physique du solide IV,2007-2008
165,165,Physique du solide IV,2005-2006
166,166,Physique du solide IV,2004-2005
185,185,Chemistry of food processes,2016-2017
186,186,Chemistry of food processes,2013-2014
187,187,Chemistry of food processes,2015-2016
188,188,Chemistry of food processes,2011-2012
189,189,Chemistry of food processes,2018-2019
190,190,Chemistry of food processes,2019-2020
191,191,Chemistry of food processes,2017-2018
192,192,Chemistry of food processes,2014-2015
193,193,Chemistry of food processes,2012-2013
212,212,Reservoir geo-mechanics engineering,2017-2018
213,213,Reservoir geo-mechanics engineering,2018-2019
214,214,Droit de la construction II,2004-2005
216,216,Dynamique des réseaux,2005-2006
217,217,Dynamique des réseaux,2011-2012
218,218,Dynamique des réseaux,2010-2011
219,219,Dynamique des réseaux,2006-2007
220,220,Dynamique des réseaux,2007-2008
221,221,Dynamique des réseaux,2008-2009
222,222,Dynamique des réseaux,2009-2010
232,232,Advanced regression,2016-2017
233,233,Changements climatiques et impacts,2005-2006
234,234,Changements climatiques et impacts,2007-2008
235,235,Changements climatiques et impacts,2006-2007
236,236,Viscoélasticité et élastoplasticité,2008-2009
237,237,Viscoélasticité et élastoplasticité,2006-2007
238,238,Viscoélasticité et élastoplasticité,2004-2005
239,239,Les voies de l'eau,2013-2014
240,240,Fundamentals & processes for photovoltaic devices,2011-2012
241,241,Fundamentals & processes for photovoltaic devices,2010-2011
242,242,Fundamentals & processes for photovoltaic devices,2009-2010
243,243,Fundamentals & processes for photovoltaic devices,2018-2019
244,244,Fundamentals & processes for photovoltaic devices,2015-2016
245,245,Fundamentals & processes for photovoltaic devices,2013-2014
246,246,Fundamentals & processes for photovoltaic devices,2012-2013
