,course_name_x,course_name_y,jaccard
1268, Numerical approximation of PDE's II,Numerical approximation of PDE's I,0.2802197802197802
1273, Numerical approximation of PDE's II,Numerical integration of dynamical systems,0.24489795918367346
361, Numerical approximation of PDE's II,Computational linear algebra,0.15602836879432624
2589,A Political History of Urban Form,Difficult Double: Trouble with Classicists,0.27734375
2539,A Political History of Urban Form,Critique du projet urbain contemporain,0.1975806451612903
4203,A Political History of Urban Form,Why care? Une introduction à l'art contemporain,0.1858974358974359
5194,A guided tour for engineers in applied stochastic modelling,L'ingénieur dans R&D industriels,0.08273381294964029
6022,A guided tour for engineers in applied stochastic modelling,Techniques d'assemblage I,0.08013937282229965
6023,A guided tour for engineers in applied stochastic modelling,Techniques d'assemblage II,0.07857142857142857
6457,A history of abstraction in architecture,Apparent realities - Constructing the view,0.32786885245901637
6757,A history of abstraction in architecture,Critique du projet urbain contemporain,0.3138075313807531
8414,A history of abstraction in architecture,"Visionnaires éclectiques. Architectures, 2000-2018",0.3036649214659686
10139,A network tour of data science,Statistics for data science,0.24193548387096775
9422,A network tour of data science,Lab in data science,0.20032310177705978
8571,A network tour of data science,Applied data analysis,0.17588652482269504
11602,Accounting for finance,Macrofinance,0.4585987261146497
11094,Accounting for finance,Econometrics,0.45263157894736844
11514,Accounting for finance,Investments,0.4175365344467641
13070,Adaptation and learning,Convex optimization,0.08333333333333333
12728,Adaptation and learning,Advanced wireless receivers,0.07142857142857142
13644,Adaptation and learning,Lab in signal and image processing,0.061855670103092786
16015,Advanced Fossil and Renewable Energy Systems,Neutronics,0.2836734693877551
16287,Advanced Fossil and Renewable Energy Systems,Reactor technology,0.25757575757575757
16286,Advanced Fossil and Renewable Energy Systems,Reactor Experiments,0.24249422632794457
17537,Advanced MEMS,Fab/sim practicals,0.3076923076923077
18311,Advanced MEMS,Printed systems and large area manufacturing,0.2857142857142857
18021,Advanced MEMS,Modeling and simulation of microsystems,0.16666666666666666
20567,Advanced MEMS & microsystems,Scaling laws in micro- and nanosystems,0.32857142857142857
20116,Advanced MEMS & microsystems,Microsystèmes et capteurs TP I,0.2727272727272727
20117,Advanced MEMS & microsystems,Microsystèmes et capteurs TP II,0.2727272727272727
21368,Advanced NMR and imaging,Catalyst design for synthesis,0.3795620437956204
22000,Advanced NMR and imaging,Inorganic reactivity,0.376657824933687
22843,Advanced NMR and imaging,Supramolecular chemistry,0.35308056872037913
23907,Advanced VLSI design,Fundamentals of VLSI design,0.32421875
24003,Advanced VLSI design,Hardware systems modeling II,0.2980392156862745
23296,Advanced VLSI design,Analog circuits design II,0.2558139534883721
26246,Advanced additive manufacturing technologies,Introduction to additive manufacturing,0.17543859649122806
26321,Advanced additive manufacturing technologies,Laser fundamentals and applications for engineers,0.13333333333333333
26671,Advanced additive manufacturing technologies,Photonic micro- and nanosystems,0.11956521739130435
27915,Advanced algorithms,Distributed algorithms,0.21210801393728224
27807,Advanced algorithms,Concurrent algorithms,0.1792452830188679
28115,Advanced algorithms,Foundations of software,0.1728395061728395
30572,Advanced analog and RF IC-design I,Low power electronics,0.26506024096385544
30463,Advanced analog and RF IC-design I,Introduction to VLSI Design,0.1340782122905028
30811,Advanced analog and RF IC-design I,Optical detectors,0.08408408408408409
31709,Advanced analog and RF IC-design II,Advanced wireless receivers,0.09523809523809523
31649,Advanced analog and RF IC-design II,Advanced analog and RF IC-design I,0.07142857142857142
31848,Advanced analog and RF IC-design II,Bio-nano-chip design,0.043478260869565216
33841,Advanced analog and RF integrated circuits design I,Analog circuits design II,0.327027027027027
33761,Advanced analog and RF integrated circuits design I,Advanced analog and RF integrated circuits design II,0.31654676258992803
34548,Advanced analog and RF integrated circuits design I,Hardware systems modeling II,0.30708661417322836
37930,Advanced analog and RF integrated circuits design II,VLSI design II,0.36082474226804123
35950,Advanced analog and RF integrated circuits design II,Analog circuits design II,0.3552123552123552
35869,Advanced analog and RF integrated circuits design II,Advanced analog and RF integrated circuits design I,0.31654676258992803
37981,Advanced analysis I,Advanced analysis II,0.5244755244755245
38017,Advanced analysis I,Advanced probability,0.08695652173913043
38024,Advanced analysis I,Advanced signal processing : Wavelets and applications,0.08
40089,Advanced analysis II,Advanced analysis I,0.5244755244755245
40133,Advanced analysis II,Advanced signal processing : Wavelets and applications,0.0759493670886076
40126,Advanced analysis II,Advanced probability,0.06806282722513089
44151,Advanced bioengineering methods laboratory,Tissue engineering,0.19004524886877827
42343,Advanced bioengineering methods laboratory,Artificial organs and systems,0.14285714285714285
43267,Advanced bioengineering methods laboratory,Materials science,0.13157894736842105
45901,Advanced biotechnology,Selected Chapters in Biotechnology,0.225
44514,Advanced biotechnology,Biological and physiological transport,0.21052631578947367
44804,Advanced biotechnology,Drug discovery from bench to clinics,0.14285714285714285
46421,Advanced biotechnology I,Advanced biotechnology II,0.2882882882882883
46697,Advanced biotechnology I,Chemical engineering & biotechnology lab & project,0.21428571428571427
46952,Advanced biotechnology I,Economics and Management of innovation in LS&T,0.1927710843373494
48529,Advanced biotechnology II,Advanced biotechnology I,0.2882882882882883
49226,Advanced biotechnology II,GLP / GMP,0.24705882352941178
48729,Advanced biotechnology II,Bioinformatics II,0.14942528735632185
50896,Advanced chemical reaction engineering,Catalytic reaction engineering,0.85
50917,Advanced chemical reaction engineering,Chemical engineering lab and project,0.75
50898,Advanced chemical reaction engineering,Cellular and molecular biotechnology,0.68
53423,Advanced compiler construction,Foundations of software,0.3282208588957055
53115,Advanced compiler construction,Concurrent algorithms,0.18860244233378562
52752,Advanced compiler construction,Advanced computer architecture,0.14854517611026033
56250,Advanced composites in engineering structures,Ponts en béton,0.27155172413793105
55937,Advanced composites in engineering structures,Matériaux et structures,0.2645161290322581
56564,Advanced composites in engineering structures,"Structures en métal, chapitres choisis",0.2472375690607735
58469,Advanced computer architecture,Real-time embedded systems,0.1813953488372093
57529,Advanced computer architecture,Embedded systems,0.1622596153846154
56968,Advanced computer architecture,Advanced compiler construction,0.14854517611026033
61137,Advanced computer graphics,Virtual reality,0.3146067415730337
59535,Advanced computer graphics,Digital 3D geometry processing,0.18450704225352113
59427,Advanced computer graphics,Computer vision,0.17391304347826086
62302,Advanced computer networks and distributed systems,Middleware,0.13742690058479531
61194,Advanced computer networks and distributed systems,Advanced databases,0.1320754716981132
62778,Advanced computer networks and distributed systems,Selected topics in distributed computing,0.09782608695652174
65032,Advanced control systems,System identification,0.35714285714285715
63608,Advanced control systems,Commande non linéaire,0.28486646884273
64417,Advanced control systems,Model predictive control,0.2641975308641975
66385,Advanced courses in immunology and microbiology,Landmark papers in Genetics,0.2714285714285714
65894,Advanced courses in immunology and microbiology,Drug discovery from bench to clinics,0.25773195876288657
67353,Advanced courses in immunology and microbiology,Topics in bioinformatics I,0.25287356321839083
69225,Advanced cryptography,Student seminar: security protocols and applications,0.2552552552552553
68598,Advanced cryptography,Media security,0.16515426497277677
67577,Advanced cryptography,Algorithms in public-key cryptology,0.16393442622950818
70785,Advanced databases,Multimedia documents,0.14793741109530584
70738,Advanced databases,Middleware,0.13537906137184116
69626,Advanced databases,Advanced computer networks and distributed systems,0.1320754716981132
73231,Advanced derivatives,Real options and financial structuring,0.7951070336391437
72296,Advanced derivatives,Empirical methods in Finance,0.6978021978021978
72164,Advanced derivatives,Derivatives,0.6705882352941176
74195,Advanced design of concrete structures,Conception des constructions en bois,0.39855072463768115
73880,Advanced design of concrete structures,Advanced steel design,0.32242990654205606
