,course_name,year,semester,section,nr_students
0, Numerical approximation of PDE's II,2012-2013,Master semestre 2,Ingénierie mathématique,4
1, Numerical approximation of PDE's II,2012-2013,Master semestre 2,Mathématiques - master,1
2, Numerical approximation of PDE's II,2012-2013,Master semestre 2,Science et ingénierie computationnelles,2
3, Numerical approximation of PDE's II,2013-2014,Master semestre 2,Mathématiques - master,2
4, Numerical approximation of PDE's II,2013-2014,Master semestre 2,Science et ingénierie computationnelles,2
5, Numerical approximation of PDE's II,2013-2014,Master semestre 4,Ingénierie mathématique,1
6, Numerical approximation of PDE's II,2014-2015,Master semestre 2,Ingénierie mathématique,3
7, Numerical approximation of PDE's II,2014-2015,Master semestre 2,Science et ingénierie computationnelles,1
8, Numerical approximation of PDE's II,2015-2016,Master semestre 2,Ingénierie mathématique,4
9, Numerical approximation of PDE's II,2015-2016,Master semestre 2,Science et ingénierie computationnelles,7
10, Numerical approximation of PDE's II,2016-2017,Master semestre 2,Ingénierie mathématique,4
11, Numerical approximation of PDE's II,2016-2017,Master semestre 2,Mathématiques - master,1
12, Numerical approximation of PDE's II,2016-2017,Master semestre 2,Science et ingénierie computationnelles,8
13, Numerical approximation of PDE's II,2017-2018,Master semestre 4,Mathématiques - master,1
14, Numerical approximation of PDE's II,2017-2018,Master semestre 4,Science et ingénierie computationnelles,1
15, Numerical approximation of PDE's II,2018-2019,Master semestre 1,Science et ingénierie computationnelles,1
16,A Political History of Urban Form,2018-2019,Master semestre 1,Architecture,119
17,A guided tour for engineers in applied stochastic modelling,2012-2013,Master semestre 2,Microtechnique,12
18,A guided tour for engineers in applied stochastic modelling,2013-2014,Master semestre 2,Microtechnique,18
19,A guided tour for engineers in applied stochastic modelling,2014-2015,Master semestre 2,Microtechnique,8
20,A history of abstraction in architecture,2019-2020,Master semestre 1,Architecture,136
21,A network tour of data science,2016-2017,Master semestre 1,Génie électrique et électronique,35
22,A network tour of data science,2017-2018,Master semestre 1,Data Science,12
23,A network tour of data science,2017-2018,Master semestre 1,Génie électrique et électronique,32
24,A network tour of data science,2017-2018,Master semestre 1,"Management, technologie et entrepreneuriat",2
25,A network tour of data science,2018-2019,Master semestre 1,Data Science,19
26,A network tour of data science,2018-2019,Master semestre 1,Génie électrique et électronique,37
27,A network tour of data science,2018-2019,Master semestre 1,"Management, technologie et entrepreneuriat",9
28,A network tour of data science,2018-2019,Master semestre 1,Microtechnique,31
29,A network tour of data science,2019-2020,Master semestre 1,Data Science,13
30,A network tour of data science,2019-2020,Master semestre 1,Génie électrique et électronique,24
31,A network tour of data science,2019-2020,Master semestre 1,"Management, technologie et entrepreneuriat",4
32,A network tour of data science,2019-2020,Master semestre 1,Microtechnique,6
33,A network tour of data science,2019-2020,Semestre automne,Mineur en Data science,1
34,A network tour of data science,2019-2020,edoc,Génie électrique,1
35,Accounting for finance,2014-2015,Master semestre 1,Ingénierie financière,29
36,Accounting for finance,2015-2016,Master semestre 1,Ingénierie financière,27
37,Accounting for finance,2016-2017,Master semestre 1,Ingénierie financière,25
38,Accounting for finance,2017-2018,Master semestre 1,Ingénierie financière,25
39,Accounting for finance,2018-2019,Master semestre 1,Ingénierie financière,38
40,Accounting for finance,2019-2020,Master semestre 1,Ingénierie financière,20
41,Accounting for finance,2019-2020,Semestre automne,Mineur en Ingénierie financière,1
42,Adaptation and learning,2018-2019,Master semestre 2,Génie électrique et électronique,7
43,Adaptation and learning,2018-2019,edoc,Génie électrique,1
44,Adaptation and learning,2019-2020,Master semestre 2,Génie électrique et électronique,10
45,Advanced Fossil and Renewable Energy Systems,2008-2009,Master semestre 1,Génie nucléaire,10
46,Advanced Fossil and Renewable Energy Systems,2008-2009,Master semestre 1,Physique,33
47,Advanced Fossil and Renewable Energy Systems,2009-2010,Master semestre 1,Génie nucléaire,11
48,Advanced Fossil and Renewable Energy Systems,2009-2010,Master semestre 1,Ingénierie physique,2
49,Advanced Fossil and Renewable Energy Systems,2010-2011,Master semestre 1,Génie nucléaire,18
50,Advanced Fossil and Renewable Energy Systems,2010-2011,Master semestre 1,Physique - master,10
51,Advanced Fossil and Renewable Energy Systems,2011-2012,Master semestre 1,Génie nucléaire,17
52,Advanced Fossil and Renewable Energy Systems,2011-2012,Master semestre 1,Ingénierie physique,3
53,Advanced Fossil and Renewable Energy Systems,2011-2012,Master semestre 1,Physique - master,4
54,Advanced Fossil and Renewable Energy Systems,2012-2013,Master semestre 1,Gestion de l'énergie et durabilité,6
55,Advanced Fossil and Renewable Energy Systems,2012-2013,Master semestre 1,Génie nucléaire,13
56,Advanced Fossil and Renewable Energy Systems,2012-2013,Master semestre 1,Physique - master,3
57,Advanced Fossil and Renewable Energy Systems,2012-2013,Master semestre 3,Gestion de l'énergie et durabilité,1
58,Advanced Fossil and Renewable Energy Systems,2013-2014,Master semestre 1,Gestion de l'énergie et durabilité,6
59,Advanced Fossil and Renewable Energy Systems,2013-2014,Master semestre 1,Génie nucléaire,9
60,Advanced Fossil and Renewable Energy Systems,2013-2014,Master semestre 1,Ingénierie physique,5
61,Advanced Fossil and Renewable Energy Systems,2013-2014,Master semestre 1,Physique - master,2
62,Advanced Fossil and Renewable Energy Systems,2013-2014,Master semestre 3,Gestion de l'énergie et durabilité,2
63,Advanced Fossil and Renewable Energy Systems,2014-2015,Master semestre 1,Gestion de l'énergie et durabilité,2
64,Advanced Fossil and Renewable Energy Systems,2014-2015,Master semestre 1,Génie nucléaire,13
65,Advanced Fossil and Renewable Energy Systems,2014-2015,Master semestre 1,Ingénierie physique,4
66,Advanced Fossil and Renewable Energy Systems,2014-2015,Master semestre 1,Physique - master,1
67,Advanced Fossil and Renewable Energy Systems,2015-2016,Master semestre 1,Gestion de l'énergie et durabilité,17
68,Advanced Fossil and Renewable Energy Systems,2015-2016,Master semestre 1,Génie nucléaire,10
69,Advanced MEMS,2016-2017,Master semestre 2,Microtechnique,12
70,Advanced MEMS & microsystems,2011-2012,Master semestre 1,Microtechnique,18
71,Advanced MEMS & microsystems,2012-2013,Master semestre 1,Microtechnique,23
72,Advanced MEMS & microsystems,2013-2014,Master semestre 1,Microtechnique,26
73,Advanced MEMS & microsystems,2014-2015,Master semestre 2,Microtechnique,13
74,Advanced MEMS & microsystems,2015-2016,Master semestre 2,Microtechnique,9
75,Advanced MEMS & microsystems,2017-2018,Master semestre 2,Microtechnique,19
76,Advanced MEMS & microsystems,2018-2019,Master semestre 2,Microtechnique,15
77,Advanced MEMS & microsystems,2019-2020,Master semestre 2,Microtechnique,24
78,Advanced MEMS & microsystems,2019-2020,Master semestre 2,Robotique,2
79,Advanced NMR and imaging,2004-2005,Master semestre 2,Chimie moléculaire et biologique,4
80,Advanced NMR and imaging,2005-2006,Master semestre 1,Chimie moléculaire et biologique,13
81,Advanced NMR and imaging,2006-2007,Master semestre 1,Chimie moléculaire et biologique,4
82,Advanced NMR and imaging,2007-2008,Master semestre 1,Chimie moléculaire et biologique,4
83,Advanced NMR and imaging,2008-2009,Master semestre 1,Chimie moléculaire et biologique,2
84,Advanced NMR and imaging,2009-2010,Master semestre 1,Chimie moléculaire et biologique,9
85,Advanced NMR and imaging,2010-2011,Master semestre 1,Chimie moléculaire et biologique,4
86,Advanced NMR and imaging,2011-2012,Master semestre 1,Chimie moléculaire et biologique,1
87,Advanced NMR and imaging,2012-2013,Master semestre 1,Chimie moléculaire et biologique,3
88,Advanced NMR and imaging,2013-2014,Master semestre 2,Chimie moléculaire et biologique,2
89,Advanced NMR and imaging,2014-2015,Master semestre 2,Chimie moléculaire et biologique,3
90,Advanced NMR and imaging,2015-2016,Master semestre 2,Chimie moléculaire et biologique,4
91,Advanced NMR and imaging,2016-2017,Master semestre 2,Chimie moléculaire et biologique,7
92,Advanced NMR and imaging,2017-2018,Master semestre 2,Chimie moléculaire et biologique,6
93,Advanced NMR and imaging,2018-2019,Master semestre 2,Chimie moléculaire et biologique,8
94,Advanced VLSI design,2014-2015,Master semestre 2,Génie électrique et électronique,21
95,Advanced VLSI design,2015-2016,Master semestre 2,Génie électrique et électronique,16
96,Advanced VLSI design,2016-2017,Master semestre 2,Génie électrique et électronique,16
97,Advanced VLSI design,2017-2018,Master semestre 2,Génie électrique et électronique,16
98,Advanced VLSI design,2018-2019,Master semestre 2,Génie électrique et électronique,8
99,Advanced VLSI design,2019-2020,Master semestre 2,Génie électrique et électronique,10
100,Advanced additive manufacturing technologies,2018-2019,Master semestre 2,Génie mécanique,12
101,Advanced additive manufacturing technologies,2018-2019,Master semestre 2,Microtechnique,7
102,Advanced additive manufacturing technologies,2019-2020,Master semestre 2,Génie mécanique,11
103,Advanced additive manufacturing technologies,2019-2020,Master semestre 2,Microtechnique,16
104,Advanced algorithms,2008-2009,Master semestre 2,Informatique,54
105,Advanced algorithms,2008-2009,Master semestre 4,Systèmes de communication - master,3
106,Advanced algorithms,2009-2010,Master semestre 1,Informatique,47
107,Advanced algorithms,2010-2011,Master semestre 1,Informatique,46
108,Advanced algorithms,2010-2011,Master semestre 3,Systèmes de communication - master,2
109,Advanced algorithms,2010-2011,edoc,Informatique et communications,12
110,Advanced algorithms,2011-2012,Master semestre 1,Informatique,56
111,Advanced algorithms,2011-2012,Master semestre 3,Systèmes de communication - master,4
112,Advanced algorithms,2011-2012,edoc,Informatique et communications,9
113,Advanced algorithms,2012-2013,Master semestre 1,Informatique,51
114,Advanced algorithms,2012-2013,Master semestre 1,Systèmes de communication - master,5
115,Advanced algorithms,2012-2013,Semestre automne,Cyber security minor,1
116,Advanced algorithms,2012-2013,edoc,Informatique et communications,7
117,Advanced algorithms,2013-2014,Master semestre 1,Informatique,55
118,Advanced algorithms,2013-2014,Master semestre 1,Science et ingénierie computationnelles,1
119,Advanced algorithms,2013-2014,Master semestre 3,Systèmes de communication - master,9
120,Advanced algorithms,2014-2015,Master semestre 1,Informatique,40
121,Advanced algorithms,2014-2015,Master semestre 1,Science et ingénierie computationnelles,2
122,Advanced algorithms,2014-2015,Master semestre 1,Systèmes de communication - master,5
123,Advanced algorithms,2015-2016,Master semestre 2,Informatique,31
124,Advanced algorithms,2015-2016,Master semestre 2,Science et ingénierie computationnelles,2
125,Advanced algorithms,2015-2016,Master semestre 2,Systèmes de communication - master,3
126,Advanced algorithms,2015-2016,edoc,Informatique et communications,3
127,Advanced algorithms,2016-2017,Master semestre 2,Informatique,57
128,Advanced algorithms,2016-2017,Master semestre 2,Science et ingénierie computationnelles,7
129,Advanced algorithms,2016-2017,Master semestre 2,Systèmes de communication - master,3
130,Advanced algorithms,2016-2017,edoc,Informatique et communications,2
131,Advanced algorithms,2017-2018,Master semestre 2,Data Science,4
132,Advanced algorithms,2017-2018,Master semestre 2,Informatique,41
133,Advanced algorithms,2017-2018,Master semestre 2,Systèmes de communication - master,4
134,Advanced algorithms,2017-2018,Master semestre 4,Science et ingénierie computationnelles,1
135,Advanced algorithms,2017-2018,edoc,Informatique et communications,6
136,Advanced algorithms,2018-2019,Master semestre 2,Data Science,13
137,Advanced algorithms,2018-2019,Master semestre 2,Informatique,67
138,Advanced algorithms,2018-2019,Master semestre 2,Science et ingénierie computationnelles,3
139,Advanced algorithms,2018-2019,Master semestre 2,Systèmes de communication - master,2
140,Advanced algorithms,2018-2019,Semestre printemps,Mineur en Informatique,1
141,Advanced algorithms,2018-2019,edoc,Informatique et communications,3
142,Advanced algorithms,2019-2020,Master semestre 2,Data Science,17
143,Advanced algorithms,2019-2020,Master semestre 2,Informatique,64
144,Advanced algorithms,2019-2020,Master semestre 2,Science et ingénierie computationnelles,2
145,Advanced algorithms,2019-2020,Master semestre 2,Systèmes de communication - master,1
146,Advanced algorithms,2019-2020,Master semestre 4,Informatique - Cybersecurity,3
147,Advanced algorithms,2019-2020,Semestre printemps,Mineur en Data science,1
148,Advanced algorithms,2019-2020,edoc,Informatique et communications,6
149,Advanced analog and RF IC-design I,2017-2018,Master semestre 1,Génie électrique et électronique,9
150,Advanced analog and RF IC-design I,2018-2019,Master semestre 1,Génie électrique et électronique,3
151,Advanced analog and RF IC-design II,2017-2018,Master semestre 2,Génie électrique et électronique,4
152,Advanced analog and RF integrated circuits design I,2005-2006,Master semestre 1,Génie électrique et électronique,25
153,Advanced analog and RF integrated circuits design I,2006-2007,Master semestre 1,Génie électrique et électronique,9
154,Advanced analog and RF integrated circuits design I,2007-2008,Master semestre 1,Génie électrique et électronique,12
155,Advanced analog and RF integrated circuits design I,2008-2009,Master semestre 1,Génie électrique et électronique,26
156,Advanced analog and RF integrated circuits design I,2009-2010,Master semestre 1,Génie électrique et électronique,17
157,Advanced analog and RF integrated circuits design I,2010-2011,Master semestre 1,Génie électrique et électronique,8
158,Advanced analog and RF integrated circuits design I,2011-2012,Master semestre 1,Génie électrique et électronique,12
159,Advanced analog and RF integrated circuits design I,2012-2013,Master semestre 1,Génie électrique et électronique,15
160,Advanced analog and RF integrated circuits design I,2013-2014,Master semestre 1,Génie électrique et électronique,12
161,Advanced analog and RF integrated circuits design I,2014-2015,Master semestre 1,Génie électrique et électronique,18
162,Advanced analog and RF integrated circuits design I,2015-2016,Master semestre 1,Génie électrique et électronique,10
163,Advanced analog and RF integrated circuits design I,2016-2017,Master semestre 1,Génie électrique et électronique,12
164,Advanced analog and RF integrated circuits design II,2005-2006,Master semestre 2,Génie électrique et électronique,12
165,Advanced analog and RF integrated circuits design II,2006-2007,Master semestre 2,Génie électrique et électronique,4
166,Advanced analog and RF integrated circuits design II,2007-2008,Master semestre 2,Génie électrique et électronique,11
167,Advanced analog and RF integrated circuits design II,2008-2009,Master semestre 2,Génie électrique et électronique,14
168,Advanced analog and RF integrated circuits design II,2009-2010,Master semestre 2,Génie électrique et électronique,15
169,Advanced analog and RF integrated circuits design II,2010-2011,Master semestre 2,Génie électrique et électronique,8
170,Advanced analog and RF integrated circuits design II,2011-2012,Master semestre 2,Génie électrique et électronique,12
171,Advanced analog and RF integrated circuits design II,2012-2013,Master semestre 2,Génie électrique et électronique,10
172,Advanced analog and RF integrated circuits design II,2014-2015,Master semestre 2,Génie électrique et électronique,10
173,Advanced analog and RF integrated circuits design II,2015-2016,Master semestre 2,Génie électrique et électronique,7
174,Advanced analog and RF integrated circuits design II,2016-2017,Master semestre 2,Génie électrique et électronique,4
175,Advanced analysis I,2007-2008,Master semestre 3,Systèmes de communication - master Eurecom,3
176,Advanced analysis I,2008-2009,Master semestre 3,Systèmes de communication - master,3
177,Advanced analysis I,2009-2010,Master semestre 1,Systèmes de communication - master,4
178,Advanced analysis I,2010-2011,Master semestre 1,Bioingénierie,2
179,Advanced analysis I,2010-2011,Master semestre 3,Systèmes de communication - master,2
180,Advanced analysis I,2011-2012,Master semestre 1,Bioingénierie,1
181,Advanced analysis I,2011-2012,Master semestre 1,Sciences et technologies du vivant - master,1
182,Advanced analysis I,2011-2012,Master semestre 3,Systèmes de communication - master,3
183,Advanced analysis I,2012-2013,Master semestre 1,Bioingénierie,6
184,Advanced analysis I,2012-2013,Master semestre 1,Sciences et technologies du vivant - master,2
185,Advanced analysis I,2012-2013,Master semestre 1,Systèmes de communication - master,6
186,Advanced analysis I,2013-2014,Master semestre 1,Bioingénierie,1
187,Advanced analysis I,2013-2014,Master semestre 1,Sciences et technologies du vivant - master,3
188,Advanced analysis I,2013-2014,Master semestre 3,Systèmes de communication - master,5
189,Advanced analysis I,2014-2015,Master semestre 1,Bioingénierie,2
190,Advanced analysis I,2014-2015,Master semestre 1,Sciences et technologies du vivant - master,6
191,Advanced analysis I,2014-2015,Master semestre 1,Systèmes de communication - master,5
192,Advanced analysis I,2015-2016,Master semestre 1,Bioingénierie,8
193,Advanced analysis I,2015-2016,Master semestre 1,Sciences et technologies du vivant - master,8
194,Advanced analysis I,2015-2016,Master semestre 1,Systèmes de communication - master,3
195,Advanced analysis I,2016-2017,Master semestre 1,Bioingénierie,3
196,Advanced analysis I,2016-2017,Master semestre 1,Systèmes de communication - master,1
197,Advanced analysis II,2007-2008,Master semestre 4,Systèmes de communication - master Eurecom,2
198,Advanced analysis II,2008-2009,Master semestre 4,Systèmes de communication - master,2
199,Advanced analysis II,2009-2010,Master semestre 2,Systèmes de communication - master,4
200,Advanced analysis II,2010-2011,Master semestre 2,Bioingénierie,1
201,Advanced analysis II,2010-2011,Master semestre 4,Systèmes de communication - master,4
202,Advanced analysis II,2011-2012,Master semestre 2,Sciences et technologies du vivant - master,1
203,Advanced analysis II,2011-2012,Master semestre 4,Systèmes de communication - master,2
204,Advanced analysis II,2012-2013,Master semestre 2,Bioingénierie,2
205,Advanced analysis II,2012-2013,Master semestre 2,Sciences et technologies du vivant - master,2
206,Advanced analysis II,2012-2013,Master semestre 2,Systèmes de communication - master,4
207,Advanced analysis II,2013-2014,Master semestre 4,Sciences et technologies du vivant - master,2
208,Advanced analysis II,2013-2014,Master semestre 4,Systèmes de communication - master,3
209,Advanced analysis II,2014-2015,Master semestre 2,Bioingénierie,1
210,Advanced analysis II,2014-2015,Master semestre 2,Sciences et technologies du vivant - master,7
211,Advanced analysis II,2014-2015,Master semestre 2,Systèmes de communication - master,5
212,Advanced analysis II,2015-2016,Master semestre 2,Bioingénierie,6
213,Advanced analysis II,2015-2016,Master semestre 2,Sciences et technologies du vivant - master,8
214,Advanced analysis II,2015-2016,Master semestre 2,Systèmes de communication - master,3
215,Advanced analysis II,2016-2017,Master semestre 2,Bioingénierie,2
216,Advanced bioengineering methods laboratory,2010-2011,Master semestre 2,Bioingénierie,13
217,Advanced bioengineering methods laboratory,2011-2012,Master semestre 2,Bioingénierie,5
218,Advanced bioengineering methods laboratory,2012-2013,Master semestre 2,Bioingénierie,6
219,Advanced bioengineering methods laboratory,2013-2014,Master semestre 4,Bioingénierie,3
220,Advanced bioengineering methods laboratory,2014-2015,Master semestre 2,Bioingénierie,5
221,Advanced bioengineering methods laboratory,2015-2016,Master semestre 2,Bioingénierie,4
222,Advanced bioengineering methods laboratory,2016-2017,Master semestre 2,Bioingénierie,2
223,Advanced bioengineering methods laboratory,2017-2018,Master semestre 2,Bioingénierie,4
224,Advanced bioengineering methods laboratory,2018-2019,Bachelor semestre 6,Ingénierie des sciences du vivant,2
225,Advanced bioengineering methods laboratory,2018-2019,Master semestre 2,Ingénierie des sciences du vivant,5
226,Advanced bioengineering methods laboratory,2019-2020,Bachelor semestre 6,Ingénierie des sciences du vivant,1
227,Advanced bioengineering methods laboratory,2019-2020,Master semestre 2,Ingénierie des sciences du vivant,12
228,Advanced biotechnology,2006-2007,Master semestre 2,Bioingénierie,5
229,Advanced biotechnology I,2007-2008,Master semestre 1,Bioingénierie,2
230,Advanced biotechnology I,2008-2009,Master semestre 1,Bioingénierie,3
231,Advanced biotechnology I,2008-2009,Master semestre 1,Génie chimique et biotechnologie,5
232,Advanced biotechnology I,2009-2010,Master semestre 1,Bioingénierie,2
233,Advanced biotechnology I,2009-2010,Master semestre 1,Génie chimique et biotechnologie,8
234,Advanced biotechnology II,2007-2008,Master semestre 4,Bioingénierie,2
235,Advanced biotechnology II,2008-2009,Master semestre 2,Bioingénierie,3
236,Advanced chemical reaction engineering,2004-2005,Master semestre 1,Génie chimique et biotechnologie,27
237,Advanced chemical reaction engineering,2005-2006,Master semestre 1,Génie chimique et biotechnologie,17
238,Advanced compiler construction,2005-2006,Master semestre 4,Informatique,10
239,Advanced compiler construction,2006-2007,Master semestre 2,Informatique,15
240,Advanced compiler construction,2007-2008,Master semestre 2,Informatique,20
241,Advanced compiler construction,2008-2009,Master semestre 2,Informatique,6
242,Advanced compiler construction,2009-2010,Master semestre 2,Informatique,9
243,Advanced compiler construction,2010-2011,Master semestre 2,Informatique,21
244,Advanced compiler construction,2012-2013,Master semestre 2,Informatique,27
245,Advanced compiler construction,2013-2014,Master semestre 2,Informatique,25
246,Advanced compiler construction,2014-2015,Master semestre 2,Informatique,19
247,Advanced compiler construction,2015-2016,Master semestre 2,Informatique,17
248,Advanced compiler construction,2016-2017,Master semestre 2,Informatique,31
249,Advanced compiler construction,2017-2018,Master semestre 2,Informatique,34
250,Advanced compiler construction,2018-2019,Master semestre 2,Informatique,27
251,Advanced compiler construction,2019-2020,Master semestre 2,Informatique,35
252,Advanced compiler construction,2019-2020,Master semestre 4,Informatique - Cybersecurity,1
253,Advanced composites in engineering structures,2006-2007,Master semestre 1,Génie civil,19
254,Advanced composites in engineering structures,2007-2008,Master semestre 1,Génie civil,22
255,Advanced composites in engineering structures,2008-2009,Master semestre 1,Génie civil,7
256,Advanced composites in engineering structures,2009-2010,Master semestre 1,Génie civil,16
257,Advanced composites in engineering structures,2010-2011,Master semestre 1,Génie civil,8
258,Advanced composites in engineering structures,2011-2012,Master semestre 1,Génie civil,14
259,Advanced composites in engineering structures,2012-2013,Master semestre 1,Génie civil,36
260,Advanced composites in engineering structures,2013-2014,Master semestre 1,Génie civil,36
261,Advanced composites in engineering structures,2014-2015,Master semestre 1,Génie civil,20
262,Advanced composites in engineering structures,2015-2016,Master semestre 1,Génie civil,18
263,Advanced composites in engineering structures,2016-2017,Master semestre 1,Génie civil,34
264,Advanced composites in engineering structures,2017-2018,Master semestre 1,Génie civil,14
265,Advanced composites in engineering structures,2018-2019,Master semestre 1,Génie civil,31
266,Advanced composites in engineering structures,2019-2020,Master semestre 1,Génie civil,19
267,Advanced computer architecture,2005-2006,Master semestre 2,Génie électrique et électronique,3
268,Advanced computer architecture,2005-2006,Master semestre 2,Systèmes de communication - master Eurecom,2
269,Advanced computer architecture,2005-2006,Master semestre 4,Informatique,17
270,Advanced computer architecture,2006-2007,Master semestre 2,Informatique,14
271,Advanced computer architecture,2006-2007,Master semestre 2,Systèmes de communication - master,1
272,Advanced computer architecture,2007-2008,Master semestre 2,Génie électrique et électronique,3
273,Advanced computer architecture,2007-2008,Master semestre 2,Informatique,34
274,Advanced computer architecture,2008-2009,Master semestre 2,Génie électrique et électronique,5
275,Advanced computer architecture,2008-2009,Master semestre 2,Informatique,13
276,Advanced computer architecture,2008-2009,Master semestre 4,Systèmes de communication - master,1
277,Advanced computer architecture,2010-2011,Master semestre 2,Génie électrique et électronique,3
278,Advanced computer architecture,2010-2011,Master semestre 2,Informatique,18
279,Advanced computer architecture,2011-2012,Master semestre 2,Génie électrique et électronique,9
280,Advanced computer architecture,2011-2012,Master semestre 2,Informatique,26
281,Advanced computer architecture,2011-2012,Master semestre 4,Systèmes de communication - master,3
282,Advanced computer architecture,2011-2012,Semestre printemps,Cyber security minor,1
