,course_name,year,semester,section,nr_students
283,Advanced computer architecture,2012-2013,Master semestre 2,Génie électrique et électronique,7
284,Advanced computer architecture,2012-2013,Master semestre 2,Informatique,18
285,Advanced computer architecture,2013-2014,Master semestre 2,Génie électrique et électronique,3
286,Advanced computer architecture,2013-2014,Master semestre 2,Informatique,18
287,Advanced computer architecture,2014-2015,Master semestre 2,Génie électrique et électronique,7
288,Advanced computer architecture,2014-2015,Master semestre 2,Informatique,22
289,Advanced computer architecture,2014-2015,Semestre printemps,Cyber security minor,1
290,Advanced computer architecture,2015-2016,Master semestre 2,Génie électrique et électronique,3
291,Advanced computer architecture,2015-2016,Master semestre 2,Informatique,26
292,Advanced computer architecture,2015-2016,Master semestre 2,Systèmes de communication - master,1
293,Advanced computer architecture,2016-2017,Master semestre 2,Génie électrique et électronique,13
294,Advanced computer architecture,2016-2017,Master semestre 2,Informatique,33
295,Advanced computer architecture,2016-2017,Semestre printemps,Mineur en Informatique,1
296,Advanced computer architecture,2017-2018,Master semestre 2,Génie électrique et électronique,7
297,Advanced computer architecture,2017-2018,Master semestre 2,Informatique,27
298,Advanced computer architecture,2018-2019,Master semestre 2,Génie électrique et électronique,5
299,Advanced computer architecture,2018-2019,Master semestre 2,Informatique,28
300,Advanced computer architecture,2018-2019,Master semestre 2,Systèmes de communication - master,2
301,Advanced computer architecture,2019-2020,Master semestre 2,Génie électrique et électronique,5
302,Advanced computer architecture,2019-2020,Master semestre 2,Informatique,42
303,Advanced computer architecture,2019-2020,Master semestre 4,Informatique - Cybersecurity,3
304,Advanced computer graphics,2004-2005,Bachelor semestre 6,Informatique,11
305,Advanced computer graphics,2004-2005,Master semestre 2,Informatique,14
306,Advanced computer graphics,2004-2005,Master semestre 2,Systèmes de communication - master,2
307,Advanced computer graphics,2005-2006,Master semestre 2,Systèmes de communication - master Eurecom,4
308,Advanced computer graphics,2005-2006,Master semestre 4,Informatique,38
309,Advanced computer graphics,2006-2007,Master semestre 2,Informatique,33
310,Advanced computer graphics,2006-2007,Master semestre 2,Systèmes de communication - master,1
311,Advanced computer graphics,2007-2008,Master semestre 2,Informatique,18
312,Advanced computer graphics,2008-2009,Master semestre 2,Informatique,10
313,Advanced computer graphics,2008-2009,Master semestre 4,Systèmes de communication - master,1
314,Advanced computer graphics,2009-2010,Master semestre 2,Informatique,14
315,Advanced computer graphics,2009-2010,Master semestre 2,Systèmes de communication - master,1
316,Advanced computer graphics,2010-2011,Master semestre 2,Informatique,25
317,Advanced computer graphics,2010-2011,Master semestre 4,Systèmes de communication - master,2
318,Advanced computer graphics,2011-2012,Master semestre 2,Informatique,21
319,Advanced computer graphics,2011-2012,Master semestre 4,Systèmes de communication - master,4
320,Advanced computer graphics,2013-2014,Master semestre 1,Informatique,39
321,Advanced computer graphics,2013-2014,Master semestre 3,Systèmes de communication - master,3
322,Advanced computer graphics,2014-2015,Master semestre 1,Informatique,36
323,Advanced computer graphics,2014-2015,Master semestre 1,Systèmes de communication - master,2
324,Advanced computer graphics,2015-2016,Master semestre 1,Informatique,55
325,Advanced computer graphics,2015-2016,Master semestre 1,Systèmes de communication - master,6
326,Advanced computer graphics,2016-2017,Master semestre 2,Informatique,29
327,Advanced computer graphics,2017-2018,Master semestre 2,Informatique,37
328,Advanced computer graphics,2017-2018,Master semestre 2,Systèmes de communication - master,4
329,Advanced computer graphics,2017-2018,Semestre printemps,Mineur en Informatique,1
330,Advanced computer graphics,2018-2019,Master semestre 2,Humanités digitales,3
331,Advanced computer graphics,2018-2019,Master semestre 2,Informatique,27
332,Advanced computer graphics,2018-2019,Master semestre 2,Systèmes de communication - master,2
333,Advanced computer graphics,2019-2020,Master semestre 2,Informatique,33
334,Advanced computer graphics,2019-2020,Master semestre 2,Systèmes de communication - master,1
335,Advanced computer networks and distributed systems,2006-2007,Master semestre 1,Informatique,20
336,Advanced computer networks and distributed systems,2006-2007,Master semestre 1,Systèmes de communication - master,6
337,Advanced computer networks and distributed systems,2007-2008,Master semestre 1,Informatique,22
338,Advanced computer networks and distributed systems,2007-2008,Master semestre 3,Systèmes de communication - master Eurecom,1
339,Advanced computer networks and distributed systems,2008-2009,Master semestre 1,Informatique,10
340,Advanced computer networks and distributed systems,2008-2009,Master semestre 3,Systèmes de communication - master,1
341,Advanced computer networks and distributed systems,2011-2012,Master semestre 1,Informatique,33
342,Advanced computer networks and distributed systems,2011-2012,Master semestre 3,Systèmes de communication - master,3
343,Advanced computer networks and distributed systems,2012-2013,Master semestre 1,Informatique,40
344,Advanced computer networks and distributed systems,2012-2013,Master semestre 1,Systèmes de communication - master,5
345,Advanced control systems,2012-2013,Master semestre 2,Génie mécanique,19
346,Advanced control systems,2012-2013,Master semestre 2,Génie électrique et électronique,10
347,Advanced control systems,2012-2013,Master semestre 2,Microtechnique,23
348,Advanced control systems,2013-2014,Master semestre 2,Microtechnique,13
349,Advanced control systems,2013-2014,Master semestre 4,Génie mécanique,19
350,Advanced control systems,2014-2015,Master semestre 2,Gestion de l'énergie et durabilité,2
351,Advanced control systems,2014-2015,Master semestre 2,Génie mécanique,28
352,Advanced control systems,2014-2015,Master semestre 2,Microtechnique,16
353,Advanced control systems,2015-2016,Master semestre 2,Gestion de l'énergie et durabilité,3
354,Advanced control systems,2015-2016,Master semestre 2,Génie mécanique,34
355,Advanced control systems,2015-2016,Master semestre 2,Microtechnique,5
