course_name,prof
 Numerical approximation of PDE's II,['Picasso Marco']
A Political History of Urban Form,['Aureli Pier Vittorio']
A guided tour for engineers in applied stochastic modelling,['Hongler Max-Olivier']
A history of abstraction in architecture,['Aureli Pier Vittorio']
A network tour of data science,"['Frossard Pascal', 'Vandergheynst Pierre']"
Accounting for finance,['Cauvin Eric']
Adaptation and learning,['Sayed Ali H.']
Advanced Fossil and Renewable Energy Systems,['Van Herle Jan']
Advanced MEMS,['Briand Danick']
Advanced MEMS & microsystems,"['Quack Niels', 'Briand Danick']"
Advanced NMR and imaging,['Emsley David Lyndon']
Advanced VLSI design,['Burg Andreas Peter']
Advanced additive manufacturing technologies,"['Moser Christophe', 'Brugger Jürgen']"
Advanced algorithms,['Kapralov Mikhail']
Advanced analog and RF IC-design I,['Enz Christian']
Advanced analog and RF IC-design II,['Enz Christian']
Advanced analog and RF integrated circuits design I,['Enz Christian']
Advanced analog and RF integrated circuits design II,['Enz Christian']
Advanced analysis I,['Ruppen Hans-Jörg']
Advanced analysis II,['Ruppen Hans-Jörg']
Advanced bioengineering methods laboratory,"['Guiducci Carlotta', 'Radenovic Aleksandra', 'Fantner Georg']"
Advanced biotechnology,['Wurm Florian Maria']
Advanced biotechnology I,['Wurm Florian Maria']
Advanced biotechnology II,['Wurm Florian Maria']
Advanced chemical reaction engineering,['Renken Albert']
Advanced compiler construction,['Schinz Michel']
Advanced composites in engineering structures,['Vassilopoulos Anastasios']
Advanced computer architecture,['Ienne Paolo']
Advanced computer graphics,['Jakob Wenzel Alban']
Advanced computer networks and distributed systems,['Kostic Dejan']
Advanced control systems,['Karimi Alireza']
Advanced courses in immunology and microbiology,"['Harris Nicola', 'van der Goot Grunberg Françoise Gisou']"
Advanced cryptography,['Vaudenay Serge']
Advanced databases,['Koch Christoph']
Advanced derivatives,['Perazzi Elena']
Advanced design of concrete structures,"['Fernandez-Ordoñez Hernandez David Carlos', 'Muttoni Aurelio']"
Advanced diffusional processes,['Agrawal Kumar Varoon']
Advanced diffusional separation processes,['Agrawal Kumar Varoon']
Advanced digital communications,"['Urbanke Rüdiger', 'Hassani Seyed Hamed']"
Advanced digital design,['Sanchez Eduardo']
Advanced digital image processing and analysis,['Kunt Murat']
Advanced energetics,['Maréchal François']
Advanced energetics and engines,"['Maréchal François', 'Favrat Daniel', 'Gafner Irwin']"
Advanced energy conversion technologies,"['Chawla Rakesh', 'Van Herle Jan', 'Favrat Daniel']"
Advanced heat transfer,['Haussener Sophia']
Advanced machine learning,['Billard Aude']
Advanced materials for photovoltaics and lighting,['Nazeeruddin Mohammad Khaja']
Advanced materials for photovoltaics and lighting applications,['Nazeeruddin Mohammad Khaja']
Advanced metallurgy,['Weber Ludger']
Advanced methods in computational solid mechanics,"['Molinari Jean-François', 'Anciaux Guillaume']"
Advanced multiprocessor architecture,['Falsafi Babak']
Advanced nanomaterials,['Tileli Vasiliki']
Advanced optics,['Martin Olivier']
Advanced physical organic chemistry,['Vogel Pierre']
Advanced principles and applications of systems biology,"['Hatzimanikatis Vassily', 'Miskovic Ljubisa']"
Advanced probability,['Lévêque Olivier']
Advanced probability and applications,['Lévêque Olivier']
Advanced regression,['Davison Anthony C.']
Advanced satellite positioning,"['Skaloud Jan', 'Botteron Cyril']"
Advanced scientific computing,['Picasso Marco']
Advanced semiconductor nanomaterials,['Fontcuberta i Morral Anna']
Advanced signal processing,['Vandergheynst Pierre']
Advanced signal processing : Wavelets and applications,"['Lu Yue', 'Chebira Amina']"
Advanced solid mechanics,['Curtin William']
Advanced solid waste treatment,['Ludwig Christian']
Advanced steel design,['Lignos Dimitrios']
Advanced strategies for the synthesis of bioactive compounds,['Vogel Pierre']
Advanced techniques for the risk analysis of technical systems,['Profs divers *']
Advanced topics in financial econometrics,['Mancini Loriano']
Advanced topics in nuclear reactor materials,"['Streit Marco', 'Pouchon Manuel Alexandre', 'Spätig Philippe']"
Advanced topics in software analysis and verification,['Kuncak Viktor']
Advanced topics on privacy enhancing technologies,"['Hubaux Jean-Pierre', 'González Troncoso Carmela']"
Advanced transport phenomena,['Swartz Melody']
Advanced wireless communications: algorithms and architectures,['Burg Andreas Peter']
Advanced wireless receivers,['Burg Andreas Peter']
Aerial robotics,['Floreano Dario']
Aerial robots,['Floreano Dario']
Aerodynamics,['Mulleners Karen Ann J']
Aeroelasticity and fluid-structure interaction,['Spadoni Alessandro']
Air pollution,"['Calpini Bertrand', 'Takahama Satoshi']"
Air pollution and climate change,"['Takahama Satoshi', 'Reimann Bhend Stefan']"
Algebra for digital communications,['Bayer Fluckiger Eva']
Algebraic K-theory,['Hess Bellwald Kathryn']
Algebraic curves and cryptography,['Jetchev Dimitar Petkov']
Algebraic geometry,['Levy Paul']
Algebraic number theory,['Pickett Erik Jarl']
Algebraic topology,['Harper John Edward']
Algorithmes d'apprentissages et leurs applications,['Billard Aude']
Algorithms,['Henzinger Monika']
Algorithms in public-key cryptology,['Lenstra Arjen']
Algèbre et homologie,['Matthey Michel']
Algèbres de Lie,['Testerman Donna']
Aménagement du territoire,['Chenal Jérôme']
Aménagements hydrauliques II,['Pfister Michael']
An introduction to coding theory,['Shokrollahi Mohammad Amin']
Analog and mixed signals systems modelling,['Vachoux Alain']
Analog circuits design I,['Koukab Adil']
Analog circuits design II,['Koukab Adil']
Analog circuits for biochip,"['Dehollain Catherine', 'Carrara Sandro', 'Skrivervik Favre Anja']"
Analyse avancée,['Buffoni Boris']
Analyse d'images du territoire I,['Vallet Julien']
Analyse d'images du territoire II,['Caloz Régis']
Analyse de données génétiques,['Morgenthaler Stephan']
Analyse de la structure des polymères,['Nguyen Quoc Tuan']
Analyse de produits et systèmes,['Kejik Pavel']
Analyse de risques,"['Haldi Pierre-André', 'Vulliet Laurent']"
Analyse des flux de matière,"['Moreau Vincent', 'Massard Guillaume Bastien']"
Analyse et gestion de risques,"['Defert Raphaël', 'Vulliet Laurent']"
Analyse et management des risques industriels,['Berriot Nicolas']
Analyse et modélisation du risque,['Jolliet Olivier']
Analyse exploratoire de données géospatiales,['Joost Stéphane']
Analyse fonctionnelle II,['Buffoni Boris']
Analyse non linéaire des structures,"['Rebora Blaise', 'Frey François']"
Analyse p-adique,['Joris Henri']
Analyse sectorielle,['Poulin Diane']
